Book Name,Authors,Info,Image URL
Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Marcus Luttrell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316067601"", ""ISBN13:"": ""9780316067607"", ""Release Date:"": ""May 2008"", ""Publisher:"": ""Back Bay Books"", ""Length:"": ""416 Pages"", ""Weight:"": ""0.64 lbs."", ""Dimensions:"": ""1.1\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/06918119C6BCEC9A8E642D46F6EF7D5884F8549E.jpeg
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743270754"", ""Release Date:"": ""September 2006"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""944 Pages"", ""Weight:"": ""2.73 lbs."", ""Dimensions:"": ""9.3\"" x 1.7\"" x 6.1\""""}",https://m.media-amazon.com/images/I/514pUO47lqL._SL350_.jpg
Foxe's Book of Martyrs,John Foxe,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0800786610"", ""ISBN13:"": ""9780800786618"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Revell"", ""Weight:"": ""0.68 lbs."", ""Dimensions:"": ""6.7\"" x 1.2\"" x 4.1\""""}",https://m.media-amazon.com/images/I/41jB-ntnYhL._SL350_.jpg
Long Walk to Freedom: The Autobiography of Nelson Mandela,Nelson Mandela,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316548189"", ""Release Date:"": ""October 1995"", ""Publisher:"": ""Back Bay Books"", ""Length:"": ""656 Pages"", ""Weight:"": ""1.44 lbs."", ""Dimensions:"": ""8.1\"" x 2.0\"" x 5.5\""""}",https://m.media-amazon.com/images/I/41+T0Hl4s7L._SL350_.jpg
Tortured for Christ: 50th Anniversary Edition,Richard Wurmbrand,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""083077260X"", ""ISBN13:"": ""9780830772605"", ""Release Date:"": ""September 2017"", ""Publisher:"": ""David C Cook"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.7\"" x 5.5\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/DDF0896327DFB0C41E67CCA9E40761D15D5FFE21.jpeg
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1400064163"", ""ISBN13:"": ""9781400064168"", ""Release Date:"": ""November 2010"", ""Publisher:"": ""Random House"", ""Length:"": ""496 Pages"", ""Weight:"": ""1.67 lbs."", ""Dimensions:"": ""1.4\"" x 6.2\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/3B92417C352194888A5D76F6C3C78EB36B23B4ED.jpeg
Same Kind Of Different As Me,Denver Moore,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0849900417"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Thomas Nelson"", ""Length:"": ""237 Pages"", ""Weight:"": ""0.88 lbs."", ""Dimensions:"": ""9.5\"" x 0.8\"" x 6.3\""""}",https://m.media-amazon.com/images/I/51yfXzyZkvL._SL350_.jpg
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307237699"", ""ISBN13:"": ""9780307237699"", ""Release Date:"": ""October 2006"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.21 lbs."", ""Dimensions:"": ""1.4\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/EA0BD70BA1E8BA9DD6B6152F6E3F9F7960CC21AD.jpeg
"Bonhoeffer: Pastor, Martyr, Prophet, Spy: A Righteous Gentile vs. the Third Reich",Eric Metaxas,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1595552464"", ""ISBN13:"": ""9781595552464"", ""Release Date:"": ""August 2011"", ""Publisher:"": ""Thomas Nelson"", ""Length:"": ""608 Pages"", ""Weight:"": ""1.41 lbs."", ""Dimensions:"": ""1.6\"" x 6.1\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/9E771FA4A32E88EAD3F4673A44B32692A17D518D.jpeg
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""030740885X"", ""ISBN13:"": ""9780307408853"", ""Release Date:"": ""January 2011"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.94 lbs."", ""Dimensions:"": ""1.1\"" x 5.1\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/F9D724D1A013F5F8A0B6CA8089C39CB3B06BB9F5.jpeg
