Book Name,Authors,Info,Image URL
Watch Where They Hide: A Jordan Manning Novel [Large Print],Tamron Hall,"{""Format:"": ""Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""0063266199"", ""ISBN13:"": ""9780063266193"", ""Release Date:"": ""March 2024"", ""Publisher:"": ""Harper Large Print"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.83 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/185EAFF749EDD340AD30E89257F06CFDEAF8A336.jpeg
The Fury,Alex Michaelides,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""125075898X"", ""ISBN13:"": ""9781250758989"", ""Release Date:"": ""January 2024"", ""Publisher:"": ""Celadon Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.11 lbs."", ""Dimensions:"": ""0.9\"" x 6.4\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/6CCF7CC6E073B2010E8831BA2D9BBE11264C87E2.jpeg
The Guest,B.A. Paris,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1250289424"", ""ISBN13:"": ""9781250289421"", ""Release Date:"": ""February 2024"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""1.3\"" x 6.2\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/46CFDF67495B92783286B9820A0450BE569416D3.jpeg
Listen for the Lie,Amy Tintera,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/D7F7FA4A5A42A9D7BC29D9A2986DE24A40B49670.jpeg
The Night Island,Jayne Ann Krentz,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0593639855"", ""ISBN13:"": ""9780593639856"", ""Release Date:"": ""January 2024"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""1.0\"" x 6.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/232D90D1965F47E926A5E4924B6B6AD98541B580.jpeg
Heartbeat,Sharon Sala,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/A5E192960D52DE82970F02BCBFEB1C37A36DB2AA.jpeg
"Holmes, Marple & Poe: The Greatest Crime-Solving Team of the Twenty-First Century [Large Print]",James Patterson,"{""Format:"": ""Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""0316572802"", ""ISBN13:"": ""9780316572804"", ""Release Date:"": ""January 2024"", ""Publisher:"": ""Little Brown and Company"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.97 lbs."", ""Dimensions:"": ""1.3\"" x 5.9\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/A3DB04464F3D6CAA16F383BB18995F1E321A6DED.jpeg
Missing Persons: The Most Exciting International Thriller Series Since Jason Bourne [Large Print],James Patterson,"{""Format:"": ""Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""1538766485"", ""ISBN13:"": ""9781538766484"", ""Release Date:"": ""January 2024"", ""Publisher:"": ""Grand Central Publishing"", ""Length:"": ""464 Pages"", ""Weight:"": ""3.08 lbs."", ""Dimensions:"": ""1.3\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/4C3A970D016EC1089829CE73B34C2A94DD1B6AE5.jpeg
The Tainted Cup,Robert Jackson Bennett,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/B36FD5D47C8AF32810F1AFB84B379DA2D8FCABCB.jpeg
The Lantern's Dance: A Novel of Suspense Featuring Mary Russell and Sherlock Holmes,Laurie R. King,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/5748AECD735198E804EB25CBCCF124BBCAC26DA7.jpeg
The Chaos Agent,Mark Greaney,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/5B63D0CE47F4BB3DD96C1F86B1F213A7A9099E5A.jpeg
Three-Inch Teeth,C.J. Box,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0593331346"", ""ISBN13:"": ""9780593331347"", ""Release Date:"": ""February 2024"", ""Publisher:"": ""G.P. Putnam's Sons"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.51 lbs."", ""Dimensions:"": ""1.1\"" x 6.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/3BB5ED7782C75599F82F0684085BF855FAB0A5BB.jpeg
Murder in the Tea Leaves,Laura Childs,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0593200985"", ""ISBN13:"": ""9780593200988"", ""Release Date:"": ""March 2024"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""1.3\"" x 5.1\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/B25AAE54B84156480B0525AFB32392911375F62C.jpeg
2054,Elliot Ackerman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0593489861"", ""ISBN13:"": ""9780593489864"", ""Release Date:"": ""March 2024"", ""Publisher:"": ""Penguin Press"", ""Length:"": ""304 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""1.3\"" x 6.1\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/1F7413EE94A2ECD17081D32EBA9AD103D736485C.jpeg
The Hunter,Tana French,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0593493435"", ""ISBN13:"": ""9780593493434"", ""Release Date:"": ""March 2024"", ""Publisher:"": ""Viking"", ""Length:"": ""480 Pages"", ""Weight:"": ""1.17 lbs."", ""Dimensions:"": ""1.6\"" x 6.1\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/04E3E0CEBFDF9AD9055F740F9E39C814464B5E2E.jpeg
