Book Name,Authors,Info,Image URL
Toxic Parents: Overcoming Their Hurtful Legacy and Reclaiming Your Life,Craig Faustus Buck,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553284347"", ""ISBN13:"": ""9780553284348"", ""Release Date:"": ""October 1990"", ""Publisher:"": ""Bantam Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""0.9\"" x 4.2\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/1972F6B980BC1AB99C43F67BBA7FC889C70937D4.jpeg
The Gift of Fear and Other Survival Signals that Protect Us From Violence,Gavin de Becker,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440508835"", ""Release Date:"": ""May 1999"", ""Publisher:"": ""Dell"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.63 lbs."", ""Dimensions:"": ""8.0\"" x 1.1\"" x 5.3\""""}",https://m.media-amazon.com/images/I/414RjZoUqLL._SL350_.jpg
Beauty for Ashes: Receiving Emotional Healing,Joyce Meyer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""044669259X"", ""ISBN13:"": ""9780446692595"", ""Release Date:"": ""November 2003"", ""Publisher:"": ""Faithwords"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.53 lbs."", ""Dimensions:"": ""0.7\"" x 5.4\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/EC5B584BF7FADBDFDAAAD8FDFF311A06ACA91D6C.jpeg
"The Verbally Abusive Relationship, Expanded Third Edition: How to Recognize It and How to Respond",Patricia Evans,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1440504636"", ""ISBN13:"": ""9781440504631"", ""Release Date:"": ""January 2010"", ""Publisher:"": ""Adams Media Corporation"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.54 lbs."", ""Dimensions:"": ""0.7\"" x 5.5\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/0A58C8A9C069D0E577E51A7D6C4826A87F73A3FF.jpeg
Trauma and Recovery: The Aftermath of Violence- From Domestic Abuse to Political Terror,Judith Lewis Herman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0465087655"", ""ISBN13:"": ""9780465087655"", ""Release Date:"": ""June 1992"", ""Publisher:"": ""Basic Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.70 lbs.""}",https://m.media-amazon.com/images/I/51bZIccIxdL._SL350_.jpg
The Wounded Heart,Dan B. Allender,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1600063071"", ""ISBN13:"": ""9781600063077"", ""Release Date:"": ""May 2018"", ""Publisher:"": ""NavPress Publishing Group"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/3D3821A12A7F2AB600D138807BD12B7CFCAA9404.jpeg
Why Does He Do That?: Inside the Minds of Angry and Controlling Men,Lundy Bancroft,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0425191656"", ""ISBN13:"": ""9780425191651"", ""Release Date:"": ""September 2003"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.94 lbs."", ""Dimensions:"": ""1.0\"" x 5.9\"" x 8.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/680EED88105D701B56187B01785148BF5A2B775E.jpeg
A Man Named Dave: A Story of Triumph and Forgiveness,Dave Pelzer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0452281903"", ""Release Date:"": ""September 2000"", ""Publisher:"": ""Plume"", ""Length:"": ""284 Pages"", ""Weight:"": ""0.58 lbs."", ""Dimensions:"": ""7.5\"" x 0.7\"" x 5.0\""""}",https://m.media-amazon.com/images/I/41EwhJfoLmL._SL350_.jpg
A Child Called It: One Child's Courage to Survive,Dave Pelzer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1558743669"", ""ISBN13:"": ""9781558743663"", ""Release Date:"": ""September 1995"", ""Publisher:"": ""Health Communications"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.53 lbs."", ""Dimensions:"": ""0.5\"" x 4.9\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/35904A024C4816BE3E1CD2DD5D628F3A16A4B493.jpeg
When Rabbit Howls,Truddi Chase,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0515103292"", ""ISBN13:"": ""9780515103298"", ""Release Date:"": ""April 1990"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""1.1\"" x 4.2\"" x 6.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/2B4E7CB780D2B68D493219244992B4B1D78BEB8F.jpeg
