Book Name,Authors,Info,Image URL
"The Lion, the Witch, and the Wardrobe",C.S. Lewis,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0064471047"", ""Release Date:"": ""March 2002"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.31 lbs."", ""Dimensions:"": ""6.8\"" x 0.5\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41HKZpU5DxL._SL350_.jpg
"Percy Jackson and the Olympians, Book One the Lightning Thief (Percy Jackson and the Olympians, Book One)",Rick Riordan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0786838655"", ""ISBN13:"": ""9780786838653"", ""Release Date:"": ""April 2006"", ""Publisher:"": ""Disney-Hyperion"", ""Length:"": ""416 Pages"", ""Weight:"": ""0.73 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 7.5\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/D70D7E7467C535449A4E17D6F91ADD61F9441480.jpeg
Hatchet,Gary Paulsen,"{""Format:"": ""Paperback"", ""ISBN:"": ""0545462207"", ""ISBN13:"": ""9780545462204"", ""Release Date:"": ""January 1987"", ""Publisher:"": ""Scholastic"", ""Length:"": ""186 Pages"", ""Weight:"": ""0.31 lbs.""}",https://m.media-amazon.com/images/I/31xnWd8ZDoL._SL350_.jpg
Where the Wild Things Are: A Caldecott Award Winner,Maurice Sendak,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060254920"", ""ISBN13:"": ""9780060254926"", ""Release Date:"": ""December 2012"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""48 Pages"", ""Weight:"": ""0.99 lbs."", ""Dimensions:"": ""0.5\"" x 10.2\"" x 9.1\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/5F0B9CCC15447FB1BC4C8B60F846B11CC6BED437.jpeg
Holes,Louis Sachar,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440414806"", ""ISBN13:"": ""9780440414803"", ""Release Date:"": ""May 2000"", ""Publisher:"": ""Yearling Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.46 lbs."", ""Dimensions:"": ""0.8\"" x 5.2\"" x 7.5\"""", ""Age Range:"": ""10 to 13 years"", ""Grade Range:"": ""Grades 5 to 8""}",https://i.thriftbooks.com/api/imagehandler/m/54EECB02931ED50CF43B6F007A04FB9B06DC4E14.jpeg
The Phantom Tollbooth,Norton Juster,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0394820371"", ""Release Date:"": ""October 1988"", ""Publisher:"": ""Bullseye Books"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.4\"" x 5.1\"" x 7.8\""""}",https://m.media-amazon.com/images/I/51Wk9AYRlTL._SL350_.jpg
Island of the Blue Dolphins,Scott O'Dell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440439884"", ""ISBN13:"": ""9780440439882"", ""Release Date:"": ""February 1987"", ""Publisher:"": ""Yearling Books"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.34 lbs."", ""Dimensions:"": ""0.9\"" x 5.2\"" x 7.7\"""", ""Age Range:"": ""10 years and up"", ""Grade Range:"": ""Grade 5 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/92227E222B2D7AEA3D7A952E1AB29C64FCB84C67.jpeg
James and the Giant Peach,Roald Dahl,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0142410365"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""Penguin Young Readers Group"", ""Length:"": ""146 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.5\"" x 5.0\"" x 7.6\""""}",https://m.media-amazon.com/images/I/51cHrLMCvkL._SL350_.jpg
We're Going on a Bear Hunt,Michael Rosen,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0689504764"", ""ISBN13:"": ""9780689504761"", ""Release Date:"": ""September 1989"", ""Publisher:"": ""Margaret K. McElderry Books"", ""Length:"": ""32 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""0.4\"" x 11.5\"" x 10.4\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/DF1D83770C2BEBA900DEC83A81792E2B46D86E17.jpeg
The Sea of Monsters (Percy Jackson and the Olympians),Rick Riordan,"{""Format:"": ""Paperback"", ""ISBN:"": ""0545611598"", ""ISBN13:"": ""9780545611596"", ""Release Date:"": ""January 2013"", ""Publisher:"": ""Scholastic"", ""Weight:"": ""0.68 lbs.""}",https://m.media-amazon.com/images/I/41PpSjz8ByL._SL350_.jpg
