Book Name,Authors,Info,Image URL
"The Chronicles of Narnia - The Lion, the Witch & the Wardrobe",C.S. Lewis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0439847974"", ""ISBN13:"": ""9780439847971"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Scholastic Books"", ""Length:"": ""189 Pages"", ""Weight:"": ""0.28 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/4EBE4E0B421FBD138021ABBEBC6CF6F9ACBB92E4.jpeg
"Percy Jackson and the Olympians, Book One the Lightning Thief (Percy Jackson and the Olympians, Book One)",Rick Riordan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0786838655"", ""ISBN13:"": ""9780786838653"", ""Release Date:"": ""April 2006"", ""Publisher:"": ""Disney-Hyperion"", ""Length:"": ""416 Pages"", ""Weight:"": ""0.73 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 7.5\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/D70D7E7467C535449A4E17D6F91ADD61F9441480.jpeg
Where the Wild Things Are: A Caldecott Award Winner,Maurice Sendak,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060254920"", ""ISBN13:"": ""9780060254926"", ""Release Date:"": ""December 2012"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""48 Pages"", ""Weight:"": ""0.99 lbs."", ""Dimensions:"": ""0.5\"" x 10.2\"" x 9.1\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/5F0B9CCC15447FB1BC4C8B60F846B11CC6BED437.jpeg
A Game of Thrones,George R.R. Martin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553381687"", ""ISBN13:"": ""9780553381689"", ""Release Date:"": ""May 2002"", ""Publisher:"": ""Bantam"", ""Length:"": ""720 Pages"", ""Weight:"": ""1.32 lbs."", ""Dimensions:"": ""1.4\"" x 6.2\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/DC3FBF36A7064A899375625FAFB20956A4EC4D88.jpeg
The Phantom Tollbooth,Norton Juster,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0394820371"", ""Release Date:"": ""October 1988"", ""Publisher:"": ""Bullseye Books"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.4\"" x 5.1\"" x 7.8\""""}",https://m.media-amazon.com/images/I/51Wk9AYRlTL._SL350_.jpg
James and the Giant Peach,Roald Dahl,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0142410365"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""Penguin Young Readers Group"", ""Length:"": ""146 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.5\"" x 5.0\"" x 7.6\""""}",https://m.media-amazon.com/images/I/51cHrLMCvkL._SL350_.jpg
The Sea of Monsters (Percy Jackson and the Olympians),Rick Riordan,"{""Format:"": ""Paperback"", ""ISBN:"": ""0545611598"", ""ISBN13:"": ""9780545611596"", ""Release Date:"": ""January 2013"", ""Publisher:"": ""Scholastic"", ""Weight:"": ""0.68 lbs.""}",https://m.media-amazon.com/images/I/41PpSjz8ByL._SL350_.jpg
Harold and the Purple Crayon,Crockett Johnson,"{""Format:"": ""Board book"", ""Language:"": ""English"", ""ISBN:"": ""0062086529"", ""Release Date:"": ""September 2015"", ""Publisher:"": ""HarperFestival"", ""Length:"": ""34 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""6.3\"" x 0.8\"" x 5.5\""""}",https://m.media-amazon.com/images/I/41R0N8bH1vL._SL350_.jpg
"A Clash of Kings (A Song of Ice and Fire, Book 2)",George R.R. Martin,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553579908"", ""Release Date:"": ""September 2000"", ""Publisher:"": ""Bantam"", ""Length:"": ""1040 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""6.9\"" x 1.6\"" x 4.2\""""}",https://m.media-amazon.com/images/I/51x+T30gxJL._SL350_.jpg
"The Titan's Curse (Percy Jackson and the Olympians, Book 3)",Rick Riordan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1423101480"", ""Release Date:"": ""April 2008"", ""Publisher:"": ""Disney Hyperion"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""7.5\"" x 0.8\"" x 5.2\""""}",https://m.media-amazon.com/images/I/51aWjGY4ViL._SL350_.jpg
The Woman Who Rides Like a Man,Tamora Pierce,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""067980112X"", ""ISBN13:"": ""9780679801122"", ""Release Date:"": ""April 1990"", ""Publisher:"": ""Random House Children's Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.28 lbs."", ""Dimensions:"": ""0.7\"" x 4.2\"" x 6.9\"""", ""Age Range:"": ""10 to 13 years"", ""Grade Range:"": ""Grades 5 to 8""}",https://i.thriftbooks.com/api/imagehandler/m/8D2C2AB5559B8A477EC4DFA8B894F87612128EFB.jpeg
Lioness Rampant (4) (Song of the Lioness),Tamora Pierce,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0689878575"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""Simon Pulse"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.47 lbs."", ""Dimensions:"": ""7.0\"" x 1.1\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41vZJoZ+S8L._SL350_.jpg
The Land of the Silver Apples,Nancy Farmer,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1416907351"", ""ISBN13:"": ""9781416907350"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""Atheneum Books"", ""Length:"": ""512 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""1.6\"" x 6.3\"" x 9.3\"""", ""Age Range:"": ""10 to 14 years"", ""Grade Range:"": ""Grades 5 to 9""}",https://i.thriftbooks.com/api/imagehandler/m/0EFD4C057EEB20BFC1B20A0DE46554565B3B5254.jpeg
First Test,Tamora Pierce,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679889175"", ""ISBN13:"": ""9780679889175"", ""Release Date:"": ""May 2000"", ""Publisher:"": ""Random House Children's Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.7\"" x 4.2\"" x 6.9\"""", ""Age Range:"": ""12 years and up"", ""Grade Range:"": ""Grade 7 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/40A02294A47F11B31AB97F3A789F66D152D1211F.jpeg
The Wyverns' Treasure,R.L. LaFevers,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0547316186"", ""ISBN13:"": ""9780547316185"", ""Release Date:"": ""October 2010"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""154 Pages"", ""Weight:"": ""0.62 lbs."", ""Dimensions:"": ""0.8\"" x 5.3\"" x 7.8\"""", ""Age Range:"": ""6 to 9 years"", ""Grade Range:"": ""Grades 1 to 4""}",https://i.thriftbooks.com/api/imagehandler/m/62E4802ED4760D917FE2F5B9A6D5320C503D0EF1.jpeg
Fly by Night,Frances Hardinge,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060876271"", ""ISBN13:"": ""9780060876272"", ""Release Date:"": ""May 2006"", ""Publisher:"": ""HarperCollins Publishers"", ""Length:"": ""487 Pages"", ""Weight:"": ""0.25 lbs."", ""Dimensions:"": ""1.5\"" x 5.7\"" x 8.5\"""", ""Age Range:"": ""10 to 14 years"", ""Grade Range:"": ""Grades 5 to 9""}",https://i.thriftbooks.com/api/imagehandler/m/860671867FA4EC9C527AE96E3FDADF4BF6877710.jpeg
The Search for Belle Prater,Ruth White,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440421640"", ""ISBN13:"": ""9780440421641"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""Yearling Books"", ""Length:"": ""169 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.4\"" x 5.3\"" x 7.7\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/0B26F818701583B4F35C1DA5E04CB70B826D9F1A.jpeg
"Theodosia and the Eyes of Horus (The Theodosia Series, 3)",R.L. LaFevers,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0547550111"", ""Release Date:"": ""April 2011"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.92 lbs."", ""Dimensions:"": ""7.8\"" x 0.9\"" x 5.5\""""}",https://m.media-amazon.com/images/I/515IyjsU7iL._SL350_.jpg
The Secret Box,Barbara Lehman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0547238681"", ""ISBN13:"": ""9780547238685"", ""Release Date:"": ""March 2011"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""48 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.4\"" x 8.0\"" x 8.0\"""", ""Age Range:"": ""4 to 7 years"", ""Grade Range:"": ""Preschool to Grade 2""}",https://i.thriftbooks.com/api/imagehandler/m/678851AFEFD86CC57C09643ED5D5EC15CCB2EDEC.jpeg
Roswell High: The Outsider (TV Series),Melinda Metz,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671774662"", ""Release Date:"": ""January 1999"", ""Publisher:"": ""Simon Spotlight Entertainment"", ""Length:"": ""176 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""6.8\"" x 0.5\"" x 4.3\""""}",https://m.media-amazon.com/images/I/51bwl98Zt5L._SL350_.jpg
Theodosia and the Last Pharaoh,R.L. LaFevers,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0547850867"", ""ISBN13:"": ""9780547850863"", ""Release Date:"": ""October 2012"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""1.0\"" x 5.5\"" x 7.7\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/7D3936F076AB7EB38FFAFA48BBF4C480F9A96513.jpeg
A Day with Wilbur Robinson,William Joyce,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060890983"", ""ISBN13:"": ""9780060890988"", ""Release Date:"": ""August 2006"", ""Publisher:"": ""Laura Geringer Book"", ""Length:"": ""40 Pages"", ""Weight:"": ""1.76 lbs."", ""Dimensions:"": ""0.4\"" x 10.3\"" x 10.1\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/04F8F62C139E8B02D6C60AA8F88C2B59EBC33E52.jpeg
Outlaw Princess of Sherwood,Nancy Springer,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0399237216"", ""ISBN13:"": ""9780399237218"", ""Release Date:"": ""September 2003"", ""Publisher:"": ""Philomel Books"", ""Length:"": ""122 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.6\"" x 5.8\"" x 8.6\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/98352292A9937FC29629BCFD2ECE1D333D75D7CB.jpeg
"Secrets of Dripping Fang, Book Seven: Please Don't Eat the Children",Dan Greenburg,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0152060472"", ""ISBN13:"": ""9780152060473"", ""Release Date:"": ""April 2007"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""143 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.7\"" x 5.3\"" x 7.3\"""", ""Age Range:"": ""7 to 10 years"", ""Grade Range:"": ""Grades 2 to 5""}",https://i.thriftbooks.com/api/imagehandler/m/B282C1545A919DA79AA4B65ED6B90D70DAD44263.jpeg
Theodosia and the Staff of Osiris,R.L. LaFevers,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0618927646"", ""ISBN13:"": ""9780618927647"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Harcourt Brace and Company"", ""Length:"": ""400 Pages"", ""Weight:"": ""1.24 lbs."", ""Dimensions:"": ""1.2\"" x 6.1\"" x 7.9\"""", ""Age Range:"": ""7 to 10 years"", ""Grade Range:"": ""Grades 2 to 5""}",https://i.thriftbooks.com/api/imagehandler/m/32570BD9F34E6367E25EDD8F37153001970DAD8A.jpeg
Max: A Maximum Ride Novel,James Patterson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316002895"", ""ISBN13:"": ""9780316002899"", ""Release Date:"": ""March 2009"", ""Publisher:"": ""Jimmy Patterson"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.0\"" x 5.8\"" x 8.5\"""", ""Age Range:"": ""11 to 15 years"", ""Grade Range:"": ""Grades 6 to 10""}",https://i.thriftbooks.com/api/imagehandler/m/00E9C94D0ECC44F33718395E9C9BE251CA95FC0C.jpeg
Theodosia and the Serpents of Chaos,R.L. LaFevers,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0618999760"", ""ISBN13:"": ""9780618999767"", ""Release Date:"": ""May 2008"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 7.7\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/D8C53106CE126C419D6B0CE7DD581D28D7B4593B.jpeg
Flight of the Phoenix,R.L. LaFevers,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0547408455"", ""ISBN13:"": ""9780547408453"", ""Release Date:"": ""September 2010"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.5\"" x 5.1\"" x 7.8\"""", ""Age Range:"": ""6 to 9 years"", ""Grade Range:"": ""Grades 1 to 4""}",https://i.thriftbooks.com/api/imagehandler/m/B532FD413B0BE2C533338C39E4B3BB309CD410CC.jpeg
Mary Jane Tpb,Judith O'Brien,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0785114408"", ""ISBN13:"": ""9780785114406"", ""Release Date:"": ""June 2004"", ""Publisher:"": ""Marvel Comics Group"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.7\"" x 5.6\"" x 7.9\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/56C9491D0C8DB4941D8CA6F1F6FD46265D81D8EB.jpeg
The Unicorn's Tale,R.L. LaFevers,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0547482779"", ""ISBN13:"": ""9780547482774"", ""Release Date:"": ""April 2011"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""153 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.7\"" x 5.6\"" x 8.0\"""", ""Age Range:"": ""6 to 9 years"", ""Grade Range:"": ""Grades 1 to 4""}",https://i.thriftbooks.com/api/imagehandler/m/D793212C567CD947A40DC1508C30E60B6213F8C4.jpeg
Redwall: 30th Anniversary Edition,Brian Jacques,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0441005489"", ""Release Date:"": ""September 1997"", ""Publisher:"": ""Ace"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.47 lbs."", ""Dimensions:"": ""6.8\"" x 0.9\"" x 4.3\""""}",https://m.media-amazon.com/images/I/51JI-TH-dfL._SL350_.jpg
