Book Name,Authors,Info,Image URL
"Oh, the Thinks You Can Think!",Dr. Seuss,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0394831292"", ""ISBN13:"": ""9780394831299"", ""Release Date:"": ""August 1975"", ""Publisher:"": ""Random House Books for Young Readers"", ""Length:"": ""48 Pages"", ""Weight:"": ""0.48 lbs."", ""Dimensions:"": ""0.3\"" x 6.8\"" x 9.3\"""", ""Age Range:"": ""3 to 7 years"", ""Grade Range:"": ""Preschool to Grade 2""}",https://i.thriftbooks.com/api/imagehandler/m/81E2F0CFCE776AD89C71F4495233771817472209.jpeg
The Snowy Day,Ezra Jack Keats,"{""Format:"": ""Board book"", ""Language:"": ""English"", ""ISBN:"": ""0670867330"", ""ISBN13:"": ""9780670867332"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""Viking Books for Young Readers"", ""Length:"": ""32 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.7\"" x 5.7\"" x 5.4\"""", ""Age Range:"": ""2 years and under""}",https://i.thriftbooks.com/api/imagehandler/m/092E6EEE62E4E5EEB685E9E03E3ACEC974D7CCC0.jpeg
Harold and the Purple Crayon,Crockett Johnson,"{""Format:"": ""Board book"", ""Language:"": ""English"", ""ISBN:"": ""0062086529"", ""Release Date:"": ""September 2015"", ""Publisher:"": ""HarperFestival"", ""Length:"": ""34 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""6.3\"" x 0.8\"" x 5.5\""""}",https://m.media-amazon.com/images/I/41R0N8bH1vL._SL350_.jpg
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0756686067"", ""ISBN13:"": ""9780756686062"", ""Release Date:"": ""September 2011"", ""Publisher:"": ""DK Publishing (Dorling Kindersley)"", ""Length:"": ""200 Pages"", ""Weight:"": ""2.19 lbs."", ""Dimensions:"": ""0.9\"" x 9.2\"" x 10.9\"""", ""Age Range:"": ""8 to 11 years"", ""Grade Range:"": ""Grades 3 to 6""}",https://i.thriftbooks.com/api/imagehandler/m/3BD4AD6837E2A52A3FB0F2D0443BC2D80E6A504B.jpeg
I Spy Treasure Hunt: A Book of Picture Riddles,Jean Marzollo,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0439042445"", ""Release Date:"": ""October 1999"", ""Publisher:"": ""Scholastic"", ""Length:"": ""36 Pages"", ""Weight:"": ""1.12 lbs."", ""Dimensions:"": ""12.5\"" x 0.5\"" x 9.5\""""}",https://m.media-amazon.com/images/I/61zWljsu2YL._SL350_.jpg
Press Here: Board Book Edition,Hervé Tullet,"{""Format:"": ""Board book"", ""Language:"": ""English"", ""ISBN:"": ""1452178593"", ""ISBN13:"": ""9781452178592"", ""Release Date:"": ""February 2019"", ""Publisher:"": ""Chronicle Books"", ""Length:"": ""46 Pages"", ""Weight:"": ""0.73 lbs."", ""Dimensions:"": ""0.9\"" x 5.9\"" x 5.9\"""", ""Age Range:"": ""3 to 5 years""}",https://i.thriftbooks.com/api/imagehandler/m/28068A23A23DA4149CC73FC762C5B8B3A217E788.jpeg
I Spy Spooky Night: A Book of Picture Riddles,Jean Marzollo,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0590481371"", ""ISBN13:"": ""9780590481373"", ""Release Date:"": ""September 1996"", ""Publisher:"": ""Cartwheel Books"", ""Length:"": ""31 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.3\"" x 9.1\"" x 12.2\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/904B5EC8276DD54F4D21EB336D14B0CE97C76AE6.jpeg
I Spy Christmas: A Book of Picture Riddles,Jean Marzollo,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0590458469"", ""ISBN13:"": ""9780590458467"", ""Release Date:"": ""October 1992"", ""Publisher:"": ""Cartwheel Books"", ""Length:"": ""37 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.4\"" x 9.2\"" x 12.5\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/6C1E6E44F3DDCC59A1E1595B5F36C615255C2515.jpeg
Snowmen at Night,Caralyn Buehner,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0439631556"", ""ISBN13:"": ""9780439631556"", ""Release Date:"": ""January 2002"", ""Publisher:"": ""Scholastic"", ""Length:"": ""32 Pages"", ""Weight:"": ""0.30 lbs.""}",https://m.media-amazon.com/images/I/51Rjiv0B2nL._SL350_.jpg
I Spy Fantasy: A Book of Picture Riddles,Jean Marzollo,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0590462954"", ""ISBN13:"": ""9780590462952"", ""Release Date:"": ""October 1994"", ""Publisher:"": ""Cartwheel Books"", ""Length:"": ""40 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.3\"" x 9.1\"" x 12.2\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/7DC0E5C8C666FFD6DAEA892B07354C9468B39CCA.jpeg
