Book Name,Authors,Info,Image URL
Beneath This Man,Jodi Ellen Malpas,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1455578347"", ""ISBN13:"": ""9781455578344"", ""Release Date:"": ""November 2013"", ""Publisher:"": ""Forever"", ""Length:"": ""544 Pages"", ""Weight:"": ""1.02 lbs."", ""Dimensions:"": ""1.5\"" x 5.2\"" x 7.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/138290ABEC1FC0063B8C92CA6A5E33EDB2F70CEA.jpeg
The Body,Stephen King,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1982103531"", ""ISBN13:"": ""9781982103538"", ""Release Date:"": ""June 2018"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""0.6\"" x 5.4\"" x 8.3\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/8DF24DBE96B87313525D87FE2013CA3876C56A2D.jpeg
The Radleys,Matt Haig,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1439194017"", ""ISBN13:"": ""9781439194010"", ""Release Date:"": ""December 2010"", ""Publisher:"": ""Free Press"", ""Length:"": ""371 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""1.1\"" x 6.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/4B3EAA3D43E5B2E784CAF78D13041C3CE066E312.jpeg
Origin in Death,J.D. Robb,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""042520426X"", ""ISBN13:"": ""9780425204269"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.44 lbs."", ""Dimensions:"": ""1.0\"" x 4.4\"" x 6.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/2B068661C462BA06D008410CA644CA510B338127.jpeg
Madam: A Novel of New Orleans,Cari Lynn,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0142180629"", ""ISBN13:"": ""9780142180624"", ""Release Date:"": ""February 2014"", ""Publisher:"": ""Penguin Adult Hc/Tr"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.8\"" x 5.3\"" x 7.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/44648D1A1B236297E5594A4F29A51C7AD5AA131C.jpeg
Little Green,Walter Mosley,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0385535988"", ""ISBN13:"": ""9780385535984"", ""Release Date:"": ""May 2013"", ""Publisher:"": ""Doubleday Books"", ""Length:"": ""291 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""1.1\"" x 6.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/0BF33911F9ACA65E304009F406A78B2EF92714CB.jpeg
Nothing Less (2) (The Landon series),Anna Todd,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1501130846"", ""Release Date:"": ""December 2016"", ""Publisher:"": ""Gallery Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""8.3\"" x 0.9\"" x 5.3\""""}",https://m.media-amazon.com/images/I/41e+sAD8U6L._SL350_.jpg
Jolie Blon's Bounce,James Lee Burke,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743411447"", ""ISBN13:"": ""9780743411448"", ""Release Date:"": ""October 2003"", ""Publisher:"": ""Pocket Star"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""1.0\"" x 4.2\"" x 6.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/0221A5C673EA2AA7057B8F15555CB0D37995C9EA.jpeg
Codependent No More & Beyond Codependency,Melody Beattie,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1567312187"", ""ISBN13:"": ""9781567312188"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""MJF Books"", ""Length:"": ""242 Pages"", ""Weight:"": ""1.47 lbs."", ""Dimensions:"": ""1.4\"" x 5.6\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/46DF5BAB2A2D5E7D3241D2C234080FB52D3BA555.jpeg
Spare Change,Robert B. Parker,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0399154256"", ""ISBN13:"": ""9780399154256"", ""Release Date:"": ""June 2007"", ""Publisher:"": ""Putnam Adult"", ""Length:"": ""291 Pages"", ""Weight:"": ""1.43 lbs."", ""Dimensions:"": ""1.4\"" x 6.4\"" x 9.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/0066634BFBF19916B68249B0AB8F86DADBBE55D1.jpeg
The Bazaar of Bad Dreams: Stories,Stephen King,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1501111671"", ""ISBN13:"": ""9781501111679"", ""Release Date:"": ""November 2015"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""512 Pages"", ""Weight:"": ""1.81 lbs."", ""Dimensions:"": ""1.5\"" x 6.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/FD1F3D4932AA4A7F8FA06EC89DC5BEFF183E4DF5.jpeg
Sleepwalk,Dan Chaon,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1250175216"", ""ISBN13:"": ""9781250175212"", ""Release Date:"": ""May 2022"", ""Publisher:"": ""Henry Holt & Company"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.92 lbs."", ""Dimensions:"": ""1.2\"" x 6.5\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/3B000E4BEC726F795291C1F50EF2F6CA3612EA4A.jpeg
The Amen Corner: A Play,James Baldwin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0375701885"", ""ISBN13:"": ""9780375701887"", ""Release Date:"": ""February 1998"", ""Publisher:"": ""Vintage"", ""Length:"": ""112 Pages"", ""Weight:"": ""0.34 lbs."", ""Dimensions:"": ""0.3\"" x 4.9\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/984735B0CC45D20285AEA4E62117C1380F57A48B.jpeg
The New Iberia Blues: A Dave Robicheaux Novel,James Lee Burke,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1501176870"", ""ISBN13:"": ""9781501176876"", ""Release Date:"": ""January 2019"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""464 Pages"", ""Weight:"": ""1.60 lbs."", ""Dimensions:"": ""1.4\"" x 6.4\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/5939797FFA8E0F9E4FCD6BD15FF05AA7F9056BF2.jpeg
Batman: White Knight,Sean Murphy,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1401279597"", ""ISBN13:"": ""9781401279592"", ""Release Date:"": ""October 2018"", ""Publisher:"": ""DC Black Label"", ""Length:"": ""232 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.4\"" x 6.4\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/F49200C5D8C30D69432C106F072FC222E8EB3F05.jpeg
Damage,John Lescroart,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451235428"", ""ISBN13:"": ""9780451235428"", ""Release Date:"": ""January 2012"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""1.1\"" x 4.3\"" x 7.4\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/03DE57EF58AD14D2D2ADC9392775DEC07DBB66EF.jpeg
The Legal Limit,Martin Clark,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307268357"", ""ISBN13:"": ""9780307268358"", ""Release Date:"": ""July 2008"", ""Publisher:"": ""Knopf Publishing Group"", ""Length:"": ""356 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""1.3\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/E48A27A609E320D47553F658A1635AA49292C7D7.jpeg
Tales of Ordinary Madness,Charles Bukowski,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0872861554"", ""Release Date:"": ""January 1984"", ""Publisher:"": ""City Lights Publishers"", ""Length:"": ""238 Pages"", ""Weight:"": ""0.66 lbs."", ""Dimensions:"": ""8.0\"" x 0.7\"" x 5.4\""""}",https://m.media-amazon.com/images/I/51BxEGEmhAL._SL350_.jpg
Winter Counts,David Heska Wanbli Weiden,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0062968955"", ""ISBN13:"": ""9780062968951"", ""Release Date:"": ""July 2021"", ""Publisher:"": ""Ecco Press"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.9\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/E8F8557CAA0D69800CD49A6460BCD18905CD83B4.jpeg
The Biology of Desire: Why Addiction Is Not a Disease,Marc Lewis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1610397126"", ""ISBN13:"": ""9781610397124"", ""Release Date:"": ""August 2016"", ""Publisher:"": ""PublicAffairs"", ""Length:"": ""256 Pages"", ""Weight:"": ""1.32 lbs."", ""Dimensions:"": ""0.8\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/23A210498AC760ACEF40559543ED2BC9DBB00E87.jpeg
Unbroken Brain: A Revolutionary New Way of Understanding Addiction,Maia Szalavitz,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1250055822"", ""ISBN13:"": ""9781250055828"", ""Release Date:"": ""April 2016"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""352 Pages"", ""Weight:"": ""1.33 lbs."", ""Dimensions:"": ""1.3\"" x 6.1\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/0A5F8B8494C11C57233E0B3450773D5254D543F1.jpeg
Azusa Street: They Told Me Their Stories,J. Edward Morris,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0977968804"", ""ISBN13:"": ""9780977968800"", ""Release Date:"": ""November 2006"", ""Publisher:"": ""Dare2dream"", ""Length:"": ""154 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.5\"" x 5.5\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/D5851122699B26BDA386A6C94CCCCFDEBC6191C0.jpeg
Anne Sexton CL,Diane Wood Middlebrook,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0395353629"", ""ISBN13:"": ""9780395353622"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""488 Pages"", ""Weight:"": ""1.80 lbs."", ""Dimensions:"": ""1.3\"" x 6.2\"" x 9.2\""""}",https://m.media-amazon.com/images/I/517tKfrCwVL._SL350_.jpg
Close to the Knives: A Memoir of Disintegration,David Wojnarowicz,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679732276"", ""ISBN13:"": ""9780679732273"", ""Release Date:"": ""May 1991"", ""Publisher:"": ""Vintage"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.76 lbs."", ""Dimensions:"": ""0.8\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/9416B31EA8D2BA826D2DAFF27E35B500FCE3E104.jpeg
