Book Name,Authors,Info,Image URL
"The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures",Anne Fadiman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0374267812"", ""ISBN13:"": ""9780374267810"", ""Release Date:"": ""September 1997"", ""Publisher:"": ""Farrar Straus Giroux"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.86 lbs."", ""Dimensions:"": ""1.2\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/C9DFD3BC5CFB94B8EEE4DCE4AA811EAE8C27845F.jpeg
Pathophysiology Made Incredibly Easy!,Lippincott Williams & Wilkins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""145114623X"", ""ISBN13:"": ""9781451146233"", ""Release Date:"": ""January 2012"", ""Publisher:"": ""LWW"", ""Length:"": ""535 Pages"", ""Weight:"": ""2.00 lbs."", ""Dimensions:"": ""1.1\"" x 7.1\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/6092D66C4072D695B7480188198EBE72256BAA12.jpeg
Medical Apartheid: The Dark History of Medical Experimentation on Black Americans from Colonial Times to the Present,Harriet A. Washington,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""076791547X"", ""ISBN13:"": ""9780767915472"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Vintage"", ""Length:"": ""528 Pages"", ""Weight:"": ""0.96 lbs."", ""Dimensions:"": ""1.1\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/5188A417B8CB85CCE84CA5AD2ABA57B381843AE2.jpeg
Food Politics: How the Food Industry Influences Nutrition and Health,Marion Nestle,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0520224655"", ""ISBN13:"": ""9780520224650"", ""Release Date:"": ""March 2002"", ""Publisher:"": ""University of California Press"", ""Length:"": ""469 Pages"", ""Weight:"": ""1.60 lbs."", ""Dimensions:"": ""1.2\"" x 6.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/68F447073AD6C5E81D1E0B22863DFF98A9D6850D.jpeg
My Own Country: A Doctor's Story,Abraham Verghese,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679752927"", ""ISBN13:"": ""9780679752929"", ""Release Date:"": ""April 1995"", ""Publisher:"": ""Vintage"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.86 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/81E7D6998FC4106B8A0D052BC5077950640656A6.jpeg
"Healing of America: A Global Quest for Better, Cheaper, and Fairer Health Care",T.R. Reid,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1594202346"", ""ISBN13:"": ""9781594202346"", ""Release Date:"": ""August 2009"", ""Publisher:"": ""Penguin Press"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""1.0\"" x 6.4\"" x 9.4\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/32B7A357D8BB2C0431DD9E54117DBCB38E618ADF.jpeg
The Social Transformation of American Medicine: The rise of a sovereign profession and the making of a vast industry,Paul Starr,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0465079350"", ""Release Date:"": ""June 1984"", ""Publisher:"": ""Basic Books"", ""Length:"": ""528 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""9.8\"" x 1.5\"" x 6.0\""""}",https://m.media-amazon.com/images/I/51ebwNE-PZL._SL350_.jpg
Motivational Interviewing in Health Care: Helping Patients Change Behavior,Christopher C. Butler,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1593856121"", ""ISBN13:"": ""9781593856120"", ""Release Date:"": ""November 2007"", ""Publisher:"": ""Guilford Publications"", ""Length:"": ""210 Pages"", ""Weight:"": ""0.68 lbs."", ""Dimensions:"": ""0.6\"" x 6.1\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/236D44C449D313D2E393CD35A02C279123369FA4.jpeg
Evidence-Based Practice in Nursing and Healthcare: A Guide to Best Practice [With CDROM],Bernadette Melnyk,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0781744776"", ""ISBN13:"": ""9780781744775"", ""Release Date:"": ""January 2004"", ""Publisher:"": ""Lippincott Raven"", ""Length:"": ""624 Pages"", ""Weight:"": ""2.40 lbs."", ""Dimensions:"": ""1.2\"" x 7.3\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/596392DE9C2EB2A6F301495DA31500FD686B96F4.jpeg
Anatomy & Physiology Made Incredibly Easy!,Lippincott Williams & Wilkins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1582550433"", ""ISBN13:"": ""9781582550435"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Lippincott Williams & Wilkins"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.38 lbs."", ""Dimensions:"": ""0.7\"" x 7.5\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/02A80838F984849C56C2B2B6F90DEEF3BE772AB2.jpeg
