Book Name,Authors,Info,Image URL
Twenty Things Adopted Kids Wish Their Adoptive Parents Knew,Sherrie Eldridge,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""044050838X"", ""ISBN13:"": ""9780440508380"", ""Release Date:"": ""October 1999"", ""Publisher:"": ""Delta"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.53 lbs."", ""Dimensions:"": ""0.6\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/7ED3C500509DE48C4F3C1DC3E9D8660FF32C76EF.jpeg
They Cage the Animals at Night: The True Story of an Abandoned Child's Struggle for Emotional Survival,Jennings Michael Burch,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0451489519"", ""ISBN13:"": ""9780451489517"", ""Release Date:"": ""July 2017"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.58 lbs."", ""Dimensions:"": ""0.9\"" x 5.1\"" x 7.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/60A847EC80FCF44E5DD19467FC39F76DB73E5FF7.jpeg
Tell Me Again About the Night I Was Born,Jamie Lee Curtis,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""006024528X"", ""Release Date:"": ""July 1996"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""40 Pages"", ""Weight:"": ""0.88 lbs."", ""Dimensions:"": ""0.4\"" x 10.3\"" x 9.0\""""}",https://m.media-amazon.com/images/I/51bDiH8d6aL._SL350_.jpg
The Girls Who Went Away: The Hidden History of Women Who Surrendered Children for Adoption in the Decades Before Roe V. Wade,Ann Fessler,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0143038974"", ""ISBN13:"": ""9780143038979"", ""Release Date:"": ""June 2007"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.8\"" x 5.6\"" x 8.4\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/8655515D140C2BAA3BBF2D21AC263AF7D0290A29.jpeg
Damaged: The Heartbreaking True Story of a Lost Little Girl,Cathy Glass,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0007236344"", ""ISBN13:"": ""9780007236343"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""Harper Element"", ""Length:"": ""309 Pages"", ""Weight:"": ""0.80 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/797E9B80DEE35BF5CDC11CD5449E8074C939026C.jpeg
The Primal Wound,Nancy Verrier,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0963648004"", ""Release Date:"": ""March 2003"", ""Publisher:"": ""Gateway Press"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""9.0\"" x 0.5\"" x 6.0\""""}",https://m.media-amazon.com/images/I/515F5+gs84L._SL350_.jpg
Another Place at the Table,Kathy Harrison,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1585422827"", ""Release Date:"": ""May 2004"", ""Publisher:"": ""TarcherPerigee"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""8.2\"" x 0.7\"" x 5.4\""""}",https://m.media-amazon.com/images/I/51bfBfZdZQL._SL350_.jpg
Found,Margaret Peterson Haddix,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""141695421X"", ""ISBN13:"": ""9781416954217"", ""Release Date:"": ""April 2009"", ""Publisher:"": ""Simon & Schuster Books for Young Readers"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.54 lbs."", ""Dimensions:"": ""0.9\"" x 5.3\"" x 7.5\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/5A400D9EDD24BBA069B589B94636729589DEC1F1.jpeg
The Connected Child: Bring Hope and Healing to Your Adoptive Family,Karyn B. Purvis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0071475001"", ""ISBN13:"": ""9780071475006"", ""Release Date:"": ""April 2007"", ""Publisher:"": ""McGraw-Hill Companies"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.83 lbs."", ""Dimensions:"": ""0.5\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/385FEF6318D35C43A6951C6EB812DE69F8FA540D.jpeg
Journey of the Adopted Self: A Quest for Wholeness,Betty Jean Lifton,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0465036759"", ""ISBN13:"": ""9780465036752"", ""Release Date:"": ""May 1995"", ""Publisher:"": ""Basic Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.8\"" x 5.0\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/D6BBE5F8CFC1C442F343641FF12BFB350C7E1EB9.jpeg
