Book Name,Authors,Info,Image URL
West with the Night,Beryl Markham,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0865471185"", ""ISBN13:"": ""9780865471184"", ""Release Date:"": ""January 1983"", ""Publisher:"": ""North Point Press"", ""Length:"": ""294 Pages"", ""Weight:"": ""0.73 lbs."", ""Dimensions:"": ""0.8\"" x 5.6\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/E7B8B2705C34E0A801DE8EF98E306A2F203B66FA.jpeg
Skeletons on the Zahara: A True Story of Survival,Dean King,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316159352"", ""ISBN13:"": ""9780316159357"", ""Release Date:"": ""April 2005"", ""Publisher:"": ""Back Bay Books"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""1.1\"" x 6.6\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/E1EBD31B1649A3183EBD0DB359792D50425FA977.jpeg
Cry of the Kalahari,Mark Owens,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0395647800"", ""ISBN13:"": ""9780395647806"", ""Release Date:"": ""October 1992"", ""Publisher:"": ""Mariner Books"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.64 lbs."", ""Dimensions:"": ""1.3\"" x 5.4\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/F48A52C8C3D5AFB88299920DDF928D52A81A826D.jpeg
Hidden in Plain View: A Secret Story of Quilts and the Underground Railroad,Raymond G. Dobard,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0385497679"", ""ISBN13:"": ""9780385497671"", ""Release Date:"": ""January 2000"", ""Publisher:"": ""Anchor Books"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.62 lbs."", ""Dimensions:"": ""0.7\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/ECE293F5D0D6ADFA85BCA8EA6507E6ABC049A292.jpeg
Green Hills of Africa,Ernest Hemingway,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0684801299"", ""ISBN13:"": ""9780684801292"", ""Release Date:"": ""February 1996"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""0.8\"" x 5.6\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/C3C5DFD8AEB8C6203AEF89813C894AA77D75FBE0.jpeg
A Primate's Memoir: A Neuroscientist's Unconventional Life Among the Baboons,Robert M. Sapolsky,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743202414"", ""ISBN13:"": ""9780743202411"", ""Release Date:"": ""March 2002"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.54 lbs."", ""Dimensions:"": ""0.7\"" x 5.9\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/1A02E2B1F9FD7C744CEBB7118699AC3CE46EE0CB.jpeg
The Eye of the Elephant: An Epic Adventure in the African Wilderness,Mark Owens,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0395423813"", ""ISBN13:"": ""9780395423813"", ""Release Date:"": ""January 1992"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""305 Pages"", ""Weight:"": ""0.05 lbs.""}",https://m.media-amazon.com/images/I/51AGHIxoD2L._SL350_.jpg
The Man-Eaters of Tsavo and Other East African Adventures,John Henry Patterson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1544710887"", ""ISBN13:"": ""9781544710884"", ""Release Date:"": ""March 2017"", ""Publisher:"": ""Createspace Independent Publishing Platform"", ""Length:"": ""174 Pages"", ""Weight:"": ""0.53 lbs."", ""Dimensions:"": ""0.4\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/F1C3FBE6EC6CB6816B9538AB57F165195F0DA831.jpeg
Bill Bryson's African Diary,Bill Bryson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0767915062"", ""ISBN13:"": ""9780767915069"", ""Release Date:"": ""December 2002"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""64 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.5\"" x 5.3\"" x 7.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/3D236435E4136CA24811A51D2F59ED5815822EAF.jpeg
"Whatever You Do, Don't Run: True Tales of a Botswana Safari Guide",Peter Allison,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0762745657"", ""ISBN13:"": ""9780762745654"", ""Release Date:"": ""October 2007"", ""Publisher:"": ""Lyons Press"", ""Length:"": ""264 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.8\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/7F93823D9D76FDACD3A5982E2D2B187EF31120A3.jpeg
