Book Name,Authors,Info,Image URL
The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679763880"", ""Release Date:"": ""October 2011"", ""Publisher:"": ""Vintage"", ""Length:"": ""640 Pages"", ""Weight:"": ""1.73 lbs."", ""Dimensions:"": ""9.2\"" x 1.7\"" x 6.0\""""}",https://m.media-amazon.com/images/I/61IBluU1ZiL._SL350_.jpg
Long Walk to Freedom: The Autobiography of Nelson Mandela,Nelson Mandela,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316548189"", ""Release Date:"": ""October 1995"", ""Publisher:"": ""Back Bay Books"", ""Length:"": ""656 Pages"", ""Weight:"": ""1.44 lbs."", ""Dimensions:"": ""8.1\"" x 2.0\"" x 5.5\""""}",https://m.media-amazon.com/images/I/41+T0Hl4s7L._SL350_.jpg
Long Way Gone: Memoirs of a Boy Soldier,Ishmael Beah,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0374105235"", ""ISBN13:"": ""9780374105235"", ""Release Date:"": ""February 2007"", ""Publisher:"": ""Farrar, Strauss & Giroux-3pl"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.83 lbs."", ""Dimensions:"": ""0.9\"" x 5.9\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/D25ED0D198222DF32160CD9B8AA19F83639FF458.jpeg
The Wretched of the Earth,Frantz Fanon,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0802158633"", ""ISBN13:"": ""9780802158635"", ""Release Date:"": ""October 2021"", ""Publisher:"": ""Grove Press"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.9\"" x 5.4\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/5692D24171819A4B9EA2CB89B352F05EED2FC6C4.jpeg
"King Leopold's Ghost: A Story of Greed, Terror, and Heroism in Colonial Africa",Adam Hochschild,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0618001905"", ""ISBN13:"": ""9780618001903"", ""Release Date:"": ""October 1999"", ""Publisher:"": ""Mariner Books"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.1\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/761CD2830AD66BE80DFB6C8E65AE40C8C37A7C75.jpeg
Left to Tell: Discovering God Amidst the Rwandan Holocaust,Immaculée Ilibagiza,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1401908977"", ""ISBN13:"": ""9781401908973"", ""Release Date:"": ""June 2007"", ""Publisher:"": ""Hay House"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.93 lbs."", ""Dimensions:"": ""0.7\"" x 6.0\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/8F85DA58D760E99B4B6A9448A94CCD8D35C63E8A.jpeg
An Army at Dawn,Rick Atkinson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0805062882"", ""ISBN13:"": ""9780805062885"", ""Release Date:"": ""October 2002"", ""Publisher:"": ""Henry Holt and Co."", ""Length:"": ""681 Pages"", ""Weight:"": ""2.57 lbs."", ""Dimensions:"": ""9.6\"" x 1.6\"" x 6.5\""""}",https://m.media-amazon.com/images/I/51KAHsu+IsL._SL350_.jpg
West with the Night,Beryl Markham,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0865471185"", ""ISBN13:"": ""9780865471184"", ""Release Date:"": ""January 1983"", ""Publisher:"": ""North Point Press"", ""Length:"": ""294 Pages"", ""Weight:"": ""0.73 lbs."", ""Dimensions:"": ""0.8\"" x 5.6\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/E7B8B2705C34E0A801DE8EF98E306A2F203B66FA.jpeg
Ancient Egypt,George Hart,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""067980742X"", ""ISBN13:"": ""9780679807421"", ""Release Date:"": ""August 1990"", ""Publisher:"": ""Alfred A. Knopf Books for Young Readers"", ""Length:"": ""63 Pages"", ""Weight:"": ""1.30 lbs."", ""Dimensions:"": ""0.5\"" x 8.8\"" x 11.3\"""", ""Age Range:"": ""9 to 12 years"", ""Grade Range:"": ""Grades 4 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/3E32A286285BFE959D165A41D9A8A8E064997822.jpeg
Black Hawk Down: A Story of Modern War,Mark Bowden,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0871137380"", ""ISBN13:"": ""9780871137388"", ""Release Date:"": ""February 1999"", ""Publisher:"": ""Atlantic Monthly Press"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""1.3\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/5830954D352C3AD0F3DB15344B9CD2E47AD68F2C.jpeg
