Book Name,Authors,Info,Image URL
"The Complete Eldercare Planner: Where to Start, Which Questions to Ask, and How to Find Help",Joy Loverde,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307409627"", ""ISBN13:"": ""9780307409621"", ""Release Date:"": ""April 2009"", ""Publisher:"": ""Harmony"", ""Length:"": ""400 Pages"", ""Weight:"": ""1.85 lbs."", ""Dimensions:"": ""0.8\"" x 8.0\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/A1FBA69A492B47393ECA3490833CFCF76FE35908.jpeg
"How to Care for Aging Parents: A One-Stop Resource for All Your Medical, Financial, Housing, and Emotional Issues",Virginia B. Morris,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0761166769"", ""ISBN13:"": ""9780761166764"", ""Release Date:"": ""February 2014"", ""Publisher:"": ""Workman Publishing"", ""Length:"": ""688 Pages"", ""Weight:"": ""1.90 lbs."", ""Dimensions:"": ""1.8\"" x 6.2\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/622D79B5A50BA9A23C0B7A4A04201A9D29E0449D.jpeg
Another Country: Navigating the Emotional Terrain of Our Elders,Mary Pipher,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1573227846"", ""Release Date:"": ""March 2000"", ""Publisher:"": ""Riverhead Books"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""8.2\"" x 0.9\"" x 5.4\""""}",https://m.media-amazon.com/images/I/410615F33VL._SL350_.jpg
Your Best is Good Enough: Aging Parents and Your Emotions,Vivian E. Greenberg,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0669213322"", ""ISBN13:"": ""9780669213324"", ""Release Date:"": ""January 1989"", ""Publisher:"": ""Lexington Books"", ""Length:"": ""170 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.8\"" x 6.5\"" x 9.6\""""}",https://m.media-amazon.com/images/I/51jmIh21-WL._SL350_.jpg
Elder Rage 2/E: How to Survive Caring for Aging Parents,Jacqueline Marcell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0967970318"", ""ISBN13:"": ""9780967970318"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""Impressive Press"", ""Length:"": ""345 Pages"", ""Weight:"": ""1.14 lbs."", ""Dimensions:"": ""0.9\"" x 5.5\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/210B4AB3299878B6D2705528AE565F159B6F46A2.jpeg
"The 36-Hour Day: A Family Guide to Caring for People Who Have Alzheimer Disease, Related Dementias, and Memory Loss",Peter V. Rabins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1421402807"", ""ISBN13:"": ""9781421402802"", ""Release Date:"": ""September 2011"", ""Publisher:"": ""Johns Hopkins University Press"", ""Length:"": ""353 Pages"", ""Weight:"": ""1.03 lbs."", ""Dimensions:"": ""1.1\"" x 6.0\"" x 9.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/26E60B211372FA25275A83863A482179422F538C.jpeg
The Aging Parent Handbook,Virginia Schomp,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/54EC87927A694FB8D60C1D7190CC2BBE3074C0D4.jpeg
The Complete Idiot's Guide to Caring for Aging Parents,Linda Colvin Rhodes,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""002863943X"", ""ISBN13:"": ""9780028639437"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""Alpha Books"", ""Length:"": ""339 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""0.8\"" x 7.4\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/EBC687C2F759BC179F622EE88B2B1DA60830DEBC.jpeg
A Bittersweet Season: Caring for Our Aging Parents--And Ourselves,Jane Gross,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""030747240X"", ""ISBN13:"": ""9780307472403"", ""Release Date:"": ""May 2012"", ""Publisher:"": ""Vintage"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.9\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/00F7E63DC6302F08374945B24FB44FD1CF26DAE9.jpeg
"Montessori-Based Activities for Persons with Dementia, Vol 2",Cameron J. Camp,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/AC7102680C7D1EE8AD9FDAC79AD6437E5AF1C600.jpeg
