Book Name,Authors,Info,Image URL
Younger Next Year: A Guide to Living Like 50 Until You're 80 and Beyond,Chris Crowley,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0761134239"", ""ISBN13:"": ""9780761134237"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""Workman Publishing"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.52 lbs."", ""Dimensions:"": ""1.3\"" x 6.3\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/8781F412A4F4E36FDFED8846E4189374E11EDE42.jpeg
I Feel Bad about My Neck: And Other Thoughts on Being a Woman,Nora Ephron,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307264556"", ""ISBN13:"": ""9780307264558"", ""Release Date:"": ""August 2006"", ""Publisher:"": ""Knopf Publishing Group"", ""Length:"": ""137 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.8\"" x 6.0\"" x 8.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/E00B59AF5D09087F9E22F35532F230AC4E9B6857.jpeg
Healthy Aging: A Lifelong Guide to Your Physical and Spiritual Well-Being,Andrew Weil,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0375407553"", ""ISBN13:"": ""9780375407550"", ""Release Date:"": ""October 2005"", ""Publisher:"": ""Alfred A. Knopf"", ""Length:"": ""293 Pages"", ""Weight:"": ""1.45 lbs."", ""Dimensions:"": ""1.4\"" x 6.3\"" x 9.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/9DEF2E5F5C3F0ED9C24F33767C2A3500A45F578F.jpeg
How Not to Become a Little Old Lady,Mary McHugh,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0740722131"", ""Release Date:"": ""March 2002"", ""Publisher:"": ""Andrews McMeel Publishing"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.39 lbs."", ""Dimensions:"": ""6.2\"" x 0.5\"" x 6.1\""""}",https://m.media-amazon.com/images/I/51ZWtcd4CaL._SL350_.jpg
Younger Next Year for Women,Chris Crowley,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0761140735"", ""ISBN13:"": ""9780761140733"", ""Release Date:"": ""November 2005"", ""Publisher:"": ""Workman Publishing"", ""Length:"": ""383 Pages"", ""Weight:"": ""1.72 lbs."", ""Dimensions:"": ""1.5\"" x 6.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/56E5923975CAE47502759C502949315D980E00EC.jpeg
"Transitions: Making Sense of Life's Changes, Revised 25th Anniversary Edition",William Bridges,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""073820904X"", ""Release Date:"": ""August 2004"", ""Publisher:"": ""Da Capo Lifelong Books"", ""Length:"": ""194 Pages"", ""Weight:"": ""0.10 lbs."", ""Dimensions:"": ""8.3\"" x 0.8\"" x 5.5\""""}",https://m.media-amazon.com/images/I/51mt-7k+2cL._SL350_.jpg
"Ageless Body, Timeless Mind: The Quantum Alternative to Growing Old",Deepak Chopra,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0517882124"", ""Release Date:"": ""December 1994"", ""Publisher:"": ""Harmony"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.88 lbs."", ""Dimensions:"": ""8.0\"" x 0.8\"" x 5.2\""""}",https://m.media-amazon.com/images/I/41LipGPQMDL._SL350_.jpg
"Finding Meaning in the Second Half of Life: How to Finally, Really Grow Up",James Hollis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1592402070"", ""ISBN13:"": ""9781592402076"", ""Release Date:"": ""March 2006"", ""Publisher:"": ""Avery Publishing Group"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.57 lbs."", ""Dimensions:"": ""0.8\"" x 5.3\"" x 8.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/FDC12AB53DD98206D01E3A8FD66392FA9B397516.jpeg
Ageless: The Naked Truth about Bioidentical Hormones,Suzanne Somers,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307237249"", ""ISBN13:"": ""9780307237248"", ""Release Date:"": ""October 2006"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""427 Pages"", ""Weight:"": ""1.70 lbs."", ""Dimensions:"": ""1.4\"" x 6.4\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/E93332D4EAEE5FA2FFA62788B513D3F6D540EBFF.jpeg
How Not to Become a Crotchety Old Man,Mary McHugh,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0740739522"", ""ISBN13:"": ""9780740739521"", ""Release Date:"": ""April 2004"", ""Publisher:"": ""Andrews McMeel Publishing"", ""Length:"": ""138 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.4\"" x 5.9\"" x 5.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/866CC1A89413107F031C152AA7186A099D5FBF98.jpeg
Free Money and Services for Seniors and Their Families,Laurie Blum,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0471114898"", ""ISBN13:"": ""9780471114895"", ""Release Date:"": ""January 2004"", ""Publisher:"": ""Wiley"", ""Length:"": ""341 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.9\"" x 5.9\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/CD25350100AE0BF2FDF4620806CD224ED8FF62CA.jpeg
Ending Aging: The Rejuvenation Breakthroughs That Could Reverse Human Aging in Our Lifetime,Aubrey de Grey,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0312367066"", ""ISBN13:"": ""9780312367060"", ""Release Date:"": ""September 2007"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""389 Pages"", ""Weight:"": ""1.90 lbs."", ""Dimensions:"": ""1.3\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/EA1D857E4FB7B5A6CA5D1CDC1D599F16FC113970.jpeg
This Chair Rocks: A Manifesto Against Ageism,Ashton Applewhite,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1250311489"", ""ISBN13:"": ""9781250311481"", ""Release Date:"": ""March 2019"", ""Publisher:"": ""Celadon Books"", ""Length:"": ""304 Pages"", ""Weight:"": ""1.12 lbs."", ""Dimensions:"": ""1.1\"" x 6.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/C63BC423D0E15E3B578C031739D26E4AE222516E.jpeg
Aging: Concepts and Controversies,Harry R. Moody,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1452275882"", ""ISBN13:"": ""9781452275888"", ""Release Date:"": ""March 2014"", ""Publisher:"": ""Sage Publications, Inc"", ""Length:"": ""600 Pages"", ""Weight:"": ""2.00 lbs."", ""Dimensions:"": ""1.0\"" x 7.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/FD182A7380DD336C0E3956F6770E2CEF845E0DD3.jpeg
Chasing Life: New Discoveries in the Search for Immortality to Help You Age Less Today,Sanjay Gupta,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0446526509"", ""ISBN13:"": ""9780446526500"", ""Release Date:"": ""April 2007"", ""Publisher:"": ""Warner Wellness"", ""Length:"": ""260 Pages"", ""Weight:"": ""1.08 lbs."", ""Dimensions:"": ""1.1\"" x 6.4\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/95B6C873EFC4F7387A7C51488570969DDEBE5CD0.jpeg
