Book Name,Authors,Info,Image URL
Letter to a Christian Nation,Sam Harris,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307265773"", ""ISBN13:"": ""9780307265777"", ""Release Date:"": ""September 2006"", ""Publisher:"": ""Alfred A. Knopf"", ""Length:"": ""96 Pages"", ""Weight:"": ""0.42 lbs."", ""Dimensions:"": ""0.6\"" x 4.6\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/90570C27FFCE975F157680F4C7749D2DBEB0CD4F.jpeg
The Case for God,Karen Armstrong,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307397440"", ""ISBN13:"": ""9780307397447"", ""Release Date:"": ""September 2010"", ""Publisher:"": ""Vintage Books Canada"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.9\"" x 5.1\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/0F8104E216DB296030085276F4094A265E4B3F73.jpeg
Why I Am Not a Christian: And Other Essays on Religion and Related Subjects,Bertrand Russell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671203231"", ""ISBN13:"": ""9780671203238"", ""Release Date:"": ""October 1967"", ""Publisher:"": ""Touchstone Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.62 lbs."", ""Dimensions:"": ""0.7\"" x 5.8\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/57B4DB4F099C5EB41600BDD460A7BF50B0B7AD5E.jpeg
I Don't Believe in Atheists,Chris Hedges,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""141656795X"", ""ISBN13:"": ""9781416567950"", ""Release Date:"": ""March 2008"", ""Publisher:"": ""Free Press"", ""Length:"": ""212 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 7.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/3C4E841E7637255933FD7C204952C333FF70DFD4.jpeg
Spiritual Envy: An Agnostic's Quest,Michael Krasny,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1577319125"", ""ISBN13:"": ""9781577319122"", ""Release Date:"": ""October 2010"", ""Publisher:"": ""New World Library"", ""Length:"": ""264 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.9\"" x 6.3\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/BCDE051B81FDE8FD6F7EE330450117C633437D01.jpeg
Divinity of Doubt: The God Question,Vincent Bugliosi,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1593156294"", ""ISBN13:"": ""9781593156299"", ""Release Date:"": ""April 2011"", ""Publisher:"": ""Vanguard Press"", ""Length:"": ""338 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""1.3\"" x 6.2\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/0BCBA08CE5333547224CE1A06E3B4BEB4104A6FF.jpeg
The Shattered Lantern: Rediscovering a Felt Presence of God,Ronald Rolheiser,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0824522753"", ""ISBN13:"": ""9780824522759"", ""Release Date:"": ""February 2005"", ""Publisher:"": ""Crossroad Publishing"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.89 lbs."", ""Dimensions:"": ""0.6\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/1418F510F17EF7739F8AE1E1F50F5C23F8ABDA58.jpeg
Spirituality for the Skeptic: The Thoughtful Love of Life,Robert C. Solomon,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0195134672"", ""ISBN13:"": ""9780195134674"", ""Release Date:"": ""May 2002"", ""Publisher:"": ""Clarendon Press"", ""Length:"": ""176 Pages"", ""Weight:"": ""0.98 lbs."", ""Dimensions:"": ""0.8\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/D63E9ECFD8D84983EAD9D9576BE1A9AD7A93AEE7.jpeg
Waiting: A Nonbeliever's Higher Power,Marya Hornbacher,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1592858252"", ""ISBN13:"": ""9781592858255"", ""Release Date:"": ""April 2011"", ""Publisher:"": ""Hazelden Publishing & Educational Services"", ""Length:"": ""168 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""0.4\"" x 5.4\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/EB3206EB1DD1C4FECED290F431DC3B4530DBD1E8.jpeg
Knowing Man,J.I. Packer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""089107175X"", ""ISBN13:"": ""9780891071754"", ""Release Date:"": ""January 1980"", ""Publisher:"": ""Crossway Books"", ""Length:"": ""104 Pages"", ""Weight:"": ""0.30 lbs.""}",https://image-plz.thriftbooks.com/m/9F35043F70EB48939AAF9D7CD9E5869D.png
