Book Name,Authors,Info,Image URL
The Omnivore's Dilemma: A Natural History of Four Meals,Michael Pollan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0143038583"", ""ISBN13:"": ""9780143038580"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""480 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.1\"" x 5.4\"" x 8.4\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/AD6BFDD63E305D3CA4933941DF0A1FC2175CA413.jpeg
Carrots Love Tomatoes: Secrets of Companion Planting for Successful Gardening,Louise Riotte,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1580170277"", ""ISBN13:"": ""9781580170277"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Storey Publishing"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.83 lbs."", ""Dimensions:"": ""0.6\"" x 6.0\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/6445231A61B38B1506836BAC0415530BC43A3B80.jpeg
Little Heathens: Hard Times and High Spirits on an Iowa Farm During the Great Depression,Mildred Armstrong Kalish,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0553804952"", ""ISBN13:"": ""9780553804959"", ""Release Date:"": ""May 2007"", ""Publisher:"": ""Bantam Books"", ""Length:"": ""292 Pages"", ""Weight:"": ""1.02 lbs."", ""Dimensions:"": ""0.8\"" x 5.8\"" x 8.4\"""", ""Age Range:"": ""19 years and up"", ""Grade Range:"": ""Postsecondary""}",https://i.thriftbooks.com/api/imagehandler/m/15ED3CFA0B70A7D39484BADF2ACCCA40B0E49CB3.jpeg
Eating Animals,Jonathan Safran Foer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316069884"", ""Release Date:"": ""September 2010"", ""Publisher:"": ""Back Bay Books"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""8.3\"" x 1.0\"" x 5.5\""""}",https://m.media-amazon.com/images/I/51HVyQfhcIL._SL350_.jpg
The Year at Maple Hill Farm,Alice Provensen,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0689306423"", ""ISBN13:"": ""9780689306426"", ""Release Date:"": ""May 1981"", ""Publisher:"": ""Atheneum Books for Young Readers"", ""Length:"": ""32 Pages"", ""Weight:"": ""0.38 lbs."", ""Dimensions:"": ""0.3\"" x 9.4\"" x 12.6\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/4B6B62254E1377DB4CB01FF48D798CE33291E84A.jpeg
Root Cellaring: Natural Cold Storage of Fruits & Vegetables,Nancy Bubel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0882667033"", ""ISBN13:"": ""9780882667034"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""Storey Publishing"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.8\"" x 6.0\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/29AC4FB052AB5A738D5DE9E420317C00356D8FD6.jpeg
Hyperspace,Michio Kaku,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0195085140"", ""ISBN13:"": ""9780195085143"", ""Release Date:"": ""March 1994"", ""Publisher:"": ""Oxford University Press, USA"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""1.4\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/DDD7B6F5EDF11FD5C2846262C8957C558F321FE2.jpeg
"Heinerman's Encyclopedia of Fruits, Vegetables, and Herbs",John Heinerman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""013385857X"", ""ISBN13:"": ""9780133858570"", ""Release Date:"": ""January 1988"", ""Publisher:"": ""Parker Publishing Company"", ""Length:"": ""400 Pages"", ""Weight:"": ""1.90 lbs."", ""Dimensions:"": ""1.5\"" x 6.3\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/8D021FA183CDD1E8012C7BD1AD3B5888C9116B01.jpeg
The One-Straw Revolution: An Introduction to Natural Farming,Masanobu Fukuoka,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1590173139"", ""ISBN13:"": ""9781590173138"", ""Release Date:"": ""June 2009"", ""Publisher:"": ""New York Review of Books"", ""Length:"": ""200 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""0.6\"" x 5.2\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/C4274AB9F0B2358B7985A2336B72E42F4C85A144.jpeg
The End of Overeating: Taking Control of the Insatiable American Appetite,David A. Kessler,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1605297852"", ""ISBN13:"": ""9781605297859"", ""Release Date:"": ""April 2009"", ""Publisher:"": ""Rodale Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""1.1\"" x 6.5\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/99F231C18A52C02B97F2342F2CE7516389DB858A.jpeg
Storey's Guide to Raising Chickens: Care / Feeding / Facilities,Gail Damerow,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""158017325X"", ""ISBN13:"": ""9781580173254"", ""Release Date:"": ""January 1995"", ""Publisher:"": ""Storey Publishing"", ""Length:"": ""352 Pages"", ""Weight:"": ""1.28 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/1B71A33C7186DF7DC7763A4790D04C960046C06D.jpeg
Let It Rot!: The Gardener's Guide to Composting,Stu Campbell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0882666355"", ""ISBN13:"": ""9780882666358"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""Storey Publishing"", ""Length:"": ""152 Pages"", ""Weight:"": ""0.54 lbs."", ""Dimensions:"": ""0.5\"" x 6.0\"" x 9.2\""""}",https://m.media-amazon.com/images/I/51lUraAi3VL._SL350_.jpg
Dog Training for Dummies,Jack Volhard,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0470600292"", ""ISBN13:"": ""9780470600290"", ""Release Date:"": ""July 2010"", ""Publisher:"": ""For Dummies"", ""Length:"": ""388 Pages"", ""Weight:"": ""1.38 lbs."", ""Dimensions:"": ""0.9\"" x 7.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/436B7D11666FF13169F1CB43056B0A2157551A78.jpeg
The Rodale Book of Composting: Easy Methods for Every Gardener,Grace Gershuny,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0878579915"", ""ISBN13:"": ""9780878579914"", ""Release Date:"": ""January 1992"", ""Publisher:"": ""Rodale Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.02 lbs."", ""Dimensions:"": ""0.6\"" x 6.5\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/5EA55CE013D166425B9BF3D057879A895E9C8360.jpeg
Worms Eat My Garbage,Mary Appelhof,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0942256107"", ""ISBN13:"": ""9780942256109"", ""Release Date:"": ""November 1997"", ""Publisher:"": ""Chelsea Green Publishing Company"", ""Length:"": ""162 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.4\"" x 5.5\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/C8B1BDDA465431992B6EDA8BAE1D841689F8D008.jpeg
Keeping Food Fresh: Old World Techniques & Recipes,Centre Terre Vivante,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1890132101"", ""ISBN13:"": ""9781890132101"", ""Release Date:"": ""January 1999"", ""Publisher:"": ""Chelsea Green Publishing Company"", ""Length:"": ""197 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.5\"" x 6.2\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/FCE3276ED26E2B8E8B189491157F76CE93213673.jpeg
