Book Name,Authors,Info,Image URL
Healing with Whole Foods: Oriental Traditions and Modern Nutrition,Paul Pitchford,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1556432208"", ""ISBN13:"": ""9781556432200"", ""Release Date:"": ""July 1993"", ""Publisher:"": ""North Atlantic Books"", ""Length:"": ""658 Pages"", ""Weight:"": ""3.68 lbs."", ""Dimensions:"": ""1.8\"" x 7.7\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/52F45271CFC8E1E61E415C677FC28BC2C41B0A23.jpeg
Atlas of Human Anatomy,Frank H. Netter,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0914168185"", ""ISBN13:"": ""9780914168188"", ""Release Date:"": ""January 1989"", ""Publisher:"": ""ICON Learning Systems"", ""Length:"": ""514 Pages"", ""Weight:"": ""5.15 lbs."", ""Dimensions:"": ""1.9\"" x 10.0\"" x 14.8\""""}",https://m.media-amazon.com/images/I/41OqGUyeK-L._SL350_.jpg
Ency of Herbal Medicine 3/E: 550 Herbs and Remedies for Common Ailments,Andrew Chevallier,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/1CA3989CEB27A7BF85C2DB40651767CC346DCD8E.jpeg
Anatomy of Movement,Blandine Calais-Germain,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0939616173"", ""ISBN13:"": ""9780939616176"", ""Release Date:"": ""October 1993"", ""Publisher:"": ""W.B. Saunders Company"", ""Length:"": ""289 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.7\"" x 6.9\"" x 9.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/F50E164D6334019FC5AA146F2B4BE4324E8A3239.jpeg
Pathophysiology Made Incredibly Easy!,Lippincott Williams & Wilkins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""145114623X"", ""ISBN13:"": ""9781451146233"", ""Release Date:"": ""January 2012"", ""Publisher:"": ""LWW"", ""Length:"": ""535 Pages"", ""Weight:"": ""2.00 lbs."", ""Dimensions:"": ""1.1\"" x 7.1\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/6092D66C4072D695B7480188198EBE72256BAA12.jpeg
"The Miracle of Fasting: Proven Throughout History for Physical, Mental, & Spiritual Rejuvenation",Patricia Bragg,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0877900396"", ""Release Date:"": ""September 2004"", ""Publisher:"": ""Bragg"", ""Length:"": ""280 Pages"", ""Weight:"": ""1.01 lbs."", ""Dimensions:"": ""9.1\"" x 0.7\"" x 6.1\""""}",https://m.media-amazon.com/images/I/51Z9MQtAd7L._SL350_.jpg
Fasting and Eating for Health: A Medical Doctor's Program for Conquering Disease,Joel Fuhrman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""031218719X"", ""ISBN13:"": ""9780312187194"", ""Release Date:"": ""April 1995"", ""Publisher:"": ""St. Martin's Griffin"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.7\"" x 5.6\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/15C3371A6BB82957162FD3C196FAB8B6905D04ED.jpeg
Essentials,Elaine N. Marieb,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0805349383"", ""ISBN13:"": ""9780805349382"", ""Release Date:"": ""January 1999"", ""Publisher:"": ""Benjamin-Cummings Publishing Company"", ""Weight:"": ""3.35 lbs.""}",https://m.media-amazon.com/images/I/51TV-OYH-iL._SL350_.jpg
Clinically Oriented Anatomy,Keith L. Moore,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0781775256"", ""ISBN13:"": ""9780781775250"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Lippincott Williams & Wilkins"", ""Length:"": ""1134 Pages"", ""Weight:"": ""5.10 lbs."", ""Dimensions:"": ""1.6\"" x 8.6\"" x 10.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/470BB1B38A54354653483C158391E594DEB63C14.jpeg
Essentials of Anatomy and Physiology + Workbook for Essentials of Anatomy and Physiology Pkg,Valerie C. Scanlon,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0803644094"", ""ISBN13:"": ""9780803644090"", ""Release Date:"": ""December 2014"", ""Publisher:"": ""F. A. Davis Company"", ""Length:"": ""2 Pages"", ""Weight:"": ""3.00 lbs."", ""Dimensions:"": ""2.0\"" x 8.1\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/88EF1AAE6D6A01334884DF3ADF312C1872534FD9.jpeg
