Book Name,Authors,Info,Image URL
The American Patriot's Almanac,John Cribb,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1595552677"", ""ISBN13:"": ""9781595552679"", ""Release Date:"": ""November 2008"", ""Publisher:"": ""Thomas Nelson Publishers"", ""Length:"": ""515 Pages"", ""Weight:"": ""2.34 lbs."", ""Dimensions:"": ""1.8\"" x 7.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/BEB0C036E621E0AAF10F640CF6015D4E1078DC8C.jpeg
"Elizabeth Zimmermann's Knitter's Almanac (Dover Knitting, Crochet, Tatting, Lace)",Elizabeth Zimmermann,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0486241785"", ""Release Date:"": ""October 1981"", ""Publisher:"": ""Dover Publications"", ""Length:"": ""160 Pages"", ""Weight:"": ""0.43 lbs."", ""Dimensions:"": ""8.0\"" x 0.3\"" x 5.4\""""}",https://m.media-amazon.com/images/I/51pDRbfoK8L._SL350_.jpg
Almanac of World History,Patricia S. Daniels,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0792250923"", ""ISBN13:"": ""9780792250920"", ""Release Date:"": ""November 2003"", ""Publisher:"": ""National Geographic Society"", ""Length:"": ""384 Pages"", ""Weight:"": ""2.72 lbs."", ""Dimensions:"": ""1.3\"" x 7.6\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/14752AE422BAF6C086AC5911430F0F427A95D21F.jpeg
Nutrition Almanac,John D. Kirschmann,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0071373381"", ""ISBN13:"": ""9780071373388"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""McGraw-Hill Companies"", ""Length:"": ""291 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.8\"" x 8.5\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/C70110B4B34E5E93F78C11F0F6A130C6D238FFD1.jpeg
The People's Almanac Presents the Book of Lists,Irving Wallace,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0688031838"", ""ISBN13:"": ""9780688031831"", ""Release Date:"": ""January 1977"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""521 Pages"", ""Weight:"": ""1.85 lbs.""}",https://m.media-amazon.com/images/I/61ImWFfJrGL._SL350_.jpg
"Ken Jennings's Trivia Almanac: 8,888 Questions in 365 Days",Ken Jennings,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0345499972"", ""ISBN13:"": ""9780345499974"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Villard Books"", ""Length:"": ""544 Pages"", ""Weight:"": ""2.33 lbs."", ""Dimensions:"": ""1.4\"" x 7.6\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/1C65B81841381D187856055A8958AC861BB894C0.jpeg
"The American Ephemeris for the 21st Century, 2000-2050 at Midnight",Rique Pottenger,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""193497613X"", ""ISBN13:"": ""9781934976135"", ""Release Date:"": ""January 2010"", ""Publisher:"": ""ACS Publications"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.18 lbs."", ""Dimensions:"": ""0.7\"" x 6.7\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/8F64CA4D67B81BF83C14ECD3777BFE37D05E3B53.jpeg
Leonard Maltin's Classic Movie Guide: From the Silent Era Through 1965,Leonard Maltin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0452295777"", ""ISBN13:"": ""9780452295773"", ""Release Date:"": ""January 2010"", ""Publisher:"": ""Penguin Publishing Group"", ""Length:"": ""828 Pages"", ""Weight:"": ""1.38 lbs."", ""Dimensions:"": ""1.8\"" x 5.2\"" x 7.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/B39F290F4F9CB30466F98EE6A4E8CD7358C34ABF.jpeg
National Geographic Almanac of Geography,National Geographic,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""079223877X"", ""ISBN13:"": ""9780792238775"", ""Release Date:"": ""September 2005"", ""Publisher:"": ""National Geographic Society"", ""Length:"": ""512 Pages"", ""Weight:"": ""3.10 lbs."", ""Dimensions:"": ""1.3\"" x 7.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/83FE0240010C74BEB049326A35E1B7D37AAF4C47.jpeg
National Geographic Almanac of American History,James Miller,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0792283686"", ""ISBN13:"": ""9780792283683"", ""Release Date:"": ""December 2005"", ""Publisher:"": ""National Geographic Society"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.80 lbs."", ""Dimensions:"": ""1.2\"" x 7.9\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/2C8ED09C3E82A679870C06EA69DC90D8DB8051F5.jpeg
