Book Name,Authors,Info,Image URL
Prescip for Nut Heali,James F. Balch,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""089529429X"", ""ISBN13:"": ""9780895294296"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""Avery Publishing Group"", ""Length:"": ""368 Pages"", ""Weight:"": ""2.39 lbs."", ""Dimensions:"": ""1.1\"" x 8.8\"" x 10.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/F336C8D37D431F0C5205079B080D59C606AE7BE2.jpeg
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0975599518"", ""Release Date:"": ""January 2004"", ""Publisher:"": ""Alliance Publishing"", ""Length:"": ""571 Pages"", ""Weight:"": ""2.09 lbs."", ""Dimensions:"": ""9.1\"" x 1.5\"" x 6.3\""""}",https://m.media-amazon.com/images/I/51-quV6EE1L._SL350_.jpg
The Healing Herbs,Michael Castleman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0878579346"", ""ISBN13:"": ""9780878579341"", ""Release Date:"": ""April 1991"", ""Publisher:"": ""Rodale Books"", ""Length:"": ""436 Pages"", ""Weight:"": ""2.05 lbs."", ""Dimensions:"": ""1.1\"" x 7.8\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/1353611DBD3D6A590E89140635622ACB231CD245.jpeg
The Herb Book,John B. Lust,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553267701"", ""ISBN13:"": ""9780553267709"", ""Release Date:"": ""January 1974"", ""Publisher:"": ""Bantam Books"", ""Length:"": ""688 Pages"", ""Weight:"": ""0.61 lbs."", ""Dimensions:"": ""1.2\"" x 4.2\"" x 6.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/A952AF41B812888A27019BA086538851C3F0AF5D.jpeg
The Back to Eden Cookbook,Jethro Kloss,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""B001V86VU8"", ""ISBN13:"": ""9780940676039"", ""Release Date:"": ""January 2010"", ""Publisher:"": ""Lotus Press (WI)"", ""Length:"": ""160 Pages"", ""Weight:"": ""0.44 lbs."", ""Dimensions:"": ""0.4\"" x 5.3\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/2F0F6FC132A61F578037FB07772ABF15FFC435E3.jpeg
Quantum Healing: Exploring the Frontiers of Mind/Body Medicine,Deepak Chopra,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553348698"", ""Release Date:"": ""May 1990"", ""Publisher:"": ""Bantam"", ""Length:"": ""278 Pages"", ""Weight:"": ""0.71 lbs."", ""Dimensions:"": ""9.0\"" x 0.6\"" x 6.0\""""}",https://m.media-amazon.com/images/I/51xwx7MDYUL._SL350_.jpg
"The Complete Book of Essential Oils and Aromatherapy: Over 600 Natural, Non-Toxic and Fragrant Recipes to Create Health -- Beauty -- A Safe Home Envir",Valerie Ann Worwood,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0931432820"", ""ISBN13:"": ""9780931432828"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""New World Library"", ""Length:"": ""448 Pages"", ""Weight:"": ""1.18 lbs."", ""Dimensions:"": ""1.2\"" x 6.1\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/CF6086A7CA84BE8974B5927D3D4E3E6F59B8FA6F.jpeg
When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1570623449"", ""ISBN13:"": ""9781570623448"", ""Release Date:"": ""September 2000"", ""Publisher:"": ""Shambhala Publications"", ""Length:"": ""160 Pages"", ""Weight:"": ""0.53 lbs."", ""Dimensions:"": ""0.5\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/A097F6F1CAE61FB08A176FBE7CFA6D475EEA5AF7.jpeg
Complete Book of Natural and Medicinal Cures: How to Choose the Most Potent Healing Agents for Over 300 Conditions and Diseases,Prevention Magazine,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0875961908"", ""ISBN13:"": ""9780875961903"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""Rodale Books"", ""Length:"": ""654 Pages"", ""Weight:"": ""2.31 lbs."", ""Dimensions:"": ""1.6\"" x 6.8\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/A7A71A3E6C4029C56988C2B86D7633E60C1AB96D.jpeg
The Herbal Drugstore: The Best Natural Alternatives to Over-The-Counter and Prescription Medicines!,Linda B. White,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1579541348"", ""ISBN13:"": ""9781579541347"", ""Release Date:"": ""July 2000"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""610 Pages"", ""Weight:"": ""2.00 lbs."", ""Dimensions:"": ""1.5\"" x 6.7\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/5BC6FA973EBF882649AC824DE3598802ED0B6A5A.jpeg
Ancient healing secrets: Practical cures that work today,Dian Dincin Buchman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0824102886"", ""ISBN13:"": ""9780824102883"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Ottenheimer Publishers"", ""Length:"": ""283 Pages"", ""Weight:"": ""0.05 lbs.""}",https://m.media-amazon.com/images/I/51y6ayxq97L._SL350_.jpg
Science of Homeopathy,George Vithoulkas,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0802151205"", ""ISBN13:"": ""9780802151209"", ""Release Date:"": ""January 1980"", ""Publisher:"": ""Grove/Atlantic"", ""Length:"": ""331 Pages"", ""Weight:"": ""1.16 lbs."", ""Dimensions:"": ""1.0\"" x 6.2\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/4C06BB1A269CFD3229D7B8526BC6DDE84D2D7A62.jpeg
Culpeper's Complete Herbal: Over 400 Herbs and Their Uses,Nicholas Culpeper,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1789506522"", ""ISBN13:"": ""9781789506525"", ""Release Date:"": ""September 2019"", ""Publisher:"": ""Arcturus Editions"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/CD96EAAED60C09ADE592146B7B2A056B9563122B.jpeg
Scientific Validation of Herbal Medicine,Daniel Mowrey,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0879835346"", ""ISBN13:"": ""9780879835347"", ""Release Date:"": ""October 1986"", ""Publisher:"": ""McGraw-Hill Companies"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.21 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/0DF71E481E3B96582DD6035BF4D3B8DBA0989BEA.jpeg
The People's Pharmacy Quick & Handy Home Remedies: Q&As for Your Common Ailments,Joe Graedon,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1426207115"", ""ISBN13:"": ""9781426207112"", ""Release Date:"": ""May 2011"", ""Publisher:"": ""National Geographic Society"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.72 lbs."", ""Dimensions:"": ""0.7\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/A3A116EC9A60BFB736FA5DCB37F5F17404A2C441.jpeg
The Practical Encyclopedia of Natural Healing,Mark Bricklin,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1567310052"", ""ISBN13:"": ""9781567310054"", ""Release Date:"": ""January 1997"", ""Publisher:"": ""MJF Books"", ""Length:"": ""574 Pages"", ""Weight:"": ""1.15 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/028362B42BF3BFA6D1E4E73070987EB62BBE9EB4.jpeg
Prescription Alternatives,Virginia Hopkins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""087983790X"", ""ISBN13:"": ""9780879837907"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Keats Publishing"", ""Length:"": ""672 Pages"", ""Weight:"": ""2.40 lbs."", ""Dimensions:"": ""1.5\"" x 9.0\"" x 7.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/5EF69A9AE17B9157082EF43EF9389A49DB9B6319.jpeg
Natural Strategies for Cancer Patients,Russell L. Blaylock,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0758202210"", ""ISBN13:"": ""9780758202215"", ""Release Date:"": ""October 2003"", ""Publisher:"": ""Kensington Publishing Corporation"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""1.0\"" x 5.4\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/B10D46EC601337EFD33236C026832500D4EAFEDF.jpeg
