Book Name,Authors,Info,Image URL
"Black Flags and Windmills: Hope, Anarchy, and the Common Ground Collective",Scott Crow,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1604864532"", ""ISBN13:"": ""9781604864533"", ""Release Date:"": ""August 2014"", ""Publisher:"": ""PM Press"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.8\"" x 5.9\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/02A8FAF6E0ADF003CE03DF6A987417E0318CE5FC.jpeg
Drawing the Line: A Pamphlet,Paul Goodman,"{""Format:"": ""Paperback"", ""ISBN:"": ""B000GWFRRI"", ""Release Date:"": ""January 1962"", ""Publisher:"": ""Random House"", ""Weight:"": ""1.02 lbs.""}",https://m.media-amazon.com/images/I/51vu4dkPGLL._SL350_.jpg
Carlo Tresca: Portrait of a Rebel,Nunzio Pernicone,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1849350035"", ""ISBN13:"": ""9781849350037"", ""Release Date:"": ""October 2010"", ""Publisher:"": ""AK Press"", ""Length:"": ""380 Pages"", ""Weight:"": ""1.33 lbs."", ""Dimensions:"": ""1.0\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/630EB8D85E698495BA69649A99C59D67C684B3F5.jpeg
Without A Glimmer of Remorse...,Pino Cacucci,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/334CDBF72CDC275DF011BF0381B0712AD40A9E54.jpeg
Red Emma Speaks: An Emma Goldman Reader,Emma Goldman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1573924644"", ""ISBN13:"": ""9781573924641"", ""Release Date:"": ""May 1996"", ""Publisher:"": ""Humanities Press Intl"", ""Length:"": ""476 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""1.0\"" x 5.4\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/FCAC6ABD49BF6C9EC319289351D41E2C9B2DAF5E.jpeg
Anarchy!: An Anthology of Emma Goldman's Mother Earth,Peter Glassgold,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/3DA4046A41CD924BD9C8ED024C05C975E1EF0E66.jpeg
Anarchist Portraits,Paul Avrich,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0691006091"", ""ISBN13:"": ""9780691006093"", ""Release Date:"": ""February 1990"", ""Publisher:"": ""Princeton University Press"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.06 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/8B370D21F45DF1AF8D04A95ED6E9526A5E11E49E.jpeg
Sacco-Vanzetti Affair: America on Trial,Moshik Temkin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0300177852"", ""ISBN13:"": ""9780300177855"", ""Release Date:"": ""October 2011"", ""Publisher:"": ""Yale University Press"", ""Length:"": ""344 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.0\"" x 6.1\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/C4BFB194832012A569BBB955BCBB56536D11574A.jpeg
Order Without Power: An Introduction to Anarchism: History and Current Challenges,Normand Baillargeon,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/581BD37B3C2438BCF16767633EEAC0B9DF630003.jpeg
Memoirs of a Revolutionist,Pyotr Kropotkin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1605206628"", ""ISBN13:"": ""9781605206622"", ""Release Date:"": ""July 2009"", ""Publisher:"": ""Cosimo Classics"", ""Length:"": ""542 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""1.2\"" x 5.5\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/02A139BFF6A20794B15655BFD2F192A2A3B4DFEB.jpeg
