Book Name,Authors,Info,Image URL
The Anatomy Coloring Book,Wynn Kapit,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0064539148"", ""Release Date:"": ""January 1977"", ""Publisher:"": ""Harper & Row"", ""Length:"": ""142 Pages"", ""Weight:"": ""1.68 lbs.""}",https://m.media-amazon.com/images/I/514dq7qmpOL._SL350_.jpg
"Principles of Anatomy and Physiology [With A Brief Atlas of the Skeleton, Surface Anatomy,]",Gerard J. Tortora,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0470084715"", ""ISBN13:"": ""9780470084717"", ""Release Date:"": ""April 2008"", ""Publisher:"": ""John Wiley & Sons"", ""Length:"": ""32 Pages"", ""Weight:"": ""6.90 lbs."", ""Dimensions:"": ""2.0\"" x 9.4\"" x 11.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/314CAB47DDAFEB645B3BF31D47D3BE940DF3D11C.jpeg
Eyewitness Visual Dictionaries: The Visual Dictionary of the Human Body,Maurice Bucaille,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1879431181"", ""ISBN13:"": ""9781879431188"", ""Release Date:"": ""October 1991"", ""Publisher:"": ""DK Publishing (Dorling Kindersley)"", ""Length:"": ""64 Pages"", ""Weight:"": ""1.58 lbs."", ""Dimensions:"": ""0.4\"" x 10.3\"" x 12.3\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/B70551C1BDD3F3436D84D2747307275C44658655.jpeg
Fundamentals of Anatomy & Physiology,Frederic H. Martini,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0321709330"", ""ISBN13:"": ""9780321709332"", ""Release Date:"": ""January 2011"", ""Publisher:"": ""Benjamin-Cummings Publishing Company"", ""Length:"": ""1114 Pages"", ""Weight:"": ""6.78 lbs."", ""Dimensions:"": ""1.7\"" x 9.4\"" x 11.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/3DEB880727AFDCFFF8E5EDE4C8938971A394E505.jpeg
Human Anatomy & Physiology,Katja Hoehn,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0131363522"", ""ISBN13:"": ""9780131363526"", ""Release Date:"": ""January 2016"", ""Publisher:"": ""Benjamin-Cummings Publishing Company"", ""Length:"": ""1114 Pages"", ""Weight:"": ""0.05 lbs.""}",https://m.media-amazon.com/images/I/51CTOnKigxL._SL350_.jpg
Anatomy & Physiology for Dummies,Maggie Norris,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0764554220"", ""ISBN13:"": ""9780764554223"", ""Release Date:"": ""May 2002"", ""Publisher:"": ""For Dummies"", ""Length:"": ""400 Pages"", ""Weight:"": ""1.38 lbs."", ""Dimensions:"": ""0.9\"" x 7.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/F8D8C0060AA8CE0EC3CC43B047BC36B5B00DA9C2.jpeg
Anatomy of Movement,Blandine Calais-Germain,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0939616173"", ""ISBN13:"": ""9780939616176"", ""Release Date:"": ""October 1993"", ""Publisher:"": ""W.B. Saunders Company"", ""Length:"": ""289 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.7\"" x 6.9\"" x 9.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/F50E164D6334019FC5AA146F2B4BE4324E8A3239.jpeg
"The Human Body: An Illustrated Guide to Its Structure, Functions and Disorde",Charles B. Clayman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1564589927"", ""ISBN13:"": ""9781564589927"", ""Release Date:"": ""January 1995"", ""Publisher:"": ""DK Publishing (Dorling Kindersley)"", ""Length:"": ""240 Pages"", ""Weight:"": ""3.32 lbs."", ""Dimensions:"": ""0.8\"" x 9.6\"" x 12.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/2F53905CBABCF4BE92144071192A2C70911B662D.jpeg
Everyone Poops,Taro Gomi,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0916291456"", ""ISBN13:"": ""9780916291457"", ""Release Date:"": ""January 1993"", ""Publisher:"": ""Kane/Miller Book Publishers"", ""Length:"": ""27 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.3\"" x 8.7\"" x 9.5\"""", ""Age Range:"": ""4 to 7 years"", ""Grade Range:"": ""Preschool to Grade 2""}",https://i.thriftbooks.com/api/imagehandler/m/08474084BEAA6CA87513310FBDAE097ED62E350D.jpeg
Hands Are Not for Hitting Board Book,Martine Agassi,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""157542200X"", ""ISBN13:"": ""9781575422008"", ""Release Date:"": ""February 2002"", ""Publisher:"": ""Free Spirit Publishing"", ""Length:"": ""24 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""0.5\"" x 7.0\"" x 6.9\"""", ""Age Range:"": ""1 to 4 years""}",https://i.thriftbooks.com/api/imagehandler/m/CDF94060EA1C89B313AC02E28B75FF9B67072788.jpeg
