Book Name,Authors,Info,Image URL
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393317552"", ""Release Date:"": ""April 1999"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""480 Pages"", ""Weight:"": ""1.38 lbs."", ""Dimensions:"": ""9.3\"" x 1.5\"" x 6.1\""""}",https://m.media-amazon.com/images/I/41+hFhnsqRL._SL350_.jpg
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670033375"", ""ISBN13:"": ""9780670033379"", ""Release Date:"": ""December 2004"", ""Publisher:"": ""Penguin Group USA Inc."", ""Length:"": ""592 Pages"", ""Weight:"": ""1.90 lbs."", ""Dimensions:"": ""1.8\"" x 6.4\"" x 9.6\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/6720B669B74BE4D37C5BF699A1038867449BF2DA.jpeg
Salt: A World History,Mark Kurlansky,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0142001619"", ""ISBN13:"": ""9780142001615"", ""Release Date:"": ""January 2003"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""496 Pages"", ""Weight:"": ""0.77 lbs."", ""Dimensions:"": ""1.0\"" x 5.1\"" x 7.7\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/E661B4F3BAB694CC4BC745420B526495C63AFAB0.jpeg
The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1439107955"", ""ISBN13:"": ""9781439107959"", ""Release Date:"": ""November 2010"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""592 Pages"", ""Weight:"": ""2.12 lbs."", ""Dimensions:"": ""1.5\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/26E4732C64E889C5C3EC5A9AD48AE5A470314C22.jpeg
How the Irish Saved Civilization,Thomas Cahill,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0385418485"", ""ISBN13:"": ""9780385418485"", ""Release Date:"": ""February 1995"", ""Publisher:"": ""Nan A. Talese"", ""Length:"": ""246 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.9\"" x 5.9\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/659036833F639372C5BBAE1C394F97CE9CA9964F.jpeg
Gilgamesh: A New Rendering in English Verse,Anonymous,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0374523835"", ""ISBN13:"": ""9780374523831"", ""Release Date:"": ""June 1993"", ""Publisher:"": ""Farrar, Straus and Giroux"", ""Length:"": ""112 Pages"", ""Weight:"": ""0.25 lbs."", ""Dimensions:"": ""0.3\"" x 5.5\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/9CB3E59FBD5B64FC5A1E651235129671CD2E0810.jpeg
"Story of the World, Vol. 1: History for the Classical Child: Ancient Times",Susan Wise Bauer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1933339004"", ""ISBN13:"": ""9781933339009"", ""Release Date:"": ""April 2006"", ""Publisher:"": ""Well-Trained Mind Press"", ""Length:"": ""349 Pages"", ""Weight:"": ""1.02 lbs."", ""Dimensions:"": ""0.8\"" x 5.4\"" x 8.3\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/755494B1A0B08A7A97AADCC5AA9C8C4A2A778A79.jpeg
Josephus the Complete Works,Flavius Josephus,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0785250506"", ""ISBN13:"": ""9780785250500"", ""Release Date:"": ""July 2003"", ""Publisher:"": ""Thomas Nelson"", ""Length:"": ""1200 Pages"", ""Weight:"": ""1.55 lbs."", ""Dimensions:"": ""1.7\"" x 6.4\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/7308D2FEE0C1B78DD283FCA0099708784ACD3447.jpeg
The Histories,Herodotus,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393959465"", ""ISBN13:"": ""9780393959468"", ""Release Date:"": ""December 1991"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""464 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.0\"" x 5.1\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/8EFB99EEC1A8B94DA6956A27FA78304B26338621.jpeg
The Landmark Thucydides: A Comprehensive Guide to the Peloponnesian War,Thucydides,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0684828154"", ""ISBN13:"": ""9780684828152"", ""Release Date:"": ""September 1996"", ""Publisher:"": ""Free Press"", ""Length:"": ""713 Pages"", ""Weight:"": ""3.13 lbs."", ""Dimensions:"": ""1.7\"" x 7.7\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/9E95D0FB2907AD42900A4E4B06A3D8973BD6CB0E.jpeg
