Book Name,Authors,Info,Image URL
The Dance of Anger: A Woman's Guide to Changing the Patterns of Intimate Relationships,Harriet Lerner,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060913568"", ""Release Date:"": ""January 1986"", ""Publisher:"": ""Harper Row"", ""Length:"": ""239 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.6\"" x 5.3\"" x 8.0\""""}",https://m.media-amazon.com/images/I/51i0z5IQL5L._SL350_.jpg
Controlling Your Anger Before It Controls You: A Guide for Women,Gregory L. Jantz,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0800788257"", ""ISBN13:"": ""9780800788254"", ""Release Date:"": ""March 2013"", ""Publisher:"": ""Fleming H. Revell Company"", ""Length:"": ""281 Pages"", ""Weight:"": ""0.20 lbs."", ""Dimensions:"": ""1.0\"" x 4.2\"" x 6.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/3A6D712CB0D4550A7A9911F52EC708F6BC1DE7A9.jpeg
Surviving in an Angry World: Finding Your Way to Personal Peace,Charles F. Stanley,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1439183562"", ""ISBN13:"": ""9781439183564"", ""Release Date:"": ""October 2010"", ""Publisher:"": ""Howard Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.9\"" x 6.3\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/88182D3CEE8D132C89AFB2E1FCA40CE8E3FFBBB6.jpeg
The Irritable Male Syndrome: Managing the 4 Key Causes of Depression & Aggression,Jed Diamond,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1579547982"", ""ISBN13:"": ""9781579547981"", ""Release Date:"": ""September 2004"", ""Publisher:"": ""Rodale Books"", ""Length:"": ""291 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""1.1\"" x 6.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/46F04A687236269F7595C9ED6CD31AA4F5D64257.jpeg
"Overcoming Anger in Your Relationship: How to Break the Cycle of Arguments, Put-Downs, and Stony Silences",W. Robert Nay,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1606232835"", ""ISBN13:"": ""9781606232835"", ""Release Date:"": ""April 2010"", ""Publisher:"": ""Guilford Publications"", ""Length:"": ""259 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.7\"" x 6.0\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/714265C0C62EF074C969B8B703010D095FF5B179.jpeg
"Handbook of Anger Management: Individual, Couple, Family, and Group Approaches",Ronald T. Potter-Efron,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0789024551"", ""ISBN13:"": ""9780789024558"", ""Release Date:"": ""March 2005"", ""Publisher:"": ""Routledge"", ""Length:"": ""279 Pages"", ""Weight:"": ""1.04 lbs."", ""Dimensions:"": ""0.7\"" x 6.1\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/D9FC8367C06CF2051B46C8BABDA038647FA2FCDD.jpeg
Angry Octopus: An Anger Management Story for Children Introducing Active Progressive Muscle Relaxation and Deep Breathing,Lori Lite,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0978778170"", ""ISBN13:"": ""9780978778170"", ""Release Date:"": ""August 2008"", ""Publisher:"": ""Stress Free Kids"", ""Length:"": ""30 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.4\"" x 10.2\"" x 7.9\"""", ""Age Range:"": ""5 to 10 years"", ""Grade Range:"": ""Preschool to Grade 5""}",https://i.thriftbooks.com/api/imagehandler/m/6535D3EFAC6E3893612A7BCC893B7F7C0B0694E2.jpeg
8 Keys to Eliminating Passive-Aggressiveness: Strategies for Transforming Your Relationships for Greater Authenticity and Joy,Andrea Brandt,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393708462"", ""ISBN13:"": ""9780393708462"", ""Release Date:"": ""October 2013"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.7\"" x 6.2\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/995B4CA5E3DBAB7EE9744174979C77B879F26773.jpeg
Mindful Anger: A Pathway to Emotional Freedom,Andrea Brandt,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0393708942"", ""ISBN13:"": ""9780393708943"", ""Release Date:"": ""March 2014"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""240 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.9\"" x 6.2\"" x 9.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/972A1B1C36DDAE872823882C84D886D90E57CB20.jpeg
The Dragon Who Burned All His Friends,Sheila Hatcher,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/1E69F38C68C481072FC022FD20BD7ABAD237620C.jpeg
Helping Schoolchildren Cope with Anger: A Cognitive-Behavioral Intervention,Jim Larson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1593851618"", ""ISBN13:"": ""9781593851613"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""Guilford Publications"", ""Length:"": ""190 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.6\"" x 5.8\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/EB73F9C59D74AD33BDFAED86C4FBD51C8972AAC8.jpeg
Anger Management for Dummies,W. Doyle Gentry,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0470037156"", ""ISBN13:"": ""9780470037157"", ""Release Date:"": ""December 2006"", ""Publisher:"": ""For Dummies"", ""Length:"": ""362 Pages"", ""Weight:"": ""1.31 lbs."", ""Dimensions:"": ""0.8\"" x 7.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/1B2A318FDD63CB4D926FDD0FBF2A9FE48013C7E0.jpeg
The Surprising Purpose of Anger: Beyond Anger Management: Finding the Gift,Marshall B. Rosenberg,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1892005158"", ""ISBN13:"": ""9781892005151"", ""Release Date:"": ""April 2005"", ""Publisher:"": ""PuddleDancer Press"", ""Length:"": ""48 Pages"", ""Weight:"": ""0.33 lbs."", ""Dimensions:"": ""0.1\"" x 5.5\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/9E1931A64612ADA574EC9DC317512DCF91B5A265.jpeg
"If God Were Your Therapist: How to Love Yourself and Your Life, and Never Feel Angry, Anxious, or Insecure Again",David J. Lieberman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0978631390"", ""ISBN13:"": ""9780978631390"", ""Release Date:"": ""October 2010"", ""Publisher:"": ""Viter Press"", ""Length:"": ""114 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""8.5\"" x 0.3\"" x 5.5\""""}",https://m.media-amazon.com/images/I/419ujnTZuQL._SL350_.jpg
Uprooting Anger:: Eliminating the Emotion That Kills,Charles C. Cummings,"{"""": """"}",https://m.media-amazon.com/images/I/512uhvgBhVL._SL350_.jpg
