Book Name,Authors,Info,Image URL
"The Emotional Lives of Animals: A Leading Scientist Explores Animal Joy, Sorrow, and Empathy -- And Why They Matter",Marc Bekoff,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1577315022"", ""ISBN13:"": ""9781577315025"", ""Release Date:"": ""February 2007"", ""Publisher:"": ""New World Library"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.8\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/2E513387AB305262F5239A3E8C727CDC8B5E8632.jpeg
Animal Babies: A Habitat-By-Habitat Guide to How Wild Animals Grow,Steve Parker,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0875965954"", ""ISBN13:"": ""9780875965956"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""Rodale Books"", ""Length:"": ""176 Pages"", ""Weight:"": ""2.30 lbs."", ""Dimensions:"": ""0.7\"" x 8.7\"" x 11.2\""""}",https://m.media-amazon.com/images/I/519MPGYBCSL._SL350_.jpg
Farm Animals,Lucy Cousins,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0688100716"", ""ISBN13:"": ""9780688100711"", ""Release Date:"": ""March 1991"", ""Publisher:"": ""Tambourine Books"", ""Length:"": ""1 Pages"", ""Weight:"": ""0.20 lbs."", ""Dimensions:"": ""0.4\"" x 5.5\"" x 5.9\"""", ""Age Range:"": ""4 years and up"", ""Grade Range:"": ""Preschool and higher""}",https://m.media-amazon.com/images/I/41AZJT9XZXL._SL350_.jpg
Animals,Rebecca Rissman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1432978861"", ""ISBN13:"": ""9781432978860"", ""Release Date:"": ""August 2013"", ""Publisher:"": ""Heinemann Educational Books"", ""Length:"": ""24 Pages"", ""Weight:"": ""0.20 lbs."", ""Dimensions:"": ""0.2\"" x 7.8\"" x 6.6\"""", ""Age Range:"": ""4 to 6 years"", ""Grade Range:"": ""Preschool to Grade 1""}",https://i.thriftbooks.com/api/imagehandler/m/656CB6218E8DC60D1464F488135E1574F49C9FBB.jpeg
Animal Picture Atlas,Hazel Maskell,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0794520839"", ""ISBN13:"": ""9780794520830"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Usborne Books"", ""Length:"": ""48 Pages"", ""Weight:"": ""1.38 lbs."", ""Dimensions:"": ""0.4\"" x 9.4\"" x 12.2\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/B54B914DB877090FA7A69E9233BE61F8DD30D878.jpeg
James Herriot's Dog Stories,James Herriot,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0312439687"", ""ISBN13:"": ""9780312439682"", ""Release Date:"": ""April 1986"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""426 Pages"", ""Weight:"": ""1.83 lbs."", ""Dimensions:"": ""1.4\"" x 6.5\"" x 9.6\"""", ""Age Range:"": ""13 years and up"", ""Grade Range:"": ""Grade 8 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/C378D3E7C4500AF1169A93C65840586BF06DF04B.jpeg
Usborne World of Animals,Susanna Davidson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0794520332"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Usborne Pub Ltd"", ""Length:"": ""128 Pages"", ""Weight:"": ""1.45 lbs."", ""Dimensions:"": ""10.8\"" x 0.5\"" x 8.5\""""}",https://m.media-amazon.com/images/I/51LyujxJc8L._SL350_.jpg
Animal Fact Files Insects (Internal Wire-O Bound),Ken Preston-Mafham,"{"""": """"}",https://m.media-amazon.com/images/I/21-QDPRt+mL._SL350_.jpg
Cockroach,Marion Copeland,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/973CCE0F3E4EC813331AD6EA87817FE350AA9A2E.jpeg
All Things Bright and Beautiful,James Herriot,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312966199"", ""ISBN13:"": ""9780312966195"", ""Release Date:"": ""July 1998"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""438 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.9\"" x 4.1\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/CE992F946F7C60EA5007BF17723751C9E8946C22.jpeg
