Book Name,Authors,Info,Image URL
Galapagos,Kurt Vonnegut Jr.,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0385294166"", ""ISBN13:"": ""9780385294164"", ""Release Date:"": ""January 1985"", ""Publisher:"": ""Delacorte Press"", ""Length:"": ""295 Pages"", ""Weight:"": ""0.73 lbs.""}",https://m.media-amazon.com/images/I/51VXAIUh2xL._SL350_.jpg
The Windup Girl,Paolo Bacigalupi,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1597801585"", ""ISBN13:"": ""9781597801584"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Night Shade Books"", ""Length:"": ""376 Pages"", ""Weight:"": ""1.08 lbs."", ""Dimensions:"": ""1.0\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/6505EB70068EA2D455AA8DFF59BAF108C06DAE41.jpeg
The Tales of Beedle the Bard,J.K. Rowling,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0545128285"", ""ISBN13:"": ""9780545128285"", ""Release Date:"": ""December 2008"", ""Publisher:"": ""Arthur A. Levine Books"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.68 lbs."", ""Dimensions:"": ""0.6\"" x 5.5\"" x 8.3\"""", ""Age Range:"": ""9 to 15 years"", ""Grade Range:"": ""Grades 4 to 10""}",https://i.thriftbooks.com/api/imagehandler/m/E7CA3F60842E66CD9E1A77EC79675540CED25D21.jpeg
Bloodcurdling Tales of Horror and the Macabre: The Best of H. P. Lovecraft,H.P. Lovecraft,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345350804"", ""ISBN13:"": ""9780345350800"", ""Release Date:"": ""October 1982"", ""Publisher:"": ""Del Rey Books"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.9\"" x 5.1\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/D4AB26F6C6816C490A6CAB22D73FFB762083DDC6.jpeg
The Illustrated Man,Ray Bradbury,"{""Format:"": ""Mass Market Paperback"", ""ISBN:"": ""0553132474"", ""Release Date:"": ""November 1983"", ""Publisher:"": ""Bantam"", ""Length:"": ""186 Pages""}",https://images-na.ssl-images-amazon.com/images/I/21R8%2BSqmKyL._SL160_.jpg
Wastelands: Stories of the Apocalypse,Catherine Wells,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1597801054"", ""ISBN13:"": ""9781597801058"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Night Shade Books"", ""Length:"": ""348 Pages"", ""Weight:"": ""0.99 lbs."", ""Dimensions:"": ""1.0\"" x 6.0\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/E8A163BA2147E318A2681A78563BA471A85434E6.jpeg
The Last Wish: Introducing the Witcher,Andrzej Sapkowski,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316438960"", ""ISBN13:"": ""9780316438964"", ""Release Date:"": ""July 2017"", ""Publisher:"": ""Orbit"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""1.1\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/18F1DBA418BF5B872F9851EE3FA399C596578163.jpeg
The Sandman Vol. 1: Preludes & Nocturnes (New Edition),Neil Gaiman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1401225756"", ""ISBN13:"": ""9781401225759"", ""Release Date:"": ""October 2010"", ""Publisher:"": ""Vertigo"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.3\"" x 6.6\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/48AD9889EC61D9FF5A1209ABA76D71AD07C0B235.jpeg
Alice in Wonderland [Large Print],Lewis Carroll,"{""Format:"": ""Hardcover"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""086611873X"", ""ISBN13:"": ""9780866118736"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""Playmore Publishers"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.84 lbs."", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/EEB854C9FE083CB7AAC7A1C7BC0BFD7B8C3ACF8B.jpeg
The Chronicles of Pern: First Fall,Anne McCaffrey,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0345368983"", ""ISBN13:"": ""9780345368980"", ""Release Date:"": ""October 1993"", ""Publisher:"": ""Del Rey Books"", ""Length:"": ""306 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""1.3\"" x 6.7\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/70C1ACA5C1C8979E72830770179907F49D73F9AF.jpeg
Stories of Your Life and Others,Ted Chiang,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1101972122"", ""ISBN13:"": ""9781101972120"", ""Release Date:"": ""June 2016"", ""Publisher:"": ""Vintage"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.76 lbs."", ""Dimensions:"": ""0.9\"" x 5.1\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/D4786F5BF308012CCD54CBE6760A50E0EC5EFD5A.jpeg
The Trouble with Tink,Kiki Thorpe,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0736423710"", ""ISBN13:"": ""9780736423717"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Random House Children's Books"", ""Length:"": ""109 Pages"", ""Weight:"": ""0.44 lbs."", ""Dimensions:"": ""0.4\"" x 5.3\"" x 7.7\"""", ""Age Range:"": ""6 to 9 years"", ""Grade Range:"": ""Grades 1 to 4""}",https://i.thriftbooks.com/api/imagehandler/m/E37FC47E232387AADED7EEB6D33D3F71E225C719.jpeg
Rani in the Mermaid Lagoon:,Lisa Papademetriou,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0736423753"", ""ISBN13:"": ""9780736423755"", ""Release Date:"": ""April 2006"", ""Publisher:"": ""Random House Disney"", ""Length:"": ""112 Pages"", ""Weight:"": ""0.42 lbs."", ""Dimensions:"": ""0.4\"" x 5.3\"" x 7.6\"""", ""Age Range:"": ""6 to 9 years"", ""Grade Range:"": ""Grades 1 to 4""}",https://i.thriftbooks.com/api/imagehandler/m/E03796C56663454A686E729EF533B44C41F7D087.jpeg
Vidia and the Fairy Crown,Laura Driscoll,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0736423729"", ""ISBN13:"": ""9780736423724"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Random House Children's Books"", ""Length:"": ""112 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""0.4\"" x 5.2\"" x 7.7\"""", ""Age Range:"": ""6 to 9 years"", ""Grade Range:"": ""Grades 1 to 4""}",https://i.thriftbooks.com/api/imagehandler/m/11821409A7313FC2B028010F94F6574FB3066A97.jpeg
The Jolly Christmas Postman,Janet Ahlberg,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316020338"", ""ISBN13:"": ""9780316020336"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""Little Brown and Company"", ""Length:"": ""1 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""0.7\"" x 8.6\"" x 7.4\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/0430E4EA2203106B4C930555186169B073A49EA0.jpeg
The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""B0BYCGYVP9"", ""ISBN13:"": ""9798888305201"", ""Release Date:"": ""March 2023"", ""Publisher:"": ""Bibliotech Press"", ""Length:"": ""286 Pages"", ""Weight:"": ""0.77 lbs."", ""Dimensions:"": ""0.7\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/51D46458955E3CF9FCF84925A55F0AC1C10ED9F8.jpeg
The Jolly Postman or Other People's Letters,Janet Ahlberg,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0590441957"", ""ISBN13:"": ""9780590441957"", ""Release Date:"": ""December 1991"", ""Publisher:"": ""Little Brown"", ""Length:"": ""28 Pages"", ""Weight:"": ""0.50 lbs.""}",https://image-plz.thriftbooks.com/m/80738EBBE6A64F8FB357CF3B11896E74.png
