Book Name,Authors,Info,Image URL
Collecting Antique Bird Decoys and Duck Calls: An Identification and Value Guide,Carl F. Luckey,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0896890783"", ""ISBN13:"": ""9780896890787"", ""Release Date:"": ""January 1992"", ""Publisher:"": ""Krause Publications"", ""Length:"": ""232 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.7\"" x 8.5\"" x 11.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/16B58CC7D26958B26E7DC5119DBD494590FFF058.jpeg
Antiques Roadshow A to Z of Antiques Hunting,Huon Mallalieu,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0752211331"", ""ISBN13:"": ""9780752211336"", ""Release Date:"": ""January 2003"", ""Publisher:"": ""Boxtree, Limited"", ""Length:"": ""328 Pages"", ""Weight:"": ""2.75 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/9B400276FBB001BE9BC1644CDC1913413BD6F35B.jpeg
"International Antiques Price Guide, 1997",Judith H. Miller,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/E613C564BD099AEEF946B940F73131278ADE2966.jpeg
Warman's Glass,Ellen Tischbein Schroy,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0870697382"", ""ISBN13:"": ""9780870697388"", ""Release Date:"": ""January 1995"", ""Publisher:"": ""Wallace-Homestead Book Company"", ""Length:"": ""352 Pages"", ""Weight:"": ""1.30 lbs."", ""Dimensions:"": ""0.8\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/5B90694E1FA84BF720D4F5A62069134274E7914A.jpeg
Comics Values Annual: The Comic Book Price Guide,Alex Malloy,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0896892921"", ""ISBN13:"": ""9780896892927"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Krause Publications"", ""Length:"": ""864 Pages"", ""Weight:"": ""2.50 lbs."", ""Dimensions:"": ""1.6\"" x 6.4\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/28129A3FD005CC06D6C5512B7EEDD2982D6F2BA0.jpeg
Kovels' Guide to Selling Your Antiques and Collectibles -Updated,Terry H. Kovel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""051758008X"", ""ISBN13:"": ""9780517580080"", ""Release Date:"": ""September 1990"", ""Publisher:"": ""Three Rivers Press (CA)"", ""Length:"": ""100 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.7\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/12C3C48608629E654C6799572FDEBB47E2711D8A.jpeg
Antique Marks,Anna Selby,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0007190476"", ""ISBN13:"": ""9780007190478"", ""Release Date:"": ""January 2004"", ""Publisher:"": ""Collins Gem"", ""Length:"": ""255 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.7\"" x 3.4\"" x 4.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/65FA6B1B1E09A0D1D3F37F6FC6ADDD3248A079AC.jpeg
"Sotheby's Caring for Antiques: A Guide to Handling, Cleaning, Display, and Restoration",Mette Tang Simpson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""185029867X"", ""ISBN13:"": ""9781850298670"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""Conran Octopus"", ""Length:"": ""192 Pages"", ""Weight:"": ""1.80 lbs."", ""Dimensions:"": ""0.6\"" x 8.0\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/9E28B0F88D058F4A51D2CA35E83E1C052E20F5B4.jpeg
Depression Glass,Gene Florence,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1574320114"", ""ISBN13:"": ""9781574320114"", ""Release Date:"": ""January 1997"", ""Publisher:"": ""Collector Books"", ""Length:"": ""238 Pages"", ""Weight:"": ""2.50 lbs."", ""Dimensions:"": ""0.8\"" x 8.7\"" x 11.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/1D0F7AAF6E457B4043920829203B6441E5DBA39C.jpeg
"Collectible Glassware from the 40's, 50's, 60's--: An Illustrated Value Guide",Cathy Florence,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0891455531"", ""ISBN13:"": ""9780891455530"", ""Release Date:"": ""January 1993"", ""Publisher:"": ""Collector Books"", ""Length:"": ""191 Pages"", ""Weight:"": ""2.34 lbs."", ""Dimensions:"": ""0.7\"" x 8.7\"" x 11.2\""""}",https://m.media-amazon.com/images/I/51B3S-RlMKL._SL350_.jpg
