Book Name,Authors,Info,Image URL
"Blue Mind: The Surprising Science That Shows How Being Near, In, On, or Under Water Can Make You Happier, Healthier, More Connect",Wallace J. Nichols,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316252085"", ""ISBN13:"": ""9780316252089"", ""Release Date:"": ""July 2014"", ""Publisher:"": ""Little Brown and Company"", ""Length:"": ""352 Pages"", ""Weight:"": ""1.23 lbs."", ""Dimensions:"": ""1.3\"" x 6.5\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/28A072046E31BBC93ACF9B24A234A8A8AA3605AB.jpeg
"Anxious Kids, Anxious Parents: 7 Ways to Stop the Worry Cycle and Raise Courageous & Independent Children",R. Reid Wilson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0757317626"", ""ISBN13:"": ""9780757317620"", ""Release Date:"": ""September 2013"", ""Publisher:"": ""Health Communications"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/B62956B0BC85B4E13179B2A66A28A64C72ECD8D0.jpeg
Monkey Mind: A Memoir of Anxiety,Daniel B. Smith,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1439177317"", ""ISBN13:"": ""9781439177310"", ""Release Date:"": ""June 2013"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.6\"" x 5.5\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/E8FDA73CDD69EC2D0D51147E531725C0DC61669A.jpeg
"Insecure in Love: How Anxious Attachment Can Make You Feel Jealous, Needy, and Worried and What You Can Do about It",Leslie Becker-Phelps,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1608828158"", ""ISBN13:"": ""9781608828159"", ""Release Date:"": ""June 2014"", ""Publisher:"": ""New Harbinger Publications"", ""Length:"": ""200 Pages"", ""Weight:"": ""1.03 lbs."", ""Dimensions:"": ""0.5\"" x 6.1\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/0D514D89568708456CE489483764F738E095BFFB.jpeg
Freeing Yourself from Anxiety: 4 Simple Steps to Overcome Worry and Create the Life You Want,Tamar E. Chansky,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0738214833"", ""ISBN13:"": ""9780738214832"", ""Release Date:"": ""January 2012"", ""Publisher:"": ""Da Capo Lifelong Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""1.1\"" x 5.4\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/7A7A91E7EF1F2153173EAB4DC29C5DED1246606E.jpeg
Why Smart Kids Worry: And What Parents Can Do to Help,Allison Edwards,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""140228425X"", ""ISBN13:"": ""9781402284250"", ""Release Date:"": ""September 2013"", ""Publisher:"": ""Sourcebooks"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.7\"" x 5.5\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/78E7BDB4E7DAE1B35C66279DC1E92B0E3ABE71B8.jpeg
Goodnight Mind: Turn Off Your Noisy Thoughts and Get a Good Night's Sleep,Colleen E. Carney,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""160882618X"", ""ISBN13:"": ""9781608826186"", ""Release Date:"": ""June 2013"", ""Publisher:"": ""New Harbinger Publications"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.5\"" x 5.1\"" x 7.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/F52D56D283DF8906DB100FDF7A7149DFDEF941FF.jpeg
Getting Control: Overcoming Your Obsessions and Compulsions,Lee Baer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0452268893"", ""ISBN13:"": ""9780452268890"", ""Release Date:"": ""July 1992"", ""Publisher:"": ""Plume Books"", ""Length:"": ""234 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.7\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/F24893EBB9697B70A755FD963FD6BBBB16FADFFB.jpeg
"Anxious in Love: How to Manage Your Anxiety, Reduce Conflict, & Reconnect with Your Partner",Carolyn Daitch,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1608822311"", ""ISBN13:"": ""9781608822317"", ""Release Date:"": ""December 2012"", ""Publisher:"": ""New Harbinger Publications"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.6\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/AFDADCDB2D90FA92A22A6C1701300C3448C4D496.jpeg
Playing with Anxiety: Casey's Guide for Teens and Kids,Lynn Lyons,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0963068334"", ""ISBN13:"": ""9780963068330"", ""Release Date:"": ""February 2014"", ""Publisher:"": ""Pathway Systems"", ""Length:"": ""174 Pages"", ""Weight:"": ""3.55 lbs."", ""Dimensions:"": ""0.4\"" x 6.0\"" x 9.0\"""", ""Age Range:"": ""10 to 14 years"", ""Grade Range:"": ""Grades 5 to 9""}",https://i.thriftbooks.com/api/imagehandler/m/7D4CF803CA30C31CD17BE16A9115D1A17AC6398C.jpeg
