Book Name,Authors,Info,Image URL
Inside Apple: How America's Most Admired--And Secretive--Company Really Works,Adam Lashinsky,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""145551215X"", ""ISBN13:"": ""9781455512157"", ""Release Date:"": ""January 2012"", ""Publisher:"": ""Business Plus"", ""Length:"": ""240 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""1.0\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/1E4E25269FF11FC4DB2F8337E364EBCF618C4D69.jpeg
Iphone: The Missing Manual,David Pogue,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1491917911"", ""ISBN13:"": ""9781491917916"", ""Release Date:"": ""January 2016"", ""Publisher:"": ""O'Reilly Media"", ""Length:"": ""651 Pages"", ""Weight:"": ""2.30 lbs."", ""Dimensions:"": ""1.0\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/4785E2C2557A45A720E66937F1B373E653F11373.jpeg
Creating a Website: The Missing Manual,Matthew MacDonald,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1491918071"", ""ISBN13:"": ""9781491918074"", ""Release Date:"": ""July 2015"", ""Publisher:"": ""O'Reilly Media"", ""Length:"": ""620 Pages"", ""Weight:"": ""2.55 lbs."", ""Dimensions:"": ""1.3\"" x 6.9\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/D79F8BE6D83BECA51F52B1CE08BFDE81930AEE31.jpeg
Photoshop Restoration and Retouching,Katrin Eismann,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0789723182"", ""ISBN13:"": ""9780789723185"", ""Release Date:"": ""April 2001"", ""Publisher:"": ""New Riders Publishing"", ""Length:"": ""276 Pages"", ""Weight:"": ""1.75 lbs."", ""Dimensions:"": ""0.7\"" x 8.1\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/4C303D77DB975E32E2406508A75E4FA1C2867811.jpeg
Programming in Objective-C,Stephen G. Kochan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0321967607"", ""ISBN13:"": ""9780321967602"", ""Release Date:"": ""December 2013"", ""Publisher:"": ""Addison-Wesley Professional"", ""Length:"": ""552 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""1.1\"" x 7.2\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/63EB9601D281B45F5209D503660964DD95853036.jpeg
Mobile Design and Development: Practical Concepts and Techniques for Creating Mobile Sites and Web Apps,Brian Fling,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0596155441"", ""ISBN13:"": ""9780596155445"", ""Release Date:"": ""September 2009"", ""Publisher:"": ""O'Reilly Media"", ""Length:"": ""329 Pages"", ""Weight:"": ""1.01 lbs."", ""Dimensions:"": ""0.8\"" x 6.9\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/F5968A59D73FBDF720D261DFA52AD63B0F4A1F5A.jpeg
Head First iPhone Development,Dan Pilone,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0596803540"", ""ISBN13:"": ""9780596803544"", ""Release Date:"": ""November 2009"", ""Publisher:"": ""O'Reilly Media"", ""Length:"": ""517 Pages"", ""Weight:"": ""1.24 lbs."", ""Dimensions:"": ""1.1\"" x 8.1\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/A34EF921A1F5C8D9A15078A71D27089BB1B4F61C.jpeg
iPad,J.D. Biersdorfer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1449316182"", ""ISBN13:"": ""9781449316181"", ""Release Date:"": ""April 2012"", ""Publisher:"": ""O'Reilly Media"", ""Length:"": ""351 Pages"", ""Weight:"": ""1.33 lbs."", ""Dimensions:"": ""0.8\"" x 6.1\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/85D43CFD4D62A8C18CA400DF8CF9AC903C14DCC9.jpeg
Adobe Photoshop Cs3 for Photographers: A Professional Image Editor's Guide to the Creative Use of Photoshop for the Macintosh and PC,Martin Evening,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/2FFCC7FBAF407C39C73CDDF898A3440A764C0DE3.jpeg
AppleScript 1-2-3,Sal Soghoian,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0321149319"", ""ISBN13:"": ""9780321149312"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Peachpit Press"", ""Length:"": ""879 Pages"", ""Weight:"": ""1.85 lbs."", ""Dimensions:"": ""1.5\"" x 7.3\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/97AFE4E60C8242FC64EDF9075A4B786B4BE5423F.jpeg
Programming in Objective-C 2.0,Stephen G. Kochan,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/4467DEB7FD2776C3EF9B93AC74DF55519801A373.jpeg
DVD Studio Pro 4 [With DVD ROM and Access Code],Martin Sitter,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0321534093"", ""ISBN13:"": ""9780321534095"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Peachpit Press"", ""Length:"": ""434 Pages"", ""Weight:"": ""2.05 lbs."", ""Dimensions:"": ""0.9\"" x 7.3\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/5988604369C940E36B53B6D86077BFCAC4C16EB0.jpeg
Sams Teach Yourself iPhone Application Development in 24 Hours,John Ray,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0672330849"", ""ISBN13:"": ""9780672330841"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Sams"", ""Length:"": ""681 Pages"", ""Weight:"": ""2.85 lbs."", ""Dimensions:"": ""1.6\"" x 7.0\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/D25FC44EB05504ED89A8E1D097C3C0CA18660F4A.jpeg
Photoshop 5 Bible Gold Edition [With (2)],Deke McClelland,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""076453372X"", ""ISBN13:"": ""9780764533723"", ""Release Date:"": ""May 1999"", ""Publisher:"": ""John Wiley & Sons"", ""Length:"": ""944 Pages"", ""Weight:"": ""5.10 lbs."", ""Dimensions:"": ""2.4\"" x 7.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/756386222DC6946455A8F0F743146B765C1F7737.jpeg
iPhone & iPad Apps Marketing: Secrets to Selling Your iPhone and iPad Apps,Jeffrey Hughes,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/665F0B898B95DC710F9C83314B3F9F8828A34AA5.jpeg
Learn C on the Mac,James Bucanek,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1430218096"", ""ISBN13:"": ""9781430218098"", ""Release Date:"": ""December 2008"", ""Publisher:"": ""Apress"", ""Length:"": ""376 Pages"", ""Weight:"": ""1.55 lbs."", ""Dimensions:"": ""0.9\"" x 7.7\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/91875C4A6B4E9FD45485ABEAD166ACACD840177C.jpeg
Keynote for Mac OS X: Visual QuickStart Guide,Rebecca Ross,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/76273360BA2853BB56E13CA4AA018CB290F6CA78.jpeg
The Little iTunes Book,"Bob ""Dr. Mac"" LeVitus","{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/B20E534031B0BEC5EF5DEDB63D7ED4B6CB06BDC7.jpeg
AppleScript? for Dummies?,Tom Trinko,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1568849753"", ""ISBN13:"": ""9781568849751"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""For Dummies"", ""Length:"": ""396 Pages"", ""Weight:"": ""1.75 lbs."", ""Dimensions:"": ""0.9\"" x 7.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/7743E443F8F331CB76034E9F939D5F0229440AC5.jpeg
