Book Name,Authors,Info,Image URL
Salvage Style: 45 Home & Garden Projects Using Reclaimed Architectural Details,Dana Irwin,"{""Format:"": ""Hardcover"", ""ISBN:"": ""1402711638"", ""ISBN13:"": ""9781579902056"", ""Release Date:"": ""June 2001"", ""Publisher:"": ""Lark Books"", ""Length:"": ""144 Pages"", ""Weight:"": ""1.75 lbs."", ""Dimensions:"": ""0.7\"" x 10.3\"" x 10.3\""""}",https://images-na.ssl-images-amazon.com/images/I/51N749E4XAL._SL160_.jpg
Arts&Crafts (Architecture&Design Library),Robert Rust,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0760754837"", ""Release Date:"": ""January 1997"", ""Publisher:"": ""MetroBooks"", ""Length:"": ""96 Pages"", ""Weight:"": ""0.97 lbs.""}",https://m.media-amazon.com/images/I/51QpvQN3ZCL._SL350_.jpg
Architecture and Design Library: Italian Country,Robert Fitzgerald,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1567993648"", ""ISBN13:"": ""9781567993646"", ""Release Date:"": ""April 2002"", ""Publisher:"": ""Barnes & Noble"", ""Length:"": ""96 Pages"", ""Weight:"": ""1.45 lbs."", ""Dimensions:"": ""0.5\"" x 9.9\"" x 9.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/D1B7FD5B5763761CFD334BA0431FA280C1BCEC24.jpeg
English Country,Julie Fowler,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1567993788"", ""ISBN13:"": ""9781567993783"", ""Release Date:"": ""March 2000"", ""Publisher:"": ""Friedman/Fairfax Publishing"", ""Length:"": ""96 Pages"", ""Weight:"": ""1.54 lbs."", ""Dimensions:"": ""0.6\"" x 9.9\"" x 9.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/9EC7F53DAD4F43BD243A3ADE2EB15DD4D0658554.jpeg
Northwest Style: Interior Design and Architecture in the Pacific Northwest,Ann Wall Frank,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0811841499"", ""ISBN13:"": ""9780811841498"", ""Release Date:"": ""November 2003"", ""Publisher:"": ""Chronicle Books"", ""Length:"": ""204 Pages"", ""Weight:"": ""1.48 lbs."", ""Dimensions:"": ""1.0\"" x 1.0\"" x 1.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/AF2908B0AF734129C548943286F732CEAF3323C9.jpeg
Classic Old House Plans: Three Centuries of American Domestic Architecture,Lawrence Grow,"{"""": """"}",https://m.media-amazon.com/images/I/51RomdAwLSL._SL350_.jpg
The House Book,Phaidon Press,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0714843857"", ""ISBN13:"": ""9780714843858"", ""Release Date:"": ""April 2004"", ""Publisher:"": ""Phaidon Press"", ""Length:"": ""520 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""1.1\"" x 5.0\"" x 6.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/1A0F750F51A6009739144FD4A6BD34B6B2B427AC.jpeg
Roberts' Illustrated Millwork Catalog: A Sourcebook of Turn-Of-The-Century Architectural Woodwork,E.L. Roberts & Co.,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0486256979"", ""ISBN13:"": ""9780486256979"", ""Release Date:"": ""September 1988"", ""Publisher:"": ""Dover Publications"", ""Length:"": ""400 Pages"", ""Weight:"": ""1.55 lbs."", ""Dimensions:"": ""0.8\"" x 6.3\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/2E3EAD6F1EAD97159F52AC26C888B55999D7A97D.jpeg
The Passive Solar House: The Complete Guide to Heating and Cooling Your Home [With CDROM],James Kachadorian,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1933392037"", ""ISBN13:"": ""9781933392035"", ""Release Date:"": ""September 2006"", ""Publisher:"": ""Chelsea Green Publishing Company"", ""Length:"": ""224 Pages"", ""Weight:"": ""1.73 lbs."", ""Dimensions:"": ""0.8\"" x 7.5\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/F70C0D13A26D995032653F24A95C45B5D2F69D9E.jpeg
Ultimate Guide to Architectural Ceiling Treatments,Neal Barrett,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1580114148"", ""ISBN13:"": ""9781580114141"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Creative Homeowner"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""0.6\"" x 8.5\"" x 10.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/EB78C5603DB21CCB60F86432AEB133B0D2A5FBB0.jpeg
Homebody: A Guide to Creating Spaces You Never Want to Leave: Target Exclusive Edition,Joanna Gaines,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062887262"", ""Release Date:"": ""January 1"", ""Publisher:"": ""Harper Design Intl"", ""Length:"": ""224 Pages"", ""Weight:"": ""3.68 lbs."", ""Dimensions:"": ""11.0\"" x 1.5\"" x 9.0\""""}",https://m.media-amazon.com/images/I/513DD8sQ2rL._SL350_.jpg
Building Construction Illustrated,Francis D.K. Ching,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0471358983"", ""ISBN13:"": ""9780471358985"", ""Release Date:"": ""October 2000"", ""Publisher:"": ""Wiley"", ""Length:"": ""464 Pages"", ""Weight:"": ""2.80 lbs."", ""Dimensions:"": ""1.1\"" x 8.5\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/549814DCEEC10B481182935FD2C171CD758C0BD6.jpeg
A Field Guide to American Houses,Virginia McAlester,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0394739698"", ""ISBN13:"": ""9780394739694"", ""Release Date:"": ""May 1984"", ""Publisher:"": ""Alfred A. Knopf"", ""Length:"": ""544 Pages"", ""Weight:"": ""1.83 lbs."", ""Dimensions:"": ""1.1\"" x 6.6\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/0B65B460EE60094245BA75A3568B7275EBCB9875.jpeg
At Home: A Short History of Private Life,Bill Bryson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""038553728X"", ""ISBN13:"": ""9780385537285"", ""Release Date:"": ""October 2013"", ""Publisher:"": ""Doubleday Books"", ""Length:"": ""553 Pages"", ""Weight:"": ""3.55 lbs."", ""Dimensions:"": ""1.4\"" x 7.8\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/42E1888B123F70E5AE5C8966D19363A91C1F0C4A.jpeg
The Not So Big House: A Blueprint for the Way We Really Live,Sarah Susanka,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1561581305"", ""ISBN13:"": ""9781561581306"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Taunton Press"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""0.8\"" x 10.0\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/1DB279E79A05132BF39C743002703A6F1DC40E0C.jpeg
The Complete Guide to Home Plumbing,Creative Publishing International,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0865734283"", ""ISBN13:"": ""9780865734289"", ""Release Date:"": ""April 2001"", ""Publisher:"": ""Creative Publishing International"", ""Length:"": ""270 Pages"", ""Weight:"": ""1.93 lbs."", ""Dimensions:"": ""0.5\"" x 8.3\"" x 10.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/C29784D8252AC9DF487C60971C648FBFAE038351.jpeg
Decks 1-2-3: Design Build Maintain Repair,Home Depot,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0696211858"", ""ISBN13:"": ""9780696211850"", ""Release Date:"": ""March 2001"", ""Publisher:"": ""Meredith Corporation"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.97 lbs."", ""Dimensions:"": ""0.8\"" x 8.4\"" x 11.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/63761FF7E089AA96AFE18145E4944406B5A954AC.jpeg
Domino: The Book of Decorating: A Room-By-Room Guide to Creating a Home That Makes You Happy,Sara Ruffin Costello,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1416575464"", ""ISBN13:"": ""9781416575467"", ""Release Date:"": ""October 2008"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""272 Pages"", ""Weight:"": ""2.58 lbs."", ""Dimensions:"": ""1.2\"" x 8.0\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/2D2CC9B61EE2C7031B847F42DD882F70FDD6C205.jpeg
House Framing,John D. Wagner,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/F9A0B7DEFE15BDC6F6D5A06A98B745CCF8BACB3B.jpeg
Cottage Retreats: Decorating Ideas for Every Mood,Lisa Jill Schlang,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1586633066"", ""ISBN13:"": ""9781586633066"", ""Release Date:"": ""March 2002"", ""Publisher:"": ""Friedman/Fairfax Publishing"", ""Length:"": ""160 Pages"", ""Weight:"": ""2.15 lbs."", ""Dimensions:"": ""0.7\"" x 10.3\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/13C830ACDCDEA51E6A8ECF4024B7599118A4FA24.jpeg
"Fences, Gates and Bridges: And How to Build Them",George A. Martin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1558218890"", ""ISBN13:"": ""9781558218895"", ""Release Date:"": ""January 1999"", ""Publisher:"": ""Lyons Press"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""0.6\"" x 4.8\"" x 7.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/F1A04D8C3A9343333385044F18B3829798FBB279.jpeg
Bringing Tuscany Home: Sensuous Style from the Heart of Italy,Edward Mayes,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0767917464"", ""ISBN13:"": ""9780767917469"", ""Release Date:"": ""October 2004"", ""Publisher:"": ""Clarkson Potter Publishers"", ""Length:"": ""240 Pages"", ""Weight:"": ""2.37 lbs."", ""Dimensions:"": ""0.8\"" x 8.4\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/42B8FAE45AA1F50460E7B22F3E8C4AF84B9E47F8.jpeg
"Birdfeeders, Shelters and Baths",Edward A. Baldwin,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0882666258"", ""ISBN13:"": ""9780882666259"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""Storey Publishing"", ""Length:"": ""110 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""0.6\"" x 8.8\"" x 11.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/D9CB57CE47C4B24113C91909271BFA1C9F541D72.jpeg
Put Your Life on a Diet: Lessons Learned from Living in 140 Square Feet,Gregory Johnson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1423603176"", ""ISBN13:"": ""9781423603177"", ""Release Date:"": ""May 2008"", ""Publisher:"": ""Gibbs Smith"", ""Length:"": ""144 Pages"", ""Weight:"": ""3.80 lbs."", ""Dimensions:"": ""0.3\"" x 5.9\"" x 7.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/41DC45B075182DFF99E09457A16338E7193C2575.jpeg
The Japanese Bath,Bruce Smith,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""158685027X"", ""ISBN13:"": ""9781586850272"", ""Release Date:"": ""April 2001"", ""Publisher:"": ""Gibbs Smith Publishers"", ""Length:"": ""96 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""0.6\"" x 8.4\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/B104198031922C3BE3A637FF0102CB736FFB5BEC.jpeg
"OrCad PSpice for Windows, Volume 1: DC and AC Circuits",Roy W. Goody,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0130157961"", ""ISBN13:"": ""9780130157966"", ""Release Date:"": ""September 2000"", ""Publisher:"": ""Prentice Hall"", ""Length:"": ""306 Pages"", ""Weight:"": ""1.65 lbs."", ""Dimensions:"": ""0.7\"" x 8.3\"" x 10.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/2CDDCC8433B08E9EEE8C20328997E63FE4481572.jpeg
The Builder's Guide to Running a Successful Constructi,David Gerstel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1561583278"", ""ISBN13:"": ""9781561583270"", ""Release Date:"": ""October 1991"", ""Publisher:"": ""Taunton Press"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""0.5\"" x 8.0\"" x 9.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/CE179333A494746405ED56E08C83015B7F18A347.jpeg
One Good Turn: A Natural History of the Screwdriver and the Screw,Witold Rybczynski,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""068486729X"", ""ISBN13:"": ""9780684867298"", ""Release Date:"": ""September 2000"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""172 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.8\"" x 5.6\"" x 7.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/3D2C8B6B80FD7E7E24AE431674B4757FE29DF6EE.jpeg
