Book Name,Authors,Info,Image URL
Art & History of Sicily,Bonechi,"{"""": """"}",https://m.media-amazon.com/images/I/61DMyRoJhuL._SL350_.jpg
"The History of American Sculpture. With Twelve Full-page Photogravures, and one Hundred and Four Illustrations in the Text",Lorado Taft,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1017692599"", ""ISBN13:"": ""9781017692594"", ""Release Date:"": ""October 2022"", ""Publisher:"": ""Legare Street Press"", ""Length:"": ""606 Pages"", ""Weight:"": ""2.25 lbs."", ""Dimensions:"": ""1.3\"" x 6.1\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/1C79AECEA3118B98DE78935364EE464192B21A13.jpeg
A History of Photography in 50 Cameras,Michael Pritchard,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1770855904"", ""ISBN13:"": ""9781770855908"", ""Release Date:"": ""August 2015"", ""Publisher:"": ""Firefly Books"", ""Length:"": ""224 Pages"", ""Weight:"": ""1.60 lbs."", ""Dimensions:"": ""0.6\"" x 6.9\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/21B4090490A9B0C8C1FFB8249F2DDF06657F21D3.jpeg
"Art and Architecture in Italy, 1600-1750 (Hist of Art)",Rudolf Wittkower,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0140561161"", ""ISBN13:"": ""9780140561166"", ""Release Date:"": ""November 1973"", ""Publisher:"": ""Puffin"", ""Length:"": ""672 Pages"", ""Weight:"": ""2.10 lbs."", ""Dimensions:"": ""5.0\"" x 1.0\"" x 7.0\""""}",https://m.media-amazon.com/images/I/51corc7i9CL._SL350_.jpg
The Art of the Precursors: A Study in the History of Early Italian Maiolica With Illustrations,Henry Wallis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1376389819"", ""ISBN13:"": ""9781376389814"", ""Release Date:"": ""February 2018"", ""Publisher:"": ""Sagwan Press"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.42 lbs."", ""Dimensions:"": ""0.3\"" x 6.1\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/D0CD3AF996467F31ABED435420B13BCBC7007BDF.jpeg
Studies in the History and Art of the Eastern Provinces of the Roman Empire: Written for the Quartercentenary of the University of Aberdeen by Seven o,William Mitchell Ramsay,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1376414031"", ""ISBN13:"": ""9781376414035"", ""Release Date:"": ""February 2018"", ""Publisher:"": ""Sagwan Press"", ""Length:"": ""470 Pages"", ""Weight:"": ""1.44 lbs."", ""Dimensions:"": ""0.9\"" x 6.1\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/5D3FF2BD67099A8987E277DC7FCFC8B4F8FADD72.jpeg
Between Tradition and Modernity: Aby Warburg and the Public Purposes of Art in Hamburg,Mark A. Russell,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/4C149BE0E8257FD5720664E79CFA04871644102A.jpeg
The Ceramic Art Of Great Britain From Pre-Historic Times Down To The Present Day: Being A History Of The Ancient And Modern Pottery And Porcelain Work,Llewellynn Frederick William Jewitt,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""9354361072"", ""ISBN13:"": ""9789354361074"", ""Release Date:"": ""January 2021"", ""Publisher:"": ""Alpha Edition"", ""Length:"": ""584 Pages"", ""Weight:"": ""2.94 lbs."", ""Dimensions:"": ""1.2\"" x 8.5\"" x 11.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/E54B358C22EC1415AE4413EA0CD5D353F726F442.jpeg
"Proud Raven, Panting Wolf: Carving Alaska's New Deal Totem Parks",Emily L Moore,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""029574393X"", ""ISBN13:"": ""9780295743936"", ""Release Date:"": ""November 2018"", ""Publisher:"": ""University of Washington Press"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.65 lbs."", ""Dimensions:"": ""1.1\"" x 7.3\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/42ACB0624A593027B6871BB5310404FBA2288723.jpeg
Maus I: A Survivor's Tale: My Father Bleeds History,Art Spiegelman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0394747232"", ""ISBN13:"": ""9780394747231"", ""Release Date:"": ""August 1986"", ""Publisher:"": ""Pantheon Books"", ""Length:"": ""160 Pages"", ""Weight:"": ""0.87 lbs."", ""Dimensions:"": ""0.6\"" x 6.5\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/0038564ACEBE7752AC400C74E07B8507721C677C.jpeg
