Book Name,Authors,Info,Image URL
1421: The Year China Discovered America,Gavin Menzies,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060537639"", ""ISBN13:"": ""9780060537630"", ""Release Date:"": ""January 2003"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""576 Pages"", ""Weight:"": ""2.30 lbs."", ""Dimensions:"": ""1.6\"" x 6.1\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/FAE0A34631B1544D489376377D5DCDEF42F888C9.jpeg
Seven Years in Tibet,Heinrich Harrer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0874778883"", ""Release Date:"": ""August 1997"", ""Publisher:"": ""Tarcher"", ""Length:"": ""329 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""8.3\"" x 0.9\"" x 5.5\""""}",https://m.media-amazon.com/images/I/41LQY1BFKtL._SL350_.jpg
The Great Railway Bazaar: By Train Through Asia,Paul Theroux,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""014024980X"", ""ISBN13:"": ""9780140249804"", ""Release Date:"": ""October 1995"", ""Publisher:"": ""Penguin Group"", ""Length:"": ""379 Pages"", ""Weight:"": ""0.64 lbs."", ""Dimensions:"": ""0.7\"" x 5.1\"" x 7.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/2E2108F0D6682284084D1EA5C1FD35FDB3C56EB0.jpeg
Annapurna,Maurice Herzog,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1558215492"", ""ISBN13:"": ""9781558215498"", ""Release Date:"": ""January 1997"", ""Publisher:"": ""Lyons Press"", ""Length:"": ""314 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 7.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/1EC6D583FEDE6C5C61653FA9B1D3F2117D277483.jpeg
Japan,DK Eyewitness Travel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0756628768"", ""ISBN13:"": ""9780756628765"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""DK Publishing (Dorling Kindersley)"", ""Length:"": ""416 Pages"", ""Weight:"": ""1.45 lbs."", ""Dimensions:"": ""0.8\"" x 5.6\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/9DCB4B483C66A637143C47B58A510052CED169EF.jpeg
Lonely Planet Japan,Rebecca Milner,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1786570351"", ""ISBN13:"": ""9781786570352"", ""Release Date:"": ""August 2017"", ""Publisher:"": ""Lonely Planet"", ""Length:"": ""928 Pages"", ""Weight:"": ""1.75 lbs."", ""Dimensions:"": ""1.6\"" x 5.0\"" x 7.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/D43D4314367E0666824FAB4CEED896682E5901A9.jpeg
The Land I Lost: Adventures of a Boy in Vietnam,Huynh Quang Nhuong,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0064401839"", ""ISBN13:"": ""9780064401838"", ""Release Date:"": ""November 1986"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.4\"" x 5.2\"" x 7.6\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/270DD7ED9CEF01401DFEEE8D521D24774FBC7EB0.jpeg
Stranger in the Forest: On Foot Across Borneo,Eric Hansen,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0395440939"", ""ISBN13:"": ""9780395440933"", ""Release Date:"": ""January 1988"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""286 Pages"", ""Weight:"": ""1.35 lbs.""}",https://m.media-amazon.com/images/I/51JRMIr2ffL._SL350_.jpg
France the Beautiful Cookbook,Gilles Pudlowski,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0681047968"", ""ISBN13:"": ""9780681047969"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""Harper Collins"", ""Length:"": ""256 Pages"", ""Weight:"": ""390.00 lbs.""}",https://images-na.ssl-images-amazon.com/images/I/312UOSPM9ML._SL160_.jpg
No Way Down,Graham Bowley,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0061834793"", ""ISBN13:"": ""9780061834790"", ""Release Date:"": ""May 2011"", ""Publisher:"": ""Harper Perennial"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.7\"" x 5.4\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/9F6D9B523549D7379154148F22F59EE8F736812B.jpeg
