Book Name,Authors,Info,Image URL
Ghost Soldiers: The Epic Account of World War II's Greatest Rescue Mission,Hampton Sides,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""038549565X"", ""ISBN13:"": ""9780385495653"", ""Release Date:"": ""May 2002"", ""Publisher:"": ""Vintage"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.81 lbs."", ""Dimensions:"": ""0.9\"" x 5.1\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/4E88642BBE6D5B9BF10714DB456250F1C1069AF6.jpeg
The Rape of Nanking,Iris Chang,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0140277447"", ""ISBN13:"": ""9780140277449"", ""Release Date:"": ""November 1998"", ""Publisher:"": ""Penguin Group"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.78 lbs."", ""Dimensions:"": ""0.7\"" x 5.3\"" x 8.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/BFF4943F073C0BC475E58825F046C16343BE7D7F.jpeg
Hiroshima by John Hersey (1984-08-01),John Hersey,"{""Format:"": ""Mass Market Paperback"", ""ISBN:"": ""B01FIY5U84"", ""Release Date:"": ""January 1792"", ""Publisher:"": ""Bantam"", ""Weight:"": ""0.20 lbs.""}",https://m.media-amazon.com/images/I/51yvgTl6ifL._SL350_.jpg
Red Scarf Girl: A Memoir of the Cultural Revolution,Ji-li Jiang,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0064462080"", ""ISBN13:"": ""9780064462082"", ""Release Date:"": ""January 2018"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.46 lbs."", ""Dimensions:"": ""0.7\"" x 5.1\"" x 7.5\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/FDE032901CB995AF494DEFF577F14FDA0CFDBDD8.jpeg
Wild Swans: Three Daughters of China,Jung Chang,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0671685465"", ""ISBN13:"": ""9780671685461"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""524 Pages"", ""Weight:"": ""1.91 lbs."", ""Dimensions:"": ""1.5\"" x 6.0\"" x 9.0\""""}",https://m.media-amazon.com/images/I/51dab4SOqkL._SL350_.jpg
Genghis Khan and the Making of the Modern World,Jack Weatherford,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0609809644"", ""Release Date:"": ""March 2005"", ""Publisher:"": ""Crown"", ""Length:"": ""312 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""8.0\"" x 0.7\"" x 5.2\""""}",https://m.media-amazon.com/images/I/41tGMhb7WkL._SL350_.jpg
"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1400067553"", ""ISBN13:"": ""9781400067558"", ""Release Date:"": ""February 2012"", ""Publisher:"": ""Random House"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""1.3\"" x 6.5\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/061FEEA67FBE7CA843E637240D80745AA0B8323D.jpeg
"Ghost Wars: The Secret History of the CIA, Afghanistan, and Bin Laden, from the Soviet Invasion to September 10, 2001",Steve Coll,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0143034669"", ""Release Date:"": ""December 2004"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""736 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""1.5\"" x 5.5\"" x 8.1\""""}",https://m.media-amazon.com/images/I/51pHDYQjmKL._SL350_.jpg
Orientalism,Edward W. Said,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""B007CGT2PE"", ""ISBN13:"": ""9780394740676"", ""Release Date:"": ""October 1979"", ""Publisher:"": ""Vintage"", ""Length:"": ""432 Pages"", ""Weight:"": ""0.76 lbs."", ""Dimensions:"": ""0.9\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/B27D7ACF4A9A083CE3475332DADDA2DB735BA4E9.jpeg
First They Killed My Father: A Daughter of Cambodia Remembers,Loung Ung,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060856262"", ""ISBN13:"": ""9780060856267"", ""Release Date:"": ""April 2006"", ""Publisher:"": ""Harper Perennial"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""0.8\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/6BA117E474EB0E7EBA061DBBB7A42788500F9720.jpeg
The Bookseller of Kabul,Åsne Seierstad,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1844080471"", ""ISBN13:"": ""9781844080472"", ""Release Date:"": ""March 2004"", ""Publisher:"": ""Virago Press (UK)"", ""Length:"": ""276 Pages"", ""Weight:"": ""0.57 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/465715FB2448783A99B5AB3ED0602813D9EA5012.jpeg
Lost Names: Scenes from a Korean Boyhood,Richard E. Kim,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0520214242"", ""ISBN13:"": ""9780520214248"", ""Release Date:"": ""June 1998"", ""Publisher:"": ""University of California Press"", ""Length:"": ""196 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.6\"" x 5.8\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/B535AF90529226E44FFA6F0B2D28CADA729CC5C3.jpeg
The City of Joy,Dominique Lapierre,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446355569"", ""Release Date:"": ""July 1988"", ""Publisher:"": ""Grand Central Publishing"", ""Length:"": ""552 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""6.9\"" x 1.1\"" x 4.1\""""}",https://m.media-amazon.com/images/I/51eR3vH-D6L._SL350_.jpg
Samurai William: The Englishman Who Opened Japan,Giles Milton,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0374253854"", ""ISBN13:"": ""9780374253851"", ""Release Date:"": ""January 2003"", ""Publisher:"": ""Farrar Straus Giroux"", ""Length:"": ""368 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""1.3\"" x 5.9\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/DB91A7B487C01DA447D2AEEF29AD87EFCEED3C1F.jpeg
Self-Portrait of a Hero: The Letters of Jonathan Netanyahu (1963-1976),Jonathan Netanyahu,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0394513762"", ""ISBN13:"": ""9780394513768"", ""Release Date:"": ""January 1980"", ""Publisher:"": ""Random House (NY)"", ""Length:"": ""304 Pages"", ""Weight:"": ""1.46 lbs.""}",https://m.media-amazon.com/images/I/51PiPTrqycL._SL350_.jpg
"Gender and Jim Crow: Women and the Politics of White Supremacy in North Carolina, 1896-1920",Glenda Elizabeth Gilmore,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0807845965"", ""ISBN13:"": ""9780807845967"", ""Release Date:"": ""September 1996"", ""Publisher:"": ""University of North Carolina Press"", ""Length:"": ""410 Pages"", ""Weight:"": ""1.45 lbs."", ""Dimensions:"": ""1.1\"" x 6.1\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/CEE2D06C69904D667D617B6E888A4D1D49A40ABA.jpeg
Bad Blood,James H. Jones,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0029166764"", ""ISBN13:"": ""9780029166765"", ""Release Date:"": ""January 1993"", ""Publisher:"": ""Free Press"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""0.8\"" x 6.3\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/38499734EA7BD1EE97DC0C8F2B85936E6EB3906A.jpeg
Hindoo Holiday,J.R. Ackerley,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0940322250"", ""ISBN13:"": ""9780940322257"", ""Release Date:"": ""January 2000"", ""Publisher:"": ""New York Review of Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.7\"" x 5.0\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/A213F5618BA8DFD86CCFAEEAD504258B93614710.jpeg
The African-American Century: How Black Americans Have Shaped Our Country,Cornel West,"{""Format:"": ""Library Binding"", ""Language:"": ""English"", ""ISBN:"": ""0684864142"", ""ISBN13:"": ""9780684864143"", ""Release Date:"": ""November 2000"", ""Publisher:"": ""Free Press"", ""Length:"": ""414 Pages"", ""Weight:"": ""2.34 lbs."", ""Dimensions:"": ""1.1\"" x 7.6\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/8E9221F77839FAEDF899E7870E8E4AC92EBECBDB.jpeg
Beyond the River: The Untold Story of the Heroes of the Underground Railroad,Ann Hagedorn,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0684870665"", ""ISBN13:"": ""9780684870663"", ""Release Date:"": ""February 2004"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.76 lbs."", ""Dimensions:"": ""0.9\"" x 5.5\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/5544E5FB93347B0D1178FABB6AD16C8826A0B4BB.jpeg
Nathaniel's Nutmeg: Or the True and Incredible Adventures of the Spice Trader Who Changed the Course of History,Giles Milton,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0140292608"", ""ISBN13:"": ""9780140292602"", ""Release Date:"": ""July 2000"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""400 Pages"", ""Weight:"": ""0.63 lbs."", ""Dimensions:"": ""7.7\"" x 1.0\"" x 5.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/5C5230277B970CFB1459155E633A84D86A09C87B.jpeg
Mohandas Gandhi: Essential Writings,Mahatma Gandhi,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1570754322"", ""ISBN13:"": ""9781570754326"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Orbis Books"", ""Length:"": ""191 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.4\"" x 5.5\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/C00093899E9D6CFFA2ED1AAE432A4918A177E0E5.jpeg
Medieval Women's Visionary Literature,Petroff,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""019503712X"", ""ISBN13:"": ""9780195037128"", ""Release Date:"": ""March 1986"", ""Publisher:"": ""Oxford University Press, USA"", ""Length:"": ""416 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""0.8\"" x 6.5\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/CE29FC3966140998883941030F030F79A1DE573F.jpeg
Undivided Rights: Women of Color Organizing for Reproductive Justice,Marlene Gerber,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0896087298"", ""ISBN13:"": ""9780896087293"", ""Release Date:"": ""November 2004"", ""Publisher:"": ""South End Press"", ""Length:"": ""300 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""0.8\"" x 5.4\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/E252A50FDDE5BC84921DA2239F07ECF27D0E6B51.jpeg
To 'Joy My Freedom: Southern Black Women's Lives and Labors After the Civil War,Tera W. Hunter,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0674893085"", ""ISBN13:"": ""9780674893085"", ""Release Date:"": ""September 1998"", ""Publisher:"": ""Harvard University Press"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.16 lbs."", ""Dimensions:"": ""0.9\"" x 6.1\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/5F414446B7F24DF79185588D42EA8B94D1C85E66.jpeg
I May Not Get There with You: The True Martin Luther King Jr.,Michael Eric Dyson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0684867761"", ""ISBN13:"": ""9780684867762"", ""Release Date:"": ""January 2000"", ""Publisher:"": ""Free Press"", ""Length:"": ""416 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""1.2\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/5FA9F4982CFD9F56E5C7D04A623604570A481897.jpeg
Telling Memories/Southern Women,Susan Tucker,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0805209530"", ""ISBN13:"": ""9780805209532"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""Pantheon Books"", ""Length:"": ""278 Pages"", ""Weight:"": ""0.83 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/FF323D37364146F3E5FE1ADDD0122736D18C04CA.jpeg
Red Seas: Ferdinand Smith and Radical Black Sailors in the United States and Jamaica,Gerald Horne,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0814736688"", ""ISBN13:"": ""9780814736685"", ""Release Date:"": ""June 2005"", ""Publisher:"": ""New York University Press"", ""Length:"": ""380 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""1.1\"" x 6.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/862321A28C0EBC2D8814BD581D9791858E1419D0.jpeg
