Book Name,Authors,Info,Image URL
Sexual Astrology,Joanna Martine Woolfolk,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440180201"", ""ISBN13:"": ""9780440180203"", ""Release Date:"": ""August 1979"", ""Publisher:"": ""Dell"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.25 lbs."", ""Dimensions:"": ""0.7\"" x 4.2\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/F8C2442414BCD2173CA97C3013635A935574FD24.jpeg
Saturn: A New Look at an Old Devil,Liz Greene,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""157863735X"", ""ISBN13:"": ""9781578637355"", ""Release Date:"": ""December 2021"", ""Publisher:"": ""Weiser Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.82 lbs."", ""Dimensions:"": ""0.9\"" x 5.7\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/639AD706011ED7F056474C9195157A7A8DBF34BF.jpeg
Astrology for the Soul,Jan Spiller,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553378384"", ""Release Date:"": ""November 1997"", ""Publisher:"": ""Bantam"", ""Length:"": ""528 Pages"", ""Weight:"": ""0.73 lbs."", ""Dimensions:"": ""9.2\"" x 1.1\"" x 6.0\""""}",https://m.media-amazon.com/images/I/41KvRQLIfyL._SL350_.jpg
The Everything Love Signs Book: Use Astrology to Find Your Perfect Mate,Jenni Kosarin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1593370407"", ""ISBN13:"": ""9781593370404"", ""Release Date:"": ""January 2004"", ""Publisher:"": ""Everything"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.48 lbs."", ""Dimensions:"": ""0.8\"" x 4.4\"" x 7.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/9C1866414CEF4D630577EAFEAF09FBD862699434.jpeg
The Secret Language of Destiny: A Personology Guide to Finding Your Life Purpose,Gary Goldschneider,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670885975"", ""ISBN13:"": ""9780670885978"", ""Release Date:"": ""October 1999"", ""Publisher:"": ""Viking Penguin"", ""Length:"": ""824 Pages"", ""Weight:"": ""0.10 lbs."", ""Dimensions:"": ""1.9\"" x 8.9\"" x 11.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/348EC663939CFB20F188208A2D31520E1B4EE94B.jpeg
The Progressed Horoscope,Alan Leo,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1596056320"", ""ISBN13:"": ""9781596056329"", ""Release Date:"": ""December 2005"", ""Publisher:"": ""Cosimo Classics"", ""Length:"": ""370 Pages"", ""Weight:"": ""1.03 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/DF6EAB0B5DAF9D0D154BBF9B463A1CCB543FC29E.jpeg
The Astrologer's Handbook,Frances Sakoian,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060914955"", ""ISBN13:"": ""9780060914950"", ""Release Date:"": ""January 1989"", ""Publisher:"": ""HarperCollins Publishers"", ""Length:"": ""480 Pages"", ""Weight:"": ""1.00 lbs.""}",https://m.media-amazon.com/images/I/51zBb+ozLlL._SL350_.jpg
The Key to Your Own Nativity,Alan Leo,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1498033024"", ""ISBN13:"": ""9781498033022"", ""Release Date:"": ""March 2014"", ""Publisher:"": ""Literary Licensing, LLC"", ""Length:"": ""328 Pages"", ""Weight:"": ""1.61 lbs."", ""Dimensions:"": ""0.7\"" x 7.0\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/B3A9C048C94B22D3A2E9FE0C1E187CD481C2FA98.jpeg
The Secret Language of Relationships: Your Complete Personology Guide to Any Relationship with Anyone,Gary Goldschneider,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670875279"", ""ISBN13:"": ""9780670875276"", ""Release Date:"": ""October 1997"", ""Publisher:"": ""Penguin Group"", ""Length:"": ""819 Pages"", ""Weight:"": ""4.88 lbs."", ""Dimensions:"": ""1.8\"" x 9.0\"" x 11.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/79ECCCEF9EE6AAC3CC3E3150271252CF77CE03F5.jpeg
Darkside Zodiac,Stella Hyde,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/92FE64DDA4F21C6DF875D8F8D90A507D8FA0184E.jpeg
