Book Name,Authors,Info,Image URL
A Short History of Nearly Everything,Bill Bryson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""076790818X"", ""Release Date:"": ""September 2004"", ""Publisher:"": ""Crown"", ""Length:"": ""544 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""9.2\"" x 1.1\"" x 6.0\""""}",https://m.media-amazon.com/images/I/31zlpRRHObL._SL350_.jpg
Brief History of Time,Stephen Hawking,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""055305340X"", ""ISBN13:"": ""9780553053401"", ""Release Date:"": ""March 1988"", ""Publisher:"": ""Bantam Books"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.96 lbs."", ""Dimensions:"": ""0.8\"" x 6.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/E786035AA659E53DFE7E15643FFD58FCBEBAAB7D.jpeg
Cosmos,Carl Sagan,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0394502949"", ""ISBN13:"": ""9780394502946"", ""Release Date:"": ""October 1980"", ""Publisher:"": ""Random House (NY)"", ""Length:"": ""365 Pages"", ""Weight:"": ""2.89 lbs."", ""Dimensions:"": ""1.3\"" x 8.3\"" x 10.2\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://m.media-amazon.com/images/I/51h5zldVrjL._SL350_.jpg
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345409469"", ""Release Date:"": ""February 1997"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""457 Pages"", ""Weight:"": ""0.93 lbs."", ""Dimensions:"": ""8.3\"" x 0.8\"" x 5.5\""""}",https://m.media-amazon.com/images/I/41YG9anPR+L._SL350_.jpg
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0375708111"", ""Release Date:"": ""February 2000"", ""Publisher:"": ""Vintage Books"", ""Length:"": ""464 Pages"", ""Weight:"": ""0.96 lbs."", ""Dimensions:"": ""8.3\"" x 1.0\"" x 5.3\""""}",https://m.media-amazon.com/images/I/51XTJ65qRTL._SL350_.jpg
The Holographic Universe,Michael Talbot,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060922583"", ""Release Date:"": ""May 1992"", ""Publisher:"": ""Harper Perennial"", ""Length:"": ""338 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""8.0\"" x 0.8\"" x 5.3\""""}",https://m.media-amazon.com/images/I/5101yKKhJxL._SL350_.jpg
The Right Stuff,Tom Wolfe,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312427565"", ""ISBN13:"": ""9780312427566"", ""Release Date:"": ""March 2008"", ""Publisher:"": ""Picador USA"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""1.1\"" x 5.4\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/643DB6D111544FCD28EA0DE6457174C035EEBDFA.jpeg
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",Brian Greene,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0375727205"", ""ISBN13:"": ""9780375727207"", ""Release Date:"": ""February 2005"", ""Publisher:"": ""Vintage"", ""Length:"": ""592 Pages"", ""Weight:"": ""1.04 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/03E1D04C7C844D7E95CF7BD6DF1575BE48A4DE36.jpeg
Rocket Boys: A Memoir,Homer Hickam,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""038533320X"", ""ISBN13:"": ""9780385333207"", ""Release Date:"": ""September 1998"", ""Publisher:"": ""Delacorte Press"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.54 lbs."", ""Dimensions:"": ""1.2\"" x 5.6\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/06362A9F035E7ACD46B99887E478D506E9FAA86D.jpeg
Fingerprints of the Gods: The Evidence of Earth's Lost Civilization,Graham Hancock,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0517887290"", ""Release Date:"": ""April 1996"", ""Publisher:"": ""Crown"", ""Length:"": ""592 Pages"", ""Weight:"": ""1.79 lbs."", ""Dimensions:"": ""9.2\"" x 1.6\"" x 6.1\""""}",https://m.media-amazon.com/images/I/4178Pvn4ejL._SL350_.jpg
