Book Name,Authors,Info,Image URL
The God Delusion,Richard Dawkins,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0618680004"", ""Release Date:"": ""October 2006"", ""Publisher:"": ""Mariner Books"", ""Length:"": ""416 Pages"", ""Weight:"": ""1.55 lbs."", ""Dimensions:"": ""9.0\"" x 1.1\"" x 6.0\""""}",https://m.media-amazon.com/images/I/414lz28O-xL._SL350_.jpg
God Is Not Great: How Religion Poisons Everything,Christopher Hitchens,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446697966"", ""ISBN13:"": ""9780446697965"", ""Release Date:"": ""April 2009"", ""Publisher:"": ""Twelve"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.66 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/9DD9A7C9A975CB07EC7EF92008E36593A629933E.jpeg
I Don't Have Enough Faith to Be an Atheist,Norman L. Geisler,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1433580756"", ""ISBN13:"": ""9781433580758"", ""Release Date:"": ""March 2004"", ""Publisher:"": ""Crossway"", ""Length:"": ""448 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""0.9\"" x 5.5\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/3C66362ADBEA0B16FDC602E9DA5360BA7FBFAD2C.jpeg
Letter to a Christian Nation,Sam Harris,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307265773"", ""ISBN13:"": ""9780307265777"", ""Release Date:"": ""September 2006"", ""Publisher:"": ""Alfred A. Knopf"", ""Length:"": ""96 Pages"", ""Weight:"": ""0.42 lbs."", ""Dimensions:"": ""0.6\"" x 4.6\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/90570C27FFCE975F157680F4C7749D2DBEB0CD4F.jpeg
The Portable Atheist: Essential Readings for the Nonbeliever,Thomas Hardy,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0306816083"", ""ISBN13:"": ""9780306816086"", ""Release Date:"": ""November 2007"", ""Publisher:"": ""Da Capo Press"", ""Length:"": ""528 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""1.5\"" x 6.0\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/EBD274F86A819CA1C018418AD762CAD9D67EF25A.jpeg
"Atheist Manifesto: The Case Against Christianity, Judaism, and Islam",Michel Onfray,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1559708506"", ""ISBN13:"": ""9781559708500"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Arcade Publishing"", ""Length:"": ""246 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.8\"" x 6.3\"" x 9.2\""""}",https://m.media-amazon.com/images/I/51vZpAj6ogL._SL350_.jpg
Religion for Atheists: A Non-Believer's Guide to the Uses of Religion,Alain de Botton,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307379108"", ""ISBN13:"": ""9780307379108"", ""Release Date:"": ""March 2012"", ""Publisher:"": ""Pantheon Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""1.0\"" x 5.7\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/0E53C1AD81598897AF8665ACECBF1076A47FE565.jpeg
The Atheist's Bible: An Illustrious Collection of Irreverent Thoughts,Joan Konner,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0061349151"", ""ISBN13:"": ""9780061349157"", ""Release Date:"": ""June 2007"", ""Publisher:"": ""Ecco Press"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.8\"" x 6.6\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/774BAA9FA64DEE82BA1002AB6BED398DEF3512A5.jpeg
What's So Great about Christianity,Dinesh D'Souza,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1596985178"", ""ISBN13:"": ""9781596985179"", ""Release Date:"": ""September 2007"", ""Publisher:"": ""Salem Books"", ""Length:"": ""348 Pages"", ""Weight:"": ""1.35 lbs."", ""Dimensions:"": ""1.2\"" x 6.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/406B666AE551EE159D37900221B670FCA0BAAC11.jpeg
Godless: How an Evangelical Preacher Became One of America's Leading Atheists,Dan Barker,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1569756775"", ""ISBN13:"": ""9781569756775"", ""Release Date:"": ""September 2008"", ""Publisher:"": ""Ulysses Press"", ""Length:"": ""392 Pages"", ""Weight:"": ""1.06 lbs."", ""Dimensions:"": ""1.1\"" x 6.7\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/DE8ED94C8F1A9DA2733347EE211B3FD05B7647D4.jpeg
