Book Name,Authors,Info,Image URL
Goode's World Atlas,Howard Veregin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0136128246"", ""ISBN13:"": ""9780136128243"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""Prentice Hall"", ""Length:"": ""371 Pages"", ""Weight:"": ""2.45 lbs."", ""Dimensions:"": ""0.8\"" x 8.9\"" x 10.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/27912616F59A2666021079D0BB8D08AE98C7DA44.jpeg
A Brief Atlas of the Human Body,Elaine N. Marieb,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0805353364"", ""ISBN13:"": ""9780805353365"", ""Release Date:"": ""January 2003"", ""Publisher:"": ""Benjamin-Cummings Publishing Company"", ""Length:"": ""97 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.3\"" x 8.3\"" x 10.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/4191EF7F1FCC6ACA406B35133A359A7161702B83.jpeg
"National Geographic Student World Atlas, Fourth Edition: Your Fact-Filled Reference for School and Home!",National Geographic Society,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1426317751"", ""ISBN13:"": ""9781426317750"", ""Release Date:"": ""July 2014"", ""Publisher:"": ""National Geographic Kids"", ""Length:"": ""144 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""0.5\"" x 8.5\"" x 10.9\"""", ""Age Range:"": ""12 to 18 years"", ""Grade Range:"": ""Grade 7 to Postsecondary""}",https://i.thriftbooks.com/api/imagehandler/m/1AAF4581E51EAB4C47A0615966AB8468CD10BFA1.jpeg
Atlas of World Geography,Rand McNally & Company,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0131858521"", ""Release Date:"": ""January 2004"", ""Publisher:"": ""Ingram,2011"", ""Length:"": ""176 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""10.9\"" x 0.4\"" x 8.5\""""}",https://m.media-amazon.com/images/I/51yjq3FenkL._SL350_.jpg
Atlas of the World,Keith Lye,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1405499222"", ""ISBN13:"": ""9781405499224"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""Parragon Inc"", ""Length:"": ""256 Pages"", ""Weight:"": ""2.33 lbs."", ""Dimensions:"": ""11.0\"" x 0.8\"" x 9.0\""""}",https://m.media-amazon.com/images/I/21i-FW3WlqL._SL350_.jpg
National Geographic United States Atlas for Young Explorers: Updated Edition,National Geographic Society,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0792268407"", ""ISBN13:"": ""9780792268406"", ""Release Date:"": ""August 2004"", ""Publisher:"": ""National Geographic Society"", ""Length:"": ""176 Pages"", ""Weight:"": ""3.10 lbs."", ""Dimensions:"": ""0.7\"" x 10.5\"" x 13.8\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/FF12658384FF019282D920C50509F010823DE743.jpeg
Maps and Mapping,Barbara Taylor,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1856979369"", ""ISBN13:"": ""9781856979368"", ""Release Date:"": ""November 1995"", ""Publisher:"": ""Kingfisher"", ""Length:"": ""32 Pages"", ""Weight:"": ""0.43 lbs."", ""Dimensions:"": ""0.2\"" x 8.5\"" x 9.5\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/760073A936D76AAEF79DF9D9F5E68554AFB7AF33.jpeg
Nelson's Complete Book of Bible Maps and Charts,Thomas Nelson Publishers,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/2281EA38008FC1A5028155A1944ACBD28E90CADB.jpeg
Essential World Atlas,Oxford University Press,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""019521790X"", ""ISBN13:"": ""9780195217902"", ""Release Date:"": ""November 2001"", ""Publisher:"": ""Oxford University Press, USA"", ""Length:"": ""232 Pages"", ""Weight:"": ""2.25 lbs."", ""Dimensions:"": ""0.9\"" x 11.8\"" x 8.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/7D37AAA5200CF162FD7F168477EC4F1CC3B5A0AB.jpeg
Atlas of the North American Indian,Carl Waldman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0871968509"", ""ISBN13:"": ""9780871968500"", ""Release Date:"": ""January 1995"", ""Publisher:"": ""Facts on File"", ""Length:"": ""276 Pages"", ""Weight:"": ""2.35 lbs."", ""Dimensions:"": ""0.8\"" x 8.8\"" x 11.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/CC94016F51D861D60B3C1C0683C515DAE438F570.jpeg
