Book Name,Authors,Info,Image URL
The Barbecue Bible!,Steven Raichlen,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1563058669"", ""ISBN13:"": ""9781563058660"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Workman Publishing"", ""Length:"": ""556 Pages"", ""Weight:"": ""2.08 lbs."", ""Dimensions:"": ""1.4\"" x 7.9\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/1875E2C790412510E67C159B3C5197CE17C66BDB.jpeg
"Barbecue! Bible Sauces, Rubs, and Marinades, Bastes, Butters, and Glazes (Steven Raichlen Barbecue Bible Cookbooks)",Steven Raichlen,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0761119795"", ""ISBN13:"": ""9780761119791"", ""Release Date:"": ""May 2000"", ""Publisher:"": ""Workman Publishing Company"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.19 lbs."", ""Dimensions:"": ""9.0\"" x 0.8\"" x 7.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/44389D6AEE1E7F506D90DAFD6C707232C8515901.jpeg
How to Grill,Steven Raichlen,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0761120149"", ""ISBN13:"": ""9780761120148"", ""Release Date:"": ""May 2001"", ""Publisher:"": ""Workman Publishing"", ""Length:"": ""512 Pages"", ""Weight:"": ""3.57 lbs."", ""Dimensions:"": ""1.2\"" x 7.9\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/3C0202B449E5EA93BE8E3F1D0E68FF2B0DE5707F.jpeg
Bobby Flay's Mesa Grill Cookbook: Explosive Flavors from the Southwestern Kitchen,Bobby Flay,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307351416"", ""ISBN13:"": ""9780307351418"", ""Release Date:"": ""October 2007"", ""Publisher:"": ""Clarkson Potter Publishers"", ""Length:"": ""288 Pages"", ""Weight:"": ""2.85 lbs."", ""Dimensions:"": ""1.0\"" x 8.4\"" x 10.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/95A6BFAF7EE99FBF5382DD67AC7BC7C2BD20BF3A.jpeg
"Smoke & Spice - Revised Edition: Cooking with Smoke, the Real Way to Barbecue",Bill Jamison,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1558322620"", ""ISBN13:"": ""9781558322622"", ""Release Date:"": ""March 2003"", ""Publisher:"": ""Harvard Common Press"", ""Length:"": ""496 Pages"", ""Weight:"": ""2.05 lbs."", ""Dimensions:"": ""1.4\"" x 7.2\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/13AC324DA04E712335DE670511F2AA9205177139.jpeg
Down Home with the Neelys: A Southern Family Cookbook,Paula Disbrowe,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307269949"", ""ISBN13:"": ""9780307269942"", ""Release Date:"": ""May 2009"", ""Publisher:"": ""Knopf Publishing Group"", ""Length:"": ""278 Pages"", ""Weight:"": ""1.95 lbs."", ""Dimensions:"": ""0.9\"" x 7.7\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/C3F61A26636D09183B90245E82C2B24DF699902A.jpeg
Weber's Big Book of Grilling,Jamie Purviance,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/CB5C5D147D98F59C464C9D76765580A304696790.jpeg
BBQ USA: 425 Fiery Recipes from All Across America,Steven Raichlen,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0761131337"", ""ISBN13:"": ""9780761131335"", ""Release Date:"": ""April 2003"", ""Publisher:"": ""Workman Publishing"", ""Length:"": ""784 Pages"", ""Weight:"": ""4.40 lbs."", ""Dimensions:"": ""2.3\"" x 8.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/3F78DB6B0640752068779A13D11C08876DE0FD78.jpeg
Bobby Flay's Grill It!: A Cookbook,Bobby Flay,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307351424"", ""ISBN13:"": ""9780307351425"", ""Release Date:"": ""April 2008"", ""Publisher:"": ""Clarkson Potter Publishers"", ""Length:"": ""288 Pages"", ""Weight:"": ""2.03 lbs."", ""Dimensions:"": ""0.9\"" x 8.3\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/DDB07792C6742C618EBD651CDF549C204EB608C3.jpeg
Taste of Home Cookies: 623 Irresistible Delights,Taste of Home,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""089821727X"", ""ISBN13:"": ""9780898217278"", ""Release Date:"": ""September 2009"", ""Publisher:"": ""Trusted Media Brands"", ""Length:"": ""384 Pages"", ""Weight:"": ""2.40 lbs."", ""Dimensions:"": ""0.8\"" x 7.8\"" x 9.3\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/274AE07F0F93575747B67B3C44C564B91661E1B1.jpeg
