Book Name,Authors,Info,Image URL
Artisan Bread in Five Minutes a Day: The Discovery That Revolutionizes Home Baking,Jeff Hertzberg,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0312362919"", ""ISBN13:"": ""9780312362911"", ""Release Date:"": ""November 2007"", ""Publisher:"": ""Thomas Dunne Books"", ""Length:"": ""242 Pages"", ""Weight:"": ""1.39 lbs."", ""Dimensions:"": ""1.0\"" x 7.7\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/F450E48438ADCBC6B03D01FB60C0C36EF8ED5EE4.jpeg
Rose's Christmas Cookies,Rose Levy Beranbaum,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0688101364"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""William Morrow"", ""Length:"": ""272 Pages"", ""Weight:"": ""2.45 lbs."", ""Dimensions:"": ""10.0\"" x 0.8\"" x 8.0\""""}",https://m.media-amazon.com/images/I/314VLY6lXfL._SL350_.jpg
"Professional Baking, College Version",Wayne Gisslen,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0471595098"", ""ISBN13:"": ""9780471595090"", ""Release Date:"": ""November 1993"", ""Publisher:"": ""John Wiley & Sons"", ""Length:"": ""400 Pages"", ""Weight:"": ""2.81 lbs."", ""Dimensions:"": ""1.0\"" x 8.8\"" x 11.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/BFFBB656E3B92E308CCAC8EA51BE9E49538EAB6A.jpeg
The Cake Mix Doctor,Anne Byrn,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1579546927"", ""ISBN13:"": ""9781579546922"", ""Release Date:"": ""January 2003"", ""Publisher:"": ""Rodale Books"", ""Length:"": ""500 Pages"", ""Weight:"": ""1.78 lbs.""}",https://m.media-amazon.com/images/I/51Ood3Zw35L._SL350_.jpg
Beard on Bread,James Beard,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0394473450"", ""ISBN13:"": ""9780394473451"", ""Release Date:"": ""October 1974"", ""Publisher:"": ""Alfred A. Knopf"", ""Length:"": ""230 Pages"", ""Weight:"": ""1.13 lbs."", ""Dimensions:"": ""1.0\"" x 6.4\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/584863036C04072238D7DE25466E7BC50A6A7CD7.jpeg
The Cake Bible,Rose Levy Beranbaum,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0688044026"", ""ISBN13:"": ""9780688044022"", ""Release Date:"": ""September 1988"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""592 Pages"", ""Weight:"": ""2.67 lbs."", ""Dimensions:"": ""1.7\"" x 7.5\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/48AB7D089B855EE197BE0DDFF901338DD2FDD485.jpeg
The Pie and Pastry Bible,Rose Levy Beranbaum,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0684813483"", ""ISBN13:"": ""9780684813486"", ""Release Date:"": ""November 1998"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""704 Pages"", ""Weight:"": ""2.80 lbs."", ""Dimensions:"": ""2.0\"" x 7.2\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/8339A86553822804CBA6B2C4A312F81F1C10D638.jpeg
Ben & Jerry's Homemade Ice Cream & Dessert Book,Jerry Greenfield,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0894803123"", ""ISBN13:"": ""9780894803123"", ""Release Date:"": ""January 1987"", ""Publisher:"": ""Workman Publishing"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.66 lbs."", ""Dimensions:"": ""0.4\"" x 7.7\"" x 6.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/03955A0921AFE0630F396C5F9C98C9F5141E1BFC.jpeg
The Best Bread Machine Cookbook Ever,Madge Rosenberg,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060169273"", ""ISBN13:"": ""9780060169275"", ""Release Date:"": ""November 1992"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.92 lbs."", ""Dimensions:"": ""0.7\"" x 6.0\"" x 6.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/3907E564B41735A4456AB4A6B423401E0C824F22.jpeg
"Healthy Bread in Five Minutes a Day: 100 New Recipes Featuring Whole Grains, Fruits, Vegetables, and Gluten-Free Ingredients",Zoë François,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0312545525"", ""Release Date:"": ""October 2009"", ""Publisher:"": ""Thomas Dunne Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.95 lbs."", ""Dimensions:"": ""9.4\"" x 1.1\"" x 7.8\""""}",https://m.media-amazon.com/images/I/51+tSKzK9-L._SL350_.jpg
Building a Wood-Fired Oven for Bread and Pizza,Tom Jaine,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""090732570X"", ""ISBN13:"": ""9780907325703"", ""Release Date:"": ""September 1996"", ""Publisher:"": ""Prospect Books (UK)"", ""Length:"": ""113 Pages"", ""Weight:"": ""1.70 lbs."", ""Dimensions:"": ""0.3\"" x 6.2\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/64E17ACB05E4688012A457584C15E24D47848C6B.jpeg
"Green and Black's Chocolate Recipes : Unwrapped - From the Cacao Pod to Muffins, Mousses and Moles",Josephine Fairley,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1856264890"", ""ISBN13:"": ""9781856264891"", ""Release Date:"": ""January 2002"", ""Publisher:"": ""Kyle Cathie"", ""Length:"": ""192 Pages"", ""Weight:"": ""1.90 lbs."", ""Dimensions:"": ""11.2\"" x 0.6\"" x 8.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/03869349D3511EFF20A085796615C0EF26765DAB.jpeg
New Holland Professional: Cake Decorating,Rachel Brown,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/94CB89741F3BC845BDB269D351FF04F820EE17EC.jpeg
Crazy about Cupcakes,Krystina Castella,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1402719949"", ""ISBN13:"": ""9781402719943"", ""Release Date:"": ""August 2006"", ""Publisher:"": ""Sterling"", ""Length:"": ""255 Pages"", ""Weight:"": ""1.75 lbs."", ""Dimensions:"": ""0.7\"" x 8.1\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/F3534A71101066CF3D5B0EDFF6C7DDC020606058.jpeg
Bride's Little Book of Cakes and Toasts,Bride's Magazine,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/106F98E625DF491D73D0523F780986F62AAA88FC.jpeg
All Cakes Considered,Melissa Gray,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0811867811"", ""ISBN13:"": ""9780811867818"", ""Release Date:"": ""October 2009"", ""Publisher:"": ""Chronicle Books"", ""Length:"": ""224 Pages"", ""Weight:"": ""2.20 lbs."", ""Dimensions:"": ""1.0\"" x 9.0\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/1E67AD56ACAFF1A9572EB1300CF31040D4C0197B.jpeg
"125 Best Chocolate Chip Recipes: Quick, Easy, Fun Ideas",Julie Hasson,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/F695B9F2E92419376CF7830EF607EB6AA80E159E.jpeg
Betty Crocker's Old-Fashioned Desserts,Betty Crocker,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0130937339"", ""ISBN13:"": ""9780130937339"", ""Release Date:"": ""April 1992"", ""Publisher:"": ""Prentice Hall"", ""Length:"": ""118 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""0.5\"" x 8.2\"" x 10.3\""""}",https://m.media-amazon.com/images/I/41a4CYh7ueL._SL350_.jpg
Pancakes: From Morning to Midnight,Dorie Greenspan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0688141048"", ""ISBN13:"": ""9780688141042"", ""Release Date:"": ""February 1997"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""147 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""0.5\"" x 8.0\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/F2E906FF027B7828F30A78A54875774DA1F21CB8.jpeg
Sugar Art,Kate Venter,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0948075058"", ""ISBN13:"": ""9780948075056"", ""Release Date:"": ""December 1899"", ""Publisher:"": ""Rutland Group"", ""Length:"": ""36 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.3\"" x 8.5\"" x 11.0\""""}",https://m.media-amazon.com/images/I/51cRU3kyhEL._SL350_.jpg
If You Give a Moose a Muffin,Laura Joffe Numeroff,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060244054"", ""ISBN13:"": ""9780060244057"", ""Release Date:"": ""September 1991"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""32 Pages"", ""Weight:"": ""0.64 lbs."", ""Dimensions:"": ""0.4\"" x 8.3\"" x 9.1\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://i.thriftbooks.com/api/imagehandler/m/5A27AB8E00416BE7A51A79B944C98BACFC710BC3.jpeg
