Book Name,Authors,Info,Image URL
Willie & Me,Dan Gutman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0061704067"", ""ISBN13:"": ""9780061704062"", ""Release Date:"": ""March 2016"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""176 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.5\"" x 5.0\"" x 7.4\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://m.media-amazon.com/images/I/51nC0BJrgrL._SL350_.jpg
Era CL,Roger Kahn,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0395561558"", ""ISBN13:"": ""9780395561553"", ""Release Date:"": ""January 1993"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""372 Pages"", ""Weight:"": ""1.68 lbs."", ""Dimensions:"": ""1.3\"" x 6.2\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/5BF92BD569DD262D8D69DC9D696B2683FE88B425.jpeg
The Prince of Fenway Park,Julianna Baggott,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""006087242X"", ""ISBN13:"": ""9780060872427"", ""Release Date:"": ""March 2009"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.1\"" x 5.5\"" x 8.6\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/BAD8F4B5FF2A0FE08DD19659B59BA1053938424D.jpeg
As They See 'em: A Fan's Travels in the Land of Umpires,Bruce Weber,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743294130"", ""ISBN13:"": ""9780743294133"", ""Release Date:"": ""March 2010"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.9\"" x 5.6\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/571354EC1936BC700F680F6F729B983D4C9939FB.jpeg
The Mental Keys to Hitting: A Handbook of Strategies for Performance Enhancement,H.A. Dorfman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1888698381"", ""ISBN13:"": ""9781888698381"", ""Release Date:"": ""April 2001"", ""Publisher:"": ""Taylor Trade Publishing"", ""Length:"": ""129 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.4\"" x 6.1\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/E9CD306427DBEA56CBDBA22CD68EFB7F2D467D96.jpeg
Green Cathedrals: The Ultimate Celebration of All Major League and Negro League Ballparks,Philip Lowry,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0802715621"", ""ISBN13:"": ""9780802715623"", ""Release Date:"": ""October 2006"", ""Publisher:"": ""Walker & Company"", ""Length:"": ""264 Pages"", ""Weight:"": ""1.70 lbs."", ""Dimensions:"": ""1.0\"" x 8.7\"" x 11.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/555FBAA7CCE84A97DB4B3EF6C5A4261956765023.jpeg
"None But the Braves: A Pitcher, a Team, a Champion",Tom Glavine,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060186496"", ""ISBN13:"": ""9780060186494"", ""Release Date:"": ""September 1996"", ""Publisher:"": ""HarperTorch"", ""Length:"": ""226 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""1.0\"" x 6.5\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/B02C0D921760012E34CEB79A17DF8D9AFA251832.jpeg
"The Last Night of the Yankee Dynasty: The Game, the Team, and the Cost of Greatness",Buster Olney,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060515066"", ""ISBN13:"": ""9780060515065"", ""Release Date:"": ""August 2004"", ""Publisher:"": ""Ecco Press"", ""Length:"": ""352 Pages"", ""Weight:"": ""1.44 lbs."", ""Dimensions:"": ""1.2\"" x 6.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/9C8ABC4D4DF51BDFEED1FA0B8985CC36F5D97B6B.jpeg
A Donald Honig Reader,Donald Honig,"{"""": """"}",https://m.media-amazon.com/images/I/51e7fm7DmUL._SL350_.jpg
Whatever Happened to the Hall of Fame,Bill James,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0684800888"", ""ISBN13:"": ""9780684800882"", ""Release Date:"": ""April 1995"", ""Publisher:"": ""Free Press"", ""Length:"": ""464 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""1.1\"" x 6.1\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/395D68FE4635571A72FC7921C96442843877F69E.jpeg
