Book Name,Authors,Info,Image URL
Gray's Anatomy: The Classic Collector's Edition,Henry Gray,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0517223651"", ""ISBN13:"": ""9780517223659"", ""Release Date:"": ""November 1988"", ""Publisher:"": ""Gramercy Books"", ""Length:"": ""1257 Pages"", ""Weight:"": ""2.89 lbs."", ""Dimensions:"": ""2.8\"" x 6.7\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/8E20B2EB9124ADA9946DD9A3BCFDD7297F322C5B.jpeg
The Anatomy Coloring Book,Wynn Kapit,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0064539148"", ""Release Date:"": ""January 1977"", ""Publisher:"": ""Harper & Row"", ""Length:"": ""142 Pages"", ""Weight:"": ""1.68 lbs.""}",https://m.media-amazon.com/images/I/514dq7qmpOL._SL350_.jpg
Strength Training Anatomy,Frédéric Delavier,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0736092269"", ""ISBN13:"": ""9780736092265"", ""Release Date:"": ""March 2010"", ""Publisher:"": ""Human Kinetics Publishers"", ""Length:"": ""192 Pages"", ""Weight:"": ""1.30 lbs."", ""Dimensions:"": ""0.6\"" x 7.7\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/7F375AB7A7D314B8593FD4354F2DB50A2EBA0670.jpeg
Spark: The Revolutionary New Science of Exercise and the Brain,John J. Ratey,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316113514"", ""ISBN13:"": ""9780316113519"", ""Release Date:"": ""January 2013"", ""Publisher:"": ""Little, Brown Spark"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.61 lbs."", ""Dimensions:"": ""0.9\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/3C273A727B9977DC7CD20579F90FC0D5003300E8.jpeg
Your Inner Fish: A Journey Into the 3.5-Billion-Year History of the Human Body,Neil Shubin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307277453"", ""ISBN13:"": ""9780307277459"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Vintage"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""0.7\"" x 5.5\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/A3775065B35B263063E64E4E016E4E41B064B14E.jpeg
Atlas of Human Anatomy,Frank H. Netter,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0914168185"", ""ISBN13:"": ""9780914168188"", ""Release Date:"": ""January 1989"", ""Publisher:"": ""ICON Learning Systems"", ""Length:"": ""514 Pages"", ""Weight:"": ""5.15 lbs."", ""Dimensions:"": ""1.9\"" x 10.0\"" x 14.8\""""}",https://m.media-amazon.com/images/I/41OqGUyeK-L._SL350_.jpg
"Eat Right 4 Your Type Complete Blood Type Encyclopedia: The A-Z Reference Guide for the Blood Type Connection to Symptoms, Disease, Conditions, Vitami",Peter J. D'Adamo,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1573229202"", ""ISBN13:"": ""9781573229203"", ""Release Date:"": ""January 2002"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""608 Pages"", ""Weight:"": ""2.03 lbs."", ""Dimensions:"": ""1.3\"" x 7.4\"" x 9.1\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/18C2B4C9386752B65DABDD7492F9FE8D82CA252F.jpeg
Anatomy & Physiology for Dummies,Maggie Norris,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0764554220"", ""ISBN13:"": ""9780764554223"", ""Release Date:"": ""May 2002"", ""Publisher:"": ""For Dummies"", ""Length:"": ""400 Pages"", ""Weight:"": ""1.38 lbs."", ""Dimensions:"": ""0.9\"" x 7.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/F8D8C0060AA8CE0EC3CC43B047BC36B5B00DA9C2.jpeg
Human Anatomy & Physiology,Katja Hoehn,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0131363522"", ""ISBN13:"": ""9780131363526"", ""Release Date:"": ""January 2016"", ""Publisher:"": ""Benjamin-Cummings Publishing Company"", ""Length:"": ""1114 Pages"", ""Weight:"": ""0.05 lbs.""}",https://m.media-amazon.com/images/I/51CTOnKigxL._SL350_.jpg
Anatomy of Movement,Blandine Calais-Germain,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0939616173"", ""ISBN13:"": ""9780939616176"", ""Release Date:"": ""October 1993"", ""Publisher:"": ""W.B. Saunders Company"", ""Length:"": ""289 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.7\"" x 6.9\"" x 9.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/F50E164D6334019FC5AA146F2B4BE4324E8A3239.jpeg
