Book Name,Authors,Info,Image URL
The Book of Basketball: The NBA According to the Sports Guy,Bill Simmons,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""034551176X"", ""ISBN13:"": ""9780345511768"", ""Release Date:"": ""October 2009"", ""Publisher:"": ""ESPN Video"", ""Length:"": ""720 Pages"", ""Weight:"": ""0.15 lbs."", ""Dimensions:"": ""1.8\"" x 6.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/91A4AB91FD9594D7D7888C8A01ACA0EBCDE59988.jpeg
I Can't Accept Not Trying: Michael Jordan on the Pursuit of Excellence,Michael Jordan,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062511904"", ""ISBN13:"": ""9780062511904"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""HarperCollins Publishers"", ""Length:"": ""36 Pages"", ""Weight:"": ""0.28 lbs."", ""Dimensions:"": ""0.4\"" x 5.8\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/707AC6EA887A93D9768F905F1C9C2DB62C020271.jpeg
Sports Illustrated: The Basketball Book,Sports Illustrated,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1933821191"", ""ISBN13:"": ""9781933821191"", ""Release Date:"": ""October 2007"", ""Publisher:"": ""Sports Illustrated Books"", ""Length:"": ""296 Pages"", ""Weight:"": ""4.18 lbs."", ""Dimensions:"": ""1.1\"" x 11.0\"" x 12.2\"""", ""Age Range:"": ""22 years and under"", ""Grade Range:"": ""Preschool to Postsecondary""}",https://i.thriftbooks.com/api/imagehandler/m/A5A6337C4F52709ED4CA316C3F07430932FBD0DD.jpeg
For the Love of the Game: My Story,Michael Jordan,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0609602063"", ""ISBN13:"": ""9780609602065"", ""Release Date:"": ""October 1998"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""156 Pages"", ""Weight:"": ""1.83 lbs."", ""Dimensions:"": ""0.7\"" x 10.4\"" x 12.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/8A29A050BFB85DF7C89BD7E7B3D42EB500405A23.jpeg
Wooden: A Lifetime of Observations and Reflections on and Off the Court,John Wooden,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0809230410"", ""ISBN13:"": ""9780809230419"", ""Release Date:"": ""April 1997"", ""Publisher:"": ""McGraw-Hill Companies"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.9\"" x 5.3\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/01F5C909EE7D70080AF4CB050C84A9037D6AAF57.jpeg
Sacred Hoops: Spiritual Lessons of a Hardwood Warrior,Phil Jackson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""078688200X"", ""ISBN13:"": ""9780786882007"", ""Release Date:"": ""November 1996"", ""Publisher:"": ""Hyperion Books"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.6\"" x 5.6\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/DCA7F7D86B0B20B3F2EE314A5AADE0DBE3F28E2C.jpeg
The Jordan Rules: The Inside Story of a Turbulent Season with Michael Jordan and the Chicago Bulls,Sam Smith,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0671744917"", ""ISBN13:"": ""9780671744915"", ""Release Date:"": ""January 1992"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""333 Pages"", ""Weight:"": ""1.22 lbs."", ""Dimensions:"": ""1.1\"" x 6.5\"" x 9.6\""""}",https://m.media-amazon.com/images/I/51doQOzBuoL._SL350_.jpg
Travel Team,Mike Lupica,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0399241507"", ""Release Date:"": ""October 2004"", ""Publisher:"": ""Philomel Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.19 lbs."", ""Dimensions:"": ""9.3\"" x 0.9\"" x 6.4\""""}",https://m.media-amazon.com/images/I/31LvqQIjGyL._SL350_.jpg
My Losing Season,Pat Conroy,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0385489129"", ""ISBN13:"": ""9780385489126"", ""Release Date:"": ""October 2002"", ""Publisher:"": ""Nan A. Talese"", ""Length:"": ""416 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""1.3\"" x 6.5\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/9E58604F4DBFF13A700CF796C479F2F3B51FF5B1.jpeg
Basketball for Dummies,Richard Phelps,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0764552481"", ""ISBN13:"": ""9780764552489"", ""Release Date:"": ""September 2000"", ""Publisher:"": ""For Dummies"", ""Length:"": ""401 Pages"", ""Weight:"": ""1.44 lbs."", ""Dimensions:"": ""0.9\"" x 7.3\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/4ADF16446B309A620BA58ACAD1E218EEAB6116F5.jpeg
NBA's Greatest,John Hareas,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/ABD3E3A489DC44F523F1DC347D217C7F710DF1C0.jpeg
Lute!: The Seasons of My Life,David Fisher,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0312354339"", ""ISBN13:"": ""9780312354336"", ""Release Date:"": ""October 2006"", ""Publisher:"": ""Thomas Dunne Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.46 lbs."", ""Dimensions:"": ""1.1\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/BF635267E65899780A648DF65CB5BE4683B8F18C.jpeg
This Game's the Best: So Why Don't They Quit Screwing with It?,Don Yaeger,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0312156715"", ""ISBN13:"": ""9780312156718"", ""Release Date:"": ""January 1997"", ""Publisher:"": ""St. Martin's Press"", ""Length:"": ""258 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""0.9\"" x 6.3\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/2FE7C03F8741CE90FF400A95F065E2A879065073.jpeg
Hoop City: Touchdown Edition,Scott Blumenthal,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/C666F8A93B5BDAB644F853B4F26B06E98A45CD69.jpeg
Lebron James,John Hareas,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0439703972"", ""ISBN13:"": ""9780439703970"", ""Release Date:"": ""February 2005"", ""Publisher:"": ""Scholastic"", ""Length:"": ""29 Pages"", ""Weight:"": ""0.15 lbs."", ""Dimensions:"": ""0.1\"" x 6.1\"" x 9.0\"""", ""Age Range:"": ""7 to 10 years"", ""Grade Range:"": ""Grades 2 to 5""}",https://i.thriftbooks.com/api/imagehandler/m/13821FCD0EAF4C0F8B8E1B9F7A238C70177631E0.jpeg
Official NBA Trivia: The Ultimate Team-By-Team Challenge for Hoop Fans,Clare Martin,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/59F8C339935AEB63BB0B95F949CA350F8E12F3D7.jpeg
Miracle on 33rd Street: The New York Knickerbockers' Championship Season,Phil Berger,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0671208098"", ""ISBN13:"": ""9780671208097"", ""Release Date:"": ""January 1970"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.70 lbs.""}",https://m.media-amazon.com/images/I/51dqlr7iW+L._SL350_.jpg
Shot Clock Slam,Chris Kreie,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1434227863"", ""ISBN13:"": ""9781434227867"", ""Release Date:"": ""August 2010"", ""Publisher:"": ""Stone Arch Books"", ""Length:"": ""56 Pages"", ""Weight:"": ""0.25 lbs."", ""Dimensions:"": ""0.2\"" x 5.2\"" x 7.2\"""", ""Age Range:"": ""8 to 14 years"", ""Grade Range:"": ""Grades 3 to 9""}",https://i.thriftbooks.com/api/imagehandler/m/3B9306674DC55751BA4F15D5F535EC04483CB562.jpeg
"When the Garden Was Eden: Clyde, the Captain, Dollar Bill, and the Glory Days of the New York Knicks",Harvey Araton,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0061956244"", ""ISBN13:"": ""9780061956249"", ""Release Date:"": ""October 2012"", ""Publisher:"": ""Harper Paperbacks"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.68 lbs."", ""Dimensions:"": ""1.0\"" x 5.3\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/7864D652DA851E4A7DA7DA92FAE86DD1930DECE7.jpeg
Yao: A Life in Two Worlds,Ric Bucher,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1401352146"", ""ISBN13:"": ""9781401352141"", ""Release Date:"": ""September 2004"", ""Publisher:"": ""Miramax Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""1.32 lbs."", ""Dimensions:"": ""1.1\"" x 6.6\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/DFB900FBC0BB88480CBEC0675360F9E6B4E66402.jpeg
Sooley [Large Print],John Grisham,"{""Format:"": ""Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""0593459318"", ""ISBN13:"": ""9780593459317"", ""Release Date:"": ""May 2021"", ""Publisher:"": ""Random House Large Print Publishing"", ""Length:"": ""480 Pages"", ""Weight:"": ""1.12 lbs."", ""Dimensions:"": ""1.2\"" x 6.1\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/27FC0EE5F172FE5DC635AAA5FF9092BB8E0AF36F.jpeg
Fade Away,Harlan Coben,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0440246199"", ""ISBN13:"": ""9780440246190"", ""Release Date:"": ""August 2010"", ""Publisher:"": ""Dell"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.44 lbs."", ""Dimensions:"": ""0.9\"" x 4.2\"" x 7.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/CA76A5922B0964B8B1949388C774D71876B06330.jpeg
Booked,Kwame Alexander,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0544570987"", ""ISBN13:"": ""9780544570986"", ""Release Date:"": ""April 2016"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.2\"" x 5.7\"" x 8.3\"""", ""Age Range:"": ""10 to 12 years"", ""Grade Range:"": ""Grades 5 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/E4EA4E2C458FAD2512C1458700E1CA73AF086B81.jpeg
Salt in His Shoes: Michael Jordan in Pursuit of a Dream,Deloris Jordan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0689834195"", ""Release Date:"": ""November 2003"", ""Publisher:"": ""Simon & Schuster Books for Young Readers"", ""Length:"": ""32 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""12.0\"" x 0.2\"" x 9.0\""""}",https://m.media-amazon.com/images/I/51NwKX5v-DL._SL350_.jpg
The Crossover Graphic Novel,Kwame Alexander,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1328575497"", ""ISBN13:"": ""9781328575494"", ""Release Date:"": ""September 2019"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.99 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.2\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/348A8A13348566319558244489457C7FDDFC0FE8.jpeg
"Leading with the Heart: Coach K's Successful Strategies for Basketball, Business, and Life",Mike Krzyzewski,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446676780"", ""Release Date:"": ""March 2001"", ""Publisher:"": ""Warner Business Books"", ""Length:"": ""291 Pages"", ""Weight:"": ""1.03 lbs."", ""Dimensions:"": ""9.3\"" x 1.0\"" x 6.3\""""}",https://m.media-amazon.com/images/I/41m790SPghL._SL350_.jpg
Coach Wooden's Pyramid of Success: Building Blocks for a Better Life,Jay Carty,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0830736794"", ""ISBN13:"": ""9780830736799"", ""Release Date:"": ""January 2005"", ""Publisher:"": ""Regal Books"", ""Length:"": ""168 Pages"", ""Weight:"": ""0.94 lbs."", ""Dimensions:"": ""0.8\"" x 6.3\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/08886D4153655F2E0B17BB541EDCA38E6F42BB1A.jpeg
The Basketball Diaries: The Classic about Growing Up Hip on New York's Mean Streets,Jim Carroll,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0140100180"", ""ISBN13:"": ""9780140100181"", ""Release Date:"": ""July 1987"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.5\"" x 5.1\"" x 7.8\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/9E75A01B83A5D7BFE91820085C035C107A0D9D94.jpeg
Heat,Mike Lupica,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0399243011"", ""ISBN13:"": ""9780399243011"", ""Release Date:"": ""April 2006"", ""Publisher:"": ""Philomel Books"", ""Length:"": ""220 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.8\"" x 6.3\"" x 9.3\"""", ""Age Range:"": ""10 years and up"", ""Grade Range:"": ""Grade 5 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/F76A81AC065DFD36474C2A5C93982F1DAC2903BE.jpeg
