Book Name,Authors,Info,Image URL
Making Faces,Kevyn Aucoin,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316286869"", ""ISBN13:"": ""9780316286862"", ""Release Date:"": ""December 1999"", ""Publisher:"": ""Little Brown and Company"", ""Length:"": ""160 Pages"", ""Weight:"": ""2.47 lbs."", ""Dimensions:"": ""0.8\"" x 9.3\"" x 12.4\"""", ""Age Range:"": ""13 years and up"", ""Grade Range:"": ""Grade 8 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/D31A92B78E61ACD91CEFDE748291F699788D5507.jpeg
By Naomi Wolf The Beauty Myth: How Images of Female Beauty Are Used Against Women (1st First Edition) [Hardcover],Naomi Wolf,"{""Format:"": ""Hardcover"", ""ISBN:"": ""B00SCUQ25W"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""William Morrow"", ""Weight:"": ""1.00 lbs.""}",https://m.media-amazon.com/images/I/31JE5vBGkML._SL350_.jpg
Color Me Beautiful,Carole Jackson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345290151"", ""ISBN13:"": ""9780345290151"", ""Release Date:"": ""March 1981"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""211 Pages"", ""Weight:"": ""0.84 lbs.""}",https://m.media-amazon.com/images/I/51gVk6QmmeL._SL350_.jpg
Bobbi Brown Makeup Manual: For Everyone from Beginner to Pro,Bobbi Brown,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0446581348"", ""ISBN13:"": ""9780446581349"", ""Release Date:"": ""December 2008"", ""Publisher:"": ""Grand Central Life & Style"", ""Length:"": ""232 Pages"", ""Weight:"": ""2.15 lbs."", ""Dimensions:"": ""0.9\"" x 8.0\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/AB7AF79820D5A4B30F78048303DB219436331819.jpeg
"The New Encyclopedia of Modern Bodybuilding: The Bible of Bodybuilding, Fully Updated and Revised",Arnold Schwarzenegger,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""B01E0EV2AS"", ""ISBN13:"": ""9780684857213"", ""Release Date:"": ""November 1999"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""832 Pages"", ""Weight:"": ""2.27 lbs."", ""Dimensions:"": ""1.7\"" x 8.3\"" x 10.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/7A595211DF1DFC9477E062702C2149A406D6B0ED.jpeg
Organic Body Care Recipes: 175 Homeade Herbal Formulas for Glowing Skin & a Vibrant Self,Stephanie Tourles,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/7680900FAD623A22C592C2BCD29EC1B7F6837C36.jpeg
Style,Kate Spade,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0743250672"", ""ISBN13:"": ""9780743250672"", ""Release Date:"": ""April 2004"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""111 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""0.6\"" x 6.2\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/6894C8CEEA90C6550EAB861506FF0BE015153708.jpeg
The Natural Soap Book: Making Herbal and Vegetable-Based Soaps,Susan Miller Cavitch,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0882668889"", ""ISBN13:"": ""9780882668888"", ""Release Date:"": ""January 1995"", ""Publisher:"": ""Storey Publishing"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.6\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/5BF0F821C53556720C7303F89F157BC96C71A716.jpeg
Face Forward,Kevyn Aucoin,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0316286443"", ""ISBN13:"": ""9780316286442"", ""Release Date:"": ""October 2000"", ""Publisher:"": ""Little Brown and Company"", ""Length:"": ""176 Pages"", ""Weight:"": ""1.66 lbs."", ""Dimensions:"": ""0.8\"" x 9.3\"" x 12.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/406575F0F3DC2B4F3DD403E444A4DB6DD9D8D995.jpeg
Curly Girl: The Handbook,Deborah Chiel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""076115678X"", ""ISBN13:"": ""9780761156789"", ""Release Date:"": ""January 2011"", ""Publisher:"": ""Workman Publishing"", ""Length:"": ""176 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""0.5\"" x 6.9\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/CFBCD05B7B6F0FB12961709EC5F52D35A056FA74.jpeg
