Book Name,Authors,Info,Image URL
The List,Siobhan Vivian,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0545169178"", ""ISBN13:"": ""9780545169172"", ""Release Date:"": ""April 2012"", ""Publisher:"": ""Push"", ""Length:"": ""333 Pages"", ""Weight:"": ""1.01 lbs."", ""Dimensions:"": ""1.2\"" x 5.7\"" x 8.4\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/B8D722CE66062089E4ED3FCCCA0BF0AA75D5AA81.jpeg
"Are You There God? It's Me, Margaret.",Judy Blume,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""148140993X"", ""ISBN13:"": ""9781481409933"", ""Release Date:"": ""April 2014"", ""Publisher:"": ""Atheneum Books for Young Readers"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""0.7\"" x 5.1\"" x 7.7\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/43D4481E4447E7E08CDD9D478EE1D5FF986B68D2.jpeg
After Ever After,Jordan Sonnenblick,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0439837065"", ""ISBN13:"": ""9780439837064"", ""Release Date:"": ""February 2010"", ""Publisher:"": ""Scholastic Press"", ""Length:"": ""260 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""1.1\"" x 5.8\"" x 8.3\"""", ""Age Range:"": ""11 to 15 years"", ""Grade Range:"": ""Grades 6 to 10""}",https://i.thriftbooks.com/api/imagehandler/m/F47EE89364212AE0CC0920D5BE129672175F8F88.jpeg
The Good Girls,Sara Shepard,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062074520"", ""ISBN13:"": ""9780062074522"", ""Release Date:"": ""June 2015"", ""Publisher:"": ""Harperteen"", ""Length:"": ""368 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.3\"" x 5.8\"" x 8.4\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9 and higher""}",https://m.media-amazon.com/images/I/41cDR0d-8DL._SL350_.jpg
Pretty Little Liars #6: Killer,Sara Shepard,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""006156611X"", ""ISBN13:"": ""9780061566110"", ""Release Date:"": ""June 2009"", ""Publisher:"": ""Harperteen"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.1\"" x 6.0\"" x 8.2\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/EDEF5748663599E4F79872E5163C23A4969BD811.jpeg
"L8r, G8r",Lauren Myracle,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""081091266X"", ""ISBN13:"": ""9780810912663"", ""Release Date:"": ""March 2007"", ""Publisher:"": ""Harry N. Abrams"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.97 lbs."", ""Dimensions:"": ""1.0\"" x 5.8\"" x 8.0\"""", ""Age Range:"": ""7 to 13 years"", ""Grade Range:"": ""Grades 2 to 8""}",https://i.thriftbooks.com/api/imagehandler/m/845781B38F45DDBC36C9BEB1E389D78C2C7EB051.jpeg
The Future of Us,Carolyn Mackler,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1595144919"", ""ISBN13:"": ""9781595144911"", ""Release Date:"": ""November 2011"", ""Publisher:"": ""Razorbill"", ""Length:"": ""356 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""1.4\"" x 5.5\"" x 8.3\"""", ""Age Range:"": ""12 years and up"", ""Grade Range:"": ""Grade 7 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/0C01C367EEFA638E894A1B5B754310A6B2AA5BF7.jpeg
Tiger Eyes,Judy Blume,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0878881859"", ""ISBN13:"": ""9780878881857"", ""Release Date:"": ""January 1981"", ""Publisher:"": ""Bradbury Press"", ""Length:"": ""206 Pages"", ""Weight:"": ""1.15 lbs."", ""Age Range:"": ""12 years and up"", ""Grade Range:"": ""Grade 7 and higher""}",https://m.media-amazon.com/images/I/41aEP44D59L._SL350_.jpg
This Lullaby,Sarah Dessen,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0142501557"", ""ISBN13:"": ""9780142501559"", ""Release Date:"": ""March 2004"", ""Publisher:"": ""Speak"", ""Length:"": ""345 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""1.0\"" x 5.7\"" x 8.3\"""", ""Age Range:"": ""12 years and up"", ""Grade Range:"": ""Grade 7 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/06F3738EC9BA3271B29844FA38B0FDEAF294D9D3.jpeg
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1442408936"", ""ISBN13:"": ""9781442408937"", ""Release Date:"": ""April 2014"", ""Publisher:"": ""Simon & Schuster Books for Young Readers"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""1.0\"" x 5.4\"" x 8.1\"""", ""Age Range:"": ""13 to 17 years"", ""Grade Range:"": ""Grades 8 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/0F7F098A33AC8C1D9110523096A72566203D0A2A.jpeg
While It Lasts,Abbi Glines,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1442488662"", ""ISBN13:"": ""9781442488663"", ""Release Date:"": ""August 2013"", ""Publisher:"": ""Simon & Schuster Books for Young Readers"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.64 lbs."", ""Dimensions:"": ""0.9\"" x 5.4\"" x 8.2\"""", ""Age Range:"": ""15 to 17 years"", ""Grade Range:"": ""Grades 10 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/BA1C0382181E5CBA2EBB8EBF23EECE3D7C2873AC.jpeg
Boundless,Cynthia Hand,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0061996203"", ""ISBN13:"": ""9780061996207"", ""Release Date:"": ""January 2013"", ""Publisher:"": ""Harperteen"", ""Length:"": ""448 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""1.5\"" x 5.8\"" x 8.5\"""", ""Age Range:"": ""13 years and up"", ""Grade Range:"": ""Grade 8 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/69EBBC2529DA8116EC50F47258F2112260B8F187.jpeg
Only in Your Dreams,Cecily von Ziegesar,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316011827"", ""Release Date:"": ""May 2006"", ""Publisher:"": ""Poppy"", ""Length:"": ""232 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""8.0\"" x 0.6\"" x 5.2\""""}",https://m.media-amazon.com/images/I/51i5HBq55CL._SL350_.jpg
