Book Name,Authors,Info,Image URL
Running with Scissors: A Memior,Augusten Burroughs,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312938853"", ""ISBN13:"": ""9780312707125"", ""Release Date:"": ""January 2002"", ""Publisher:"": ""St. Martin's Press"", ""Weight:"": ""0.40 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/7925C20FBE6AE4E50EA7122F4E3B3EA3F59AB532.jpeg
Fun Home: A Family Tragicomic,Alison Bechdel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0618871713"", ""Release Date:"": ""June 2007"", ""Publisher:"": ""Mariner Books Classics"", ""Length:"": ""232 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""9.0\"" x 0.7\"" x 6.0\""""}",https://m.media-amazon.com/images/I/51NUuPD8T+L._SL350_.jpg
My Own Country: A Doctor's Story,Abraham Verghese,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679752927"", ""ISBN13:"": ""9780679752929"", ""Release Date:"": ""April 1995"", ""Publisher:"": ""Vintage"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.86 lbs."", ""Dimensions:"": ""1.1\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/81E7D6998FC4106B8A0D052BC5077950640656A6.jpeg
Before Night Falls: A Memoir,Reinaldo Arenas,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0140157654"", ""ISBN13:"": ""9780140157659"", ""Release Date:"": ""October 1994"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.7\"" x 5.1\"" x 7.8\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/FD6400262DD959692084E580CAA3DCB811CB480D.jpeg
Founding Mothers: The Women Who Raised Our Nation,Cokie Roberts,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060090251"", ""ISBN13:"": ""9780060090258"", ""Release Date:"": ""April 2004"", ""Publisher:"": ""Harper"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.11 lbs."", ""Dimensions:"": ""1.2\"" x 6.6\"" x 9.0\"""", ""Age Range:"": ""6 to 10 years"", ""Grade Range:"": ""Grades 1 to 5""}",https://i.thriftbooks.com/api/imagehandler/m/6C659513F87F78286BDE143E4EFE3EB32C512F5A.jpeg
Why Be Happy When You Could Be Normal?,Jeanette Winterson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0802120105"", ""ISBN13:"": ""9780802120106"", ""Release Date:"": ""March 2012"", ""Publisher:"": ""Grove Press"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""1.0\"" x 5.5\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/8171762CAFDB2EEDF7C200C0DB70F1625B6FA987.jpeg
Bitch: In Praise of Difficult Women,Elizabeth Wurtzel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0385484011"", ""ISBN13:"": ""9780385484015"", ""Release Date:"": ""May 1999"", ""Publisher:"": ""Anchor Books"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.0\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/8F535E757B28690927B71EBB054A7DF4F05F88C6.jpeg
Out of a Far Country: A Gay Son's Journey to God. A Broken Mother's Search for Hope.,Christopher Yuan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307729354"", ""Release Date:"": ""May 2011"", ""Publisher:"": ""WaterBrook"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.42 lbs."", ""Dimensions:"": ""8.0\"" x 0.5\"" x 5.1\""""}",https://m.media-amazon.com/images/I/41dfo+tKWML._SL350_.jpg
The Mayor of Castro Street: The Life & Times of Harvey Milk,Randy Shilts,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312560850"", ""ISBN13:"": ""9780312560850"", ""Release Date:"": ""October 2008"", ""Publisher:"": ""St. Martin's Griffin"", ""Length:"": ""418 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""1.2\"" x 5.5\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/5BDDDF642C6DD56C229C699B2DB366673B92C1AE.jpeg
Close to the Knives: A Memoir of Disintegration,David Wojnarowicz,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0679732276"", ""ISBN13:"": ""9780679732273"", ""Release Date:"": ""May 1991"", ""Publisher:"": ""Vintage"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.76 lbs."", ""Dimensions:"": ""0.8\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/9416B31EA8D2BA826D2DAFF27E35B500FCE3E104.jpeg
