Book Name,Authors,Info,Image URL
Biology,Michael L. Cain,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0805368442"", ""ISBN13:"": ""9780805368444"", ""Release Date:"": ""September 2008"", ""Publisher:"": ""Benjamin-Cummings Publishing Company"", ""Length:"": ""1267 Pages"", ""Weight:"": ""7.20 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/993534143BC3417D338B1EBFF5237CDBB17D3905.jpeg
Biology Miller and Levine Hardcover Student Edition 2004c,Joseph S. Levine,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""013036701X"", ""ISBN13:"": ""9780130367013"", ""Release Date:"": ""January 2004"", ""Publisher:"": ""Prentice Hall"", ""Length:"": ""1146 Pages"", ""Weight:"": ""5.85 lbs."", ""Dimensions:"": ""1.7\"" x 8.7\"" x 11.0\"""", ""Age Range:"": ""15 to 17 years"", ""Grade Range:"": ""Grades 10 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/21992060FCC34B6AB78288FA9E7035BEDFCA24A5.jpeg
Lehninger Principles of Biochemistry,Michael M. Cox,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""071677108X"", ""Release Date:"": ""February 2008"", ""Publisher:"": ""W. H. Freeman"", ""Length:"": ""1100 Pages"", ""Weight:"": ""6.20 lbs."", ""Dimensions:"": ""11.0\"" x 1.8\"" x 8.8\""""}",https://m.media-amazon.com/images/I/31nU78GBiCL._SL350_.jpg
Incognito: The Secret Lives of the Brain,David Eagleman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0307389928"", ""ISBN13:"": ""9780307389923"", ""Release Date:"": ""May 2012"", ""Publisher:"": ""Vintage"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.7\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/B093A32525B574573D2DEA89257175DD44B84C86.jpeg
Bonk: The Curious Coupling of Science and Sex,Mary Roach,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393334791"", ""ISBN13:"": ""9780393334791"", ""Release Date:"": ""April 2009"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.9\"" x 5.4\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/D865FEAD02D6F5E3F7C588B0C1A25C65C385AD07.jpeg
The Selfish Gene: 30th Anniversary Edition--with a new Introduction by the Author,Richard Dawkins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0199291152"", ""Release Date:"": ""May 2006"", ""Publisher:"": ""Oxford University Press"", ""Length:"": ""360 Pages"", ""Weight:"": ""0.73 lbs."", ""Dimensions:"": ""7.8\"" x 5.0\"" x 1.0\""""}",https://m.media-amazon.com/images/I/41pfxzj5kmL._SL350_.jpg
"The Ghost Map: The Story of London's Most Terrifying Epidemic--And How It Changed Science, Cities, and the Modern World",Steven Johnson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1594482691"", ""ISBN13:"": ""9781594482694"", ""Release Date:"": ""October 2007"", ""Publisher:"": ""Riverhead Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.68 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.2\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/CD0CA42A05C7C7F1FD832A4372D808B3E2D55FB7.jpeg
Moonwalking with Einstein: The Art and Science of Remembering Everything,Joshua Foer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0143120530"", ""ISBN13:"": ""9780143120537"", ""Release Date:"": ""February 2012"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.76 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.3\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/E8341A90E0312441655F96E3B6902F381ACDC09A.jpeg
Gathering Moss: A Natural and Cultural History of Mosses,Robin Wall Kimmerer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0870714996"", ""ISBN13:"": ""9780870714993"", ""Release Date:"": ""March 2003"", ""Publisher:"": ""Oregon State University Press"", ""Length:"": ""168 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.5\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/E5A78E0AC35FD594A2EB209A9385D2BCE4F69915.jpeg
Microbiology: An Introduction,Gerard J. Tortora,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0805347917"", ""ISBN13:"": ""9780536292117"", ""Release Date:"": ""February 2006"", ""Publisher:"": ""Benjamin Cummings"", ""Length:"": ""912 Pages"", ""Weight:"": ""5.05 lbs."", ""Dimensions:"": ""11.0\"" x 1.4\"" x 8.7\""""}",https://m.media-amazon.com/images/I/51bPwkLoWaL._SL350_.jpg
Microcosmos: Four Billion Years of Microbial Evolution,Dorion Sagan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0520210646"", ""ISBN13:"": ""9780520210646"", ""Release Date:"": ""May 1997"", ""Publisher:"": ""University of California Press"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.7\"" x 5.6\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/3543D5D0EBED3BDC7BFF26523F1B9F1B4CB2E5CC.jpeg
Plant Physiology,Eduardo Zeiger,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""080530245X"", ""ISBN13:"": ""9780805302455"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""Benjamin-Cummings Publishing Company"", ""Length:"": ""559 Pages"", ""Weight:"": ""3.40 lbs."", ""Dimensions:"": ""1.2\"" x 8.9\"" x 11.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/CEFAE7EFD499F9E0D9C9504A7BC2FA5F0391B097.jpeg
Genetics: From Genes to Genomes,Leland H. Hartwell,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""007352526X"", ""ISBN13:"": ""9780073525266"", ""Release Date:"": ""September 2010"", ""Publisher:"": ""McGraw-Hill Science/Engineering/Math"", ""Length:"": ""730 Pages"", ""Weight:"": ""4.25 lbs."", ""Dimensions:"": ""1.2\"" x 8.6\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/F9A05D979F3515D14BD4572196FE05344E60EC75.jpeg
Life: The Science of Biology (Volume 1): Chapters 1-20,H. Craig Heller,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1464141223"", ""ISBN13:"": ""9781464141225"", ""Release Date:"": ""December 2012"", ""Publisher:"": ""W. H. Freeman"", ""Length:"": ""389 Pages"", ""Weight:"": ""3.00 lbs."", ""Dimensions:"": ""0.9\"" x 9.0\"" x 11.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/EFE42E9C6F706D74D8F800D47C7D29F28727948A.jpeg
Miller & Levine Biology,Kenneth R. Miller,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1323179526"", ""ISBN13:"": ""9781323179529"", ""Release Date:"": ""December 1753"", ""Publisher:"": ""Pearson"", ""Weight:"": ""5.10 lbs.""}",https://m.media-amazon.com/images/I/31N9THnhlFL._SL350_.jpg
At the Water's Edge: Macroevolution and the Transformation of Life,Carl Zimmer,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0684834901"", ""ISBN13:"": ""9780684834900"", ""Release Date:"": ""April 1998"", ""Publisher:"": ""Free Press"", ""Length:"": ""290 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""0.9\"" x 6.3\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/8E05F0C36D2FA4EB3A63DA4E7B7999BFED54C2FD.jpeg
How to Dissect,William Berman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671763423"", ""ISBN13:"": ""9780671763428"", ""Release Date:"": ""June 1985"", ""Publisher:"": ""Touchstone Books"", ""Length:"": ""223 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.6\"" x 6.0\"" x 9.1\"""", ""Age Range:"": ""14 to 17 years"", ""Grade Range:"": ""Grades 9 to 12""}",https://i.thriftbooks.com/api/imagehandler/m/40F6B87AD4B82B219C6151567EA18EF0C814DA2D.jpeg
Life: An Introduction to Biology,William S. Beck,"{"""": """"}",https://m.media-amazon.com/images/I/51c9bW7dONL._SL350_.jpg
Genetics: Analysis & Principles,Robert J. Brooker,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0073525286"", ""ISBN13:"": ""9780073525280"", ""Release Date:"": ""January 2011"", ""Publisher:"": ""McGraw-Hill Science/Engineering/Math"", ""Length:"": ""761 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""1.2\"" x 9.0\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/69F3F4D1FC94D094220A65465B10B842BA637361.jpeg
Biology: Study Workbook A,Joseph S. Levine,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""013368718X"", ""ISBN13:"": ""9780133687187"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Prentice Hall"", ""Length:"": ""560 Pages"", ""Weight:"": ""1.90 lbs."", ""Dimensions:"": ""1.0\"" x 8.3\"" x 10.8\"""", ""Age Range:"": ""14 to 15 years"", ""Grade Range:"": ""Grades 9 to 10""}",https://i.thriftbooks.com/api/imagehandler/m/0FB10534166C6EC0E040319721F88B7BB3400954.jpeg
The Immortal Life of Henrietta Lacks,Rebecca Skloot,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1400052181"", ""ISBN13:"": ""8601400205570"", ""Release Date:"": ""March 2011"", ""Publisher:"": ""Broadway Books"", ""Weight:"": ""1.00 lbs.""}",https://img.thriftbooks.com/api/images/m/a1140665f666229ae15fa5faada44abaf8bdb7f9.jpg
