Book Name,Authors,Info,Image URL
I Know Why the Caged Bird Sings,Maya Angelou,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553108425"", ""ISBN13:"": ""9780553108422"", ""Release Date:"": ""January 1971"", ""Publisher:"": ""Bantam Doubleday Dell"", ""Length:"": ""246 Pages"", ""Weight:"": ""0.36 lbs.""}",https://m.media-amazon.com/images/I/41q-wX15IOL._SL350_.jpg
The Immortal Life of Henrietta Lacks,Rebecca Skloot,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1400052181"", ""ISBN13:"": ""8601400205570"", ""Release Date:"": ""March 2011"", ""Publisher:"": ""Broadway Books"", ""Weight:"": ""1.00 lbs.""}",https://img.thriftbooks.com/api/images/m/a1140665f666229ae15fa5faada44abaf8bdb7f9.jpg
"Narrative of the Life of Frederick Douglass, an American Slave",Frederick Douglass,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1631063278"", ""ISBN13:"": ""9781631063275"", ""Release Date:"": ""March 2017"", ""Publisher:"": ""Race Point Publishing"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.6\"" x 5.9\"" x 7.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/B4DDD07C4DEE2C2F706ACEE11CE6549BAF28C418.jpeg
The Autobiography of Malcolm X: As Told to Alex Haley,Alex Haley,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0345350685"", ""Release Date:"": ""November 1992"", ""Publisher:"": ""Ballantine Books"", ""Length:"": ""460 Pages"", ""Weight:"": ""0.64 lbs."", ""Dimensions:"": ""6.9\"" x 1.1\"" x 4.2\""""}",https://m.media-amazon.com/images/I/41Xmnsh3aaL._SL350_.jpg
"The Color of Water, A Black Man's Tribute to His W",James McBride,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1573225789"", ""ISBN13:"": ""9781573225786"", ""Release Date:"": ""February 1997"", ""Publisher:"": ""Penguin Publishing Group"", ""Length:"": ""320 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.7\"" x 5.0\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/C3328968BACA0ECC071FAE096ED314B421DC227E.jpeg
Up from Slavery,Booker T. Washington,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0486287386"", ""ISBN13:"": ""9780486287386"", ""Release Date:"": ""October 1995"", ""Publisher:"": ""Dover Publications"", ""Length:"": ""176 Pages"", ""Weight:"": ""0.97 lbs."", ""Dimensions:"": ""0.4\"" x 5.5\"" x 8.3\"""", ""Age Range:"": ""11 years and up"", ""Grade Range:"": ""Grade 6 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/82FDBE3F6E030055F440D8CC0FBFFECC20E68CC1.jpeg
Dreams from My Father: A Story of Race and Inheritance,Barack Obama,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1400082773"", ""Release Date:"": ""August 2004"", ""Publisher:"": ""Crown"", ""Length:"": ""464 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""8.0\"" x 0.9\"" x 5.2\""""}",https://m.media-amazon.com/images/I/41KeO5a8mlL._SL350_.jpg
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307237699"", ""ISBN13:"": ""9780307237699"", ""Release Date:"": ""October 2006"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.21 lbs."", ""Dimensions:"": ""1.4\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/EA0BD70BA1E8BA9DD6B6152F6E3F9F7960CC21AD.jpeg
"The Other Wes Moore: One Name, Two Fates",Wes Moore,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0385528191"", ""ISBN13:"": ""9780385528191"", ""Release Date:"": ""April 2010"", ""Publisher:"": ""One World"", ""Length:"": ""256 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""1.1\"" x 6.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/51210D82A94A200634C1F78CA6B368356C780CD4.jpeg
The Heart of a Woman,Maya Angelou,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0553380095"", ""ISBN13:"": ""9780553380095"", ""Release Date:"": ""June 1997"", ""Publisher:"": ""Bantam Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""0.9\"" x 5.7\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/654A84F37B94429ED29C7B1820BE0E997B74D559.jpeg
