Book Name,Authors,Info,Image URL
Yacht Style: Design and Decor Ideas from the World's Finest Yachts,Daniel Spurr,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0877422613"", ""ISBN13:"": ""9780877422617"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""International Marine Publishing"", ""Length:"": ""336 Pages"", ""Weight:"": ""3.10 lbs."", ""Dimensions:"": ""0.9\"" x 8.9\"" x 11.3\""""}",https://m.media-amazon.com/images/I/41YUkwens+L._SL350_.jpg
Do-It-Yourself Boat Repairs,Jim Murrant,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0207177813"", ""ISBN13:"": ""9780207177811"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""HarperCollins Publishers"", ""Length:"": ""192 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.6\"" x 7.3\"" x 10.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/9655B58863F929B74F56349837677B672ECB65DE.jpeg
"The Complete Idiot's Guide to Boating and Sailing, 3rd Edition",Frank Sargeant,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1592573231"", ""ISBN13:"": ""9781592573233"", ""Release Date:"": ""April 2005"", ""Publisher:"": ""Alpha Books"", ""Length:"": ""384 Pages"", ""Weight:"": ""1.41 lbs."", ""Dimensions:"": ""0.8\"" x 7.3\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/FD794B0062428FA0A4ECE1FEAE3CBE405FCDEE44.jpeg
"Chapman Piloting, Seamanship and Small Boat Handling",Elbert S. Maloney,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0688072461"", ""ISBN13:"": ""9780688072469"", ""Release Date:"": ""October 1987"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""652 Pages"", ""Weight:"": ""3.83 lbs.""}",https://m.media-amazon.com/images/I/51mLPpCFtJL._SL350_.jpg
The Sharpie Book,Reuel B. Parker,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0877423040"", ""ISBN13:"": ""9780877423041"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""International Marine Publishing"", ""Length:"": ""179 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.5\"" x 7.4\"" x 9.3\""""}",https://m.media-amazon.com/images/I/51nXjOEX93L._SL350_.jpg
"How to Rename Your Boat: And 19 Other Useful Ceremonies, Superstitions, Prayers, Rituals, and Curses",John Vigor,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0939837625"", ""ISBN13:"": ""9780939837625"", ""Release Date:"": ""May 2004"", ""Publisher:"": ""Paradise Cay Publications"", ""Length:"": ""210 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.4\"" x 6.5\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/DC69E41800224D13CC41B916259DC4448C55E43C.jpeg
Know Your Boat,David Kroenke,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0071361340"", ""ISBN13:"": ""9780071361347"", ""Release Date:"": ""May 2002"", ""Publisher:"": ""International Marine Publishing"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.7\"" x 7.4\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/E792B623BE0FFB1E0D11D79B6AE026ADA1239877.jpeg
Boat Repair Gde-Hear,Ronald Carboni,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0688119328"", ""ISBN13:"": ""9780688119324"", ""Release Date:"": ""December 1993"", ""Publisher:"": ""Harper Perennial"", ""Length:"": ""187 Pages"", ""Weight:"": ""1.05 lbs."", ""Dimensions:"": ""0.7\"" x 8.7\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/E11E5774291AB30BB8D90481E351CE2ECEDD91DF.jpeg
The Practical Mariner's Book of Knowledge: 420 Sea-Tested Rules of Thumb for Almost Every Boating Situation,John Vigor,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0070674752"", ""ISBN13:"": ""9780070674752"", ""Release Date:"": ""February 1994"", ""Publisher:"": ""International Marine Publishing"", ""Length:"": ""258 Pages"", ""Weight:"": ""0.62 lbs."", ""Dimensions:"": ""0.7\"" x 4.7\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/62C61189BF18CF0890287BFA0217C65AF95045B4.jpeg
Wooden Boats: In Pursuit of the Perfect Craft at an American Boatyard,Michael Ruhlman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670888125"", ""ISBN13:"": ""9780670888122"", ""Release Date:"": ""May 2001"", ""Publisher:"": ""Viking Books"", ""Length:"": ""325 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""1.1\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/4424AFAFCF384E13A0176B78047926DA61D98841.jpeg
