Book Name,Authors,Info,Image URL
"The Big Book of Brain Games: 1,000 Playthinks of Art, Mathematics & Science",Ivan Moscovich,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/7ACD891F07D3CA4356003D3567767880B5BC0F8F.jpeg
My Best Mathematical and Logic Puzzles,Martin Gardner,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0486281523"", ""ISBN13:"": ""9780486281520"", ""Release Date:"": ""February 2016"", ""Publisher:"": ""Dover Publications"", ""Length:"": ""96 Pages"", ""Weight:"": ""0.26 lbs."", ""Dimensions:"": ""0.3\"" x 5.4\"" x 8.5\"""", ""Age Range:"": ""9 to 12 years"", ""Grade Range:"": ""Grades 4 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/BFE4A3C6401CD8CBCF9FDC4EE89081C6A77EC423.jpeg
The Ultimate Book of Optical Illusions,Al Seckel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1402734042"", ""Release Date:"": ""September 2006"", ""Publisher:"": ""Union Square & Co."", ""Length:"": ""368 Pages"", ""Weight:"": ""2.24 lbs."", ""Dimensions:"": ""8.0\"" x 1.0\"" x 8.0\""""}",https://m.media-amazon.com/images/I/51LU8fDkP5S._SL350_.jpg
USA Today Crossword: 200 Puzzles from the Nation's No. 1 Newspaper,USA Today,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0740770322"", ""ISBN13:"": ""9780740770326"", ""Release Date:"": ""May 2007"", ""Publisher:"": ""Andrews McMeel Publishing"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.73 lbs."", ""Dimensions:"": ""1.3\"" x 5.0\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/A5B27C74FF41B2AEE88D405AF55483EB7737D323.jpeg
Thinkertoys: A Handbook of Creative-Thinking Techniques (2nd Edition),Michael Michalko,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1580087736"", ""Release Date:"": ""June 2006"", ""Publisher:"": ""Ten Speed Press"", ""Length:"": ""416 Pages"", ""Weight:"": ""1.65 lbs."", ""Dimensions:"": ""9.1\"" x 1.0\"" x 7.3\""""}",https://m.media-amazon.com/images/I/41ZvLnZIg-L._SL350_.jpg
One-Minute Mysteries and Brain Teasers,Sandy Silverthorne,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0736919422"", ""ISBN13:"": ""9780736919425"", ""Release Date:"": ""September 2007"", ""Publisher:"": ""Harvest House Publishers"", ""Length:"": ""173 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""0.4\"" x 5.3\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/358EA90C36B99B81D9D11E150C924F90C9CD9394.jpeg
Puzzle Baron's Logic Puzzles: Hours of Brain-Challenging Fun!,Puzzle Baron,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1615640320"", ""ISBN13:"": ""9781615640324"", ""Release Date:"": ""August 2010"", ""Publisher:"": ""DK Publishing (Dorling Kindersley)"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.5\"" x 6.0\"" x 8.9\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/82A1B218A5742A72B03B4A81F80344B0AE9DA438.jpeg
The Original Sudoku,Nikoli Publishing,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0761142150"", ""ISBN13:"": ""9780761142157"", ""Release Date:"": ""October 2005"", ""Publisher:"": ""Workman Publishing"", ""Length:"": ""405 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""1.0\"" x 4.0\"" x 6.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/81BCB37FBCEC3AE047AEDDDB4A746272529FC245.jpeg
"The Total Brain Workout: 450 Puzzles to Sharpen Your Mind, Improve Your Memory & Keep Your Brain Fit",Marcel Danesi,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1335286004"", ""ISBN13:"": ""9781335286000"", ""Release Date:"": ""May 2020"", ""Publisher:"": ""Hanover Square Press"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.7\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/783D7D82226981067D1E947FBC44EC9B688E6441.jpeg
What Is the Name of This Book?,Raymond M. Smullyan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0671628321"", ""ISBN13:"": ""9780671628321"", ""Release Date:"": ""October 1986"", ""Publisher:"": ""Touchstone Books"", ""Length:"": ""241 Pages"", ""Weight:"": ""0.74 lbs."", ""Dimensions:"": ""0.7\"" x 5.4\"" x 8.3\""""}",https://m.media-amazon.com/images/I/51Dwx5dCx+L._SL350_.jpg
Doctor Ecco's Cyberpuzzles: 36 Puzzles for Hackers and Other Mathematical Detectives,Dennis E. Shasha,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0393325415"", ""ISBN13:"": ""9780393325416"", ""Release Date:"": ""February 2004"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""250 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.7\"" x 5.5\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/E5E686CF7C072952EF1263E8064E90B8C21BC4DD.jpeg
Do You Think What You Think You Think?: The Ultimate Philosophical Handbook,Julian Baggini,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0452288657"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""Plume"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.42 lbs."", ""Dimensions:"": ""8.0\"" x 0.4\"" x 5.2\""""}",https://m.media-amazon.com/images/I/41Tvlc70ccL._SL350_.jpg
Amazing Mazes 2,Rolf Heimann,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""081673674X"", ""ISBN13:"": ""9780816736744"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""Troll Communications"", ""Length:"": ""32 Pages"", ""Weight:"": ""0.25 lbs."", ""Dimensions:"": ""0.1\"" x 10.0\"" x 8.3\"""", ""Age Range:"": ""9 to 12 years"", ""Grade Range:"": ""Grades 4 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/6B8E5FB9AD93361B22F00AEE7C42F7080B7203E9.jpeg
