Book Name,Authors,Info,Image URL
Technical Drawing,Alva Mitchell,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0023426101"", ""ISBN13:"": ""9780023426100"", ""Release Date:"": ""January 1980"", ""Publisher:"": ""MacMillan"", ""Length:"": ""868 Pages"", ""Weight:"": ""4.05 lbs.""}",https://m.media-amazon.com/images/I/51XvlFVpc7L._SL350_.jpg
Solidworks for Dummies [With Solidworks Office Premium Interactive Tour Demo CD],Greg Jankowski,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/1EE7F854298DB3E34115685E0C3B7DCBFE9B6DDA.jpeg
Engineering Graphics,Frederick E. Giesecke,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0023428503"", ""ISBN13:"": ""9780023428500"", ""Release Date:"": ""January 1993"", ""Publisher:"": ""MacMillan Publishing Company"", ""Length:"": ""1 Pages"", ""Weight:"": ""4.50 lbs.""}",https://m.media-amazon.com/images/I/51+a3tMDghL._SL350_.jpg
Google Sketchup for Dummies,Aidan Chopra,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0470137444"", ""ISBN13:"": ""9780470137444"", ""Release Date:"": ""July 2007"", ""Publisher:"": ""For Dummies"", ""Length:"": ""414 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""1.0\"" x 7.2\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/5CF88A70CE2C7075860F49A31007A149E92BB9D6.jpeg
AutoCAD for Dummies,Bud E. Smith,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1568841914"", ""ISBN13:"": ""9781568841915"", ""Release Date:"": ""January 1995"", ""Publisher:"": ""For Dummies"", ""Length:"": ""356 Pages"", ""Weight:"": ""1.65 lbs."", ""Dimensions:"": ""1.0\"" x 7.4\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/15E68532458E4A34D74DF45CAD55EE6D017D8080.jpeg
"Mechanical Drawing Board & CAD Techniques, Student Edition",Thomas Ewing French,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0078251001"", ""ISBN13:"": ""9780078251009"", ""Release Date:"": ""February 2002"", ""Publisher:"": ""McGraw-Hill Education"", ""Length:"": ""864 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""1.4\"" x 8.7\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/EBB915B73B5E7ECF243A6AE627009FD078FF0E7E.jpeg
Digital Drawing for Designers: A Visual Guide to AutoCAD 2012,Douglas R. Seidler,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1609014111"", ""ISBN13:"": ""9781609014117"", ""Release Date:"": ""February 2012"", ""Publisher:"": ""Bloomsbury Publishing PLC"", ""Length:"": ""240 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""0.6\"" x 8.6\"" x 11.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/5C4DDE30793AE10F5697785B04996283C5F0588C.jpeg
CNC Programming Handbook [With CDROM],Peter Smid,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0831133473"", ""ISBN13:"": ""9780831133474"", ""Release Date:"": ""November 2007"", ""Publisher:"": ""Industrial Press"", ""Length:"": ""600 Pages"", ""Weight:"": ""2.85 lbs."", ""Dimensions:"": ""1.3\"" x 7.9\"" x 10.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/47E0906013779D7CF1F1C6240FA99CB10E2BA3C2.jpeg
"Automotive Excellence, Volume 1",McGraw-Hill Education,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0078600154"", ""ISBN13:"": ""9780078600159"", ""Release Date:"": ""January 2004"", ""Publisher:"": ""McGraw-Hill Companies"", ""Length:"": ""616 Pages"", ""Weight:"": ""3.50 lbs."", ""Dimensions:"": ""1.1\"" x 8.7\"" x 11.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/94607600E01EB6A7B16347401D817EC14C04C613.jpeg
AutoCAD 2002: No Experience Required,David Frey,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0782140165"", ""ISBN13:"": ""9780782140163"", ""Release Date:"": ""August 2001"", ""Publisher:"": ""Sybex"", ""Length:"": ""668 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""1.6\"" x 7.6\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/E03C8DA4C576AA7E62D9F45B4B8C2519279E58DA.jpeg
AutoCAD for Beginners,Rusty Gesner,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""156205015X"", ""ISBN13:"": ""9781562050153"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""New Riders Publishing"", ""Length:"": ""540 Pages"", ""Weight:"": ""2.12 lbs."", ""Dimensions:"": ""1.2\"" x 7.4\"" x 9.1\""""}",https://image-plz.thriftbooks.com/m/CC803EBFE9634823A2CB43CD698264D7.png
AutoCAD 2002 Complete,Sybex,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/2B10C7845AC33FB33526094802ED9298FBBDA30E.jpeg
Visualizing with CAD: An Auto CAD Exploration of Geometric and Architectural Forms,Daniela Bertol,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0387942750"", ""ISBN13:"": ""9780387942759"", ""Release Date:"": ""August 1994"", ""Publisher:"": ""Springer"", ""Length:"": ""359 Pages"", ""Weight:"": ""1.72 lbs."", ""Dimensions:"": ""0.8\"" x 8.0\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/44D342E15694112A2BA2C0E306AFCBE44A4ADB71.jpeg
