Book Name,Authors,Info,Image URL
Learn Calligraphy: The Complete Book of Lettering and Design,Margaret Shepherd,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""B00A2P8D4I"", ""ISBN13:"": ""9780767907323"", ""Release Date:"": ""February 2001"", ""Publisher:"": ""Watson-Guptill"", ""Length:"": ""168 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""0.5\"" x 8.4\"" x 10.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/A81EFFAF13164465AC922AF8F6CE59310D72293B.jpeg
The Book of Kells: An Illustrated Introduction to the Manuscript in Trinity College Dublin,Bernard Meehan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0500480249"", ""ISBN13:"": ""9780500480243"", ""Release Date:"": ""March 2020"", ""Publisher:"": ""Thames & Hudson"", ""Length:"": ""96 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.4\"" x 7.4\"" x 9.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/621766B5A72D044D2061D3DC3816502F0CEE26F2.jpeg
Calligraphy School,Anna Ravenscroft,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0895775247"", ""ISBN13:"": ""9780895775245"", ""Release Date:"": ""May 1994"", ""Publisher:"": ""Reader's Digest Association"", ""Length:"": ""176 Pages"", ""Weight:"": ""1.13 lbs."", ""Dimensions:"": ""0.8\"" x 7.9\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/787AC2E6ED76BB02656AC53E265520F4FBEDA1E4.jpeg
Lettering and Alphabets: 85 Complete Alphabets,J. Albert Cavanagh,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0486200531"", ""ISBN13:"": ""9780486200538"", ""Release Date:"": ""June 1955"", ""Publisher:"": ""Dover Publications"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.3\"" x 7.9\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/70412D86499CEC44CA12EFEC24312B96B4CF98C2.jpeg
The Calligrapher's Bible: 100 Complete Alphabets and How to Draw Them,David Harris,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0764156152"", ""ISBN13:"": ""9780764156151"", ""Release Date:"": ""September 2003"", ""Publisher:"": ""Sourcebooks"", ""Length:"": ""256 Pages"", ""Weight:"": ""1.52 lbs."", ""Dimensions:"": ""1.1\"" x 6.5\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/63FA0DA68D0312C8E0CC50067E0FA9E1D492490D.jpeg
Celtic Art: The Methods of Construction,George Bain,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/8C1D4130856CDE544EE36052B0B6BFBC847F13C4.jpeg
The Art of Creative Lettering,Becky Higgins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""192918011X"", ""ISBN13:"": ""9781929180110"", ""Release Date:"": ""September 1999"", ""Publisher:"": ""Porch Swing Publishing"", ""Length:"": ""128 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.3\"" x 8.5\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/9060945470C24207E4EE4EEFE7C33ED60CAFB845.jpeg
The Book of Hours,T. Davis Bunn,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0785270884"", ""ISBN13:"": ""9780785270881"", ""Release Date:"": ""March 2000"", ""Publisher:"": ""Thomas Nelson"", ""Length:"": ""324 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.9\"" x 5.2\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/CBB0BA71C7D8F312886B7954FC8076955C35F0BD.jpeg
THE ENCYCLOPEDIA OF CALLIGRAPHY TECHNIQUES,Diana Hardy Wilson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0747201609"", ""ISBN13:"": ""9780747201601"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""Guild Publishing"", ""Length:"": ""192 Pages"", ""Weight:"": ""1.85 lbs.""}",https://m.media-amazon.com/images/I/512NPSMC33L._SL350_.jpg
Calligraphy Alphabets Made Easy,Margaret Shepherd,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0399512578"", ""ISBN13:"": ""9780399512575"", ""Release Date:"": ""July 1986"", ""Publisher:"": ""Penguin Publishing Group"", ""Length:"": ""111 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.3\"" x 8.6\"" x 11.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/85A29D747807FB05BB8096EA5397B0E1DC754EF4.jpeg
