Book Name,Authors,Info,Image URL
"The Backpacker's Field Manual, Revised and Updated: A Comprehensive Guide to Mastering Backcountry Skills",Rick Curtis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1400053099"", ""ISBN13:"": ""9781400053094"", ""Release Date:"": ""May 2005"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""448 Pages"", ""Weight:"": ""1.09 lbs."", ""Dimensions:"": ""0.9\"" x 5.1\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/417885E0A653E6CCFEE8FEC95F328505ACC745DD.jpeg
"SAS Survival Handbook, Revised Edition: For Any Climate, in Any Situation",John Wiseman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0061733199"", ""Release Date:"": ""March 2009"", ""Publisher:"": ""William Morrow Paperbacks"", ""Length:"": ""676 Pages"", ""Weight:"": ""2.05 lbs."", ""Dimensions:"": ""8.3\"" x 1.4\"" x 5.3\""""}",https://m.media-amazon.com/images/I/51ZJnQonH8L._SL350_.jpg
Roughing It Easy,Dian Thomas,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0962125733"", ""ISBN13:"": ""9780962125737"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""Dian Thomas Co."", ""Length:"": ""240 Pages"", ""Weight:"": ""1.02 lbs."", ""Dimensions:"": ""0.7\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/4DCFFB4756346D6B7D063D83C81D350985EBE403.jpeg
Camping & Wilderness Survival,Paul Tawrell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1896713009"", ""ISBN13:"": ""9781896713007"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""Falcon Distribution"", ""Length:"": ""350 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""1.2\"" x 8.5\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/E480FF01A3BF5428F5067392DED28E021F7DD59C.jpeg
"How to Stay Alive in the Woods: A Complete Guide to Food, Shelter, and Self-Preservation That Makes Starvation in the Wilderness Next to Impossible",Bradford Angier,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0684831015"", ""ISBN13:"": ""9780684831015"", ""Release Date:"": ""March 1998"", ""Publisher:"": ""Touchstone Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.36 lbs."", ""Dimensions:"": ""0.7\"" x 5.0\"" x 7.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/7F4709C4B5EB6A05D37D4628E90F49D2178EFA67.jpeg
The Kids Campfire Book,Ann Love,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1550745395"", ""ISBN13:"": ""9781550745399"", ""Release Date:"": ""June 1996"", ""Publisher:"": ""Kids Can Press"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.5\"" x 8.5\"" x 9.5\"""", ""Age Range:"": ""6 to 10 years"", ""Grade Range:"": ""Grades 1 to 5""}",https://i.thriftbooks.com/api/imagehandler/m/8F3BAA4CEC991B5C75DBF0D7C58214B6D5D6A742.jpeg
"The Boys' Book of Survival: How to Survive Anything, Anywhere",Guy Campbell,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0545085365"", ""ISBN13:"": ""9780545085366"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Scholastic"", ""Length:"": ""125 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.6\"" x 5.3\"" x 7.9\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/6B6B1167BED8EC76989375A89DE8724E7BEC2035.jpeg
Edible Wild Plants and Useful Herbs,Jim Meuninck,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0934802416"", ""ISBN13:"": ""9780934802413"", ""Release Date:"": ""January 1988"", ""Publisher:"": ""ICS Books"", ""Length:"": ""66 Pages"", ""Weight:"": ""0.23 lbs."", ""Dimensions:"": ""0.2\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/C84C573A846B3D522ADF51070ABEB248BC9EB787.jpeg
Bushcraft: A Serious Guide to Survival and Camping,Richard H. Graves,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0805203338"", ""Release Date:"": ""January 1987"", ""Publisher:"": ""Schocken"", ""Length:"": ""354 Pages"", ""Weight:"": ""0.65 lbs.""}",https://m.media-amazon.com/images/I/41c8-jD+NrL._SL350_.jpg
The Outdoor Dutch Oven Cookbook,Sheila Mills,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0070430233"", ""ISBN13:"": ""9780070430235"", ""Release Date:"": ""May 1997"", ""Publisher:"": ""International Marine Publishing"", ""Length:"": ""170 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""0.6\"" x 7.0\"" x 7.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/24AF5AAB129CAAE3057A511089476F1684C6136E.jpeg
