Book Name,Authors,Info,Image URL
The Truth about Stories: A Native Narrative,Thomas King,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0816646260"", ""ISBN13:"": ""9780816646265"", ""Release Date:"": ""March 2005"", ""Publisher:"": ""University of Minnesota Press"", ""Length:"": ""172 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.7\"" x 5.0\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/4CF8E3875E3B8BA26D0BF5AA6B26FF3C53A3A27C.jpeg
People of the Deer,Farley Mowat,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0770422543"", ""ISBN13:"": ""9780770422547"", ""Release Date:"": ""June 1984"", ""Publisher:"": ""Bantam Books"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.9\"" x 4.3\"" x 6.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/07C0229344C3404F3B1E4C13722B472C17F1B5F7.jpeg
Good Time Girls: Of the Alaska-Yukon Gold Rush,Lael Morgan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1551109948"", ""ISBN13:"": ""9781551109947"", ""Release Date:"": ""January 1999"", ""Publisher:"": ""Whitecap Books"", ""Length:"": ""351 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""0.8\"" x 6.3\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/A94F616CE9ECE7D87FCD627DF53A91A03A0D0B47.jpeg
Concubine's Children,Denise Chong,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670829617"", ""ISBN13:"": ""9780670829613"", ""Release Date:"": ""January 1995"", ""Publisher:"": ""Viking Books"", ""Length:"": ""266 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""1.0\"" x 6.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/7F59FEB0705579EE0656185A27144D10D58FC370.jpeg
Red China Blues: My Long March from Mao to Now,Jan Wong,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0385482329"", ""ISBN13:"": ""9780385482325"", ""Release Date:"": ""May 1997"", ""Publisher:"": ""Anchor Books"", ""Length:"": ""416 Pages"", ""Weight:"": ""0.86 lbs."", ""Dimensions:"": ""1.1\"" x 5.6\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/2AC4321860A8B6C691769AB17F5C8BE8B1074087.jpeg
Half-Breed,Maria Campbell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0887801161"", ""ISBN13:"": ""9780887801167"", ""Release Date:"": ""January 1983"", ""Publisher:"": ""Goodread Biographies"", ""Length:"": ""184 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.3\"" x 4.3\"" x 7.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/0299EFDE0DD9D2C1F6F88EAF1F5F8A12ED0A77B8.jpeg
Get a Life!,William Shatner,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0671021311"", ""ISBN13:"": ""9780671021313"", ""Release Date:"": ""May 1999"", ""Publisher:"": ""Atria Books"", ""Length:"": ""321 Pages"", ""Weight:"": ""1.40 lbs."", ""Dimensions:"": ""1.4\"" x 6.5\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/7C63F17507307981AE8E03155A5A189A81E83BDE.jpeg
The Sixth Family: The Collapse of the New York Mafia and the Rise of Vito Rizzuto,Lee Lamothe,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0470154454"", ""ISBN13:"": ""9780470154458"", ""Release Date:"": ""February 2008"", ""Publisher:"": ""John Wiley & Sons"", ""Length:"": ""465 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""1.2\"" x 5.6\"" x 8.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/5C5F50BDF0A2CD9111ADF1F550BF3D2594474625.jpeg
The Uncrowned King: The Sensational Rise of William Randolph Hearst,Kenneth Whyte,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1582434670"", ""ISBN13:"": ""9781582434674"", ""Release Date:"": ""January 2009"", ""Publisher:"": ""Counterpoint LLC"", ""Length:"": ""546 Pages"", ""Weight:"": ""2.00 lbs."", ""Dimensions:"": ""1.8\"" x 6.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/63FF5A7C7CD21AD2F81EB62A1615B5E6DFC40CC9.jpeg
Confessions of an Igloo Dweller: Memories of the Old Arctic,James Houston,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0395788900"", ""ISBN13:"": ""9780395788905"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.42 lbs."", ""Dimensions:"": ""1.2\"" x 6.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/D5BC95B6C2E708589921EE2450B6A2F2E5E9A74B.jpeg
Family Secrets: Crossing the Colour Line,Catherine Slaney,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/9919BB95CF2CF1DB2074E166A6D151A2DD83F477.jpeg
No Burden to Carry,Dionne Brand,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/B150086C3BF483A2C6567158C346E3346C444E4D.jpeg
