Book Name,Authors,Info,Image URL
Blind Man's Bluff: The Untold Story of American Submarine Espionage,Christopher Drew,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1891620088"", ""ISBN13:"": ""9781891620089"", ""Release Date:"": ""October 1998"", ""Publisher:"": ""PublicAffairs"", ""Length:"": ""352 Pages"", ""Weight:"": ""1.62 lbs."", ""Dimensions:"": ""1.3\"" x 6.4\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/8FD153982CCC5ECE606CC651F3940F17C7B741F1.jpeg
"The Day the World Came to Town: 9/11 in Gander, Newfoundland",Jim DeFede,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060559713"", ""Release Date:"": ""August 2003"", ""Publisher:"": ""Regan Books"", ""Length:"": ""244 Pages"", ""Weight:"": ""0.46 lbs."", ""Dimensions:"": ""8.0\"" x 5.3\"" x 0.6\""""}",https://m.media-amazon.com/images/I/51hTV9-nu5L._SL350_.jpg
Cod: A Biography of the Fish that Changed the World,Mark Kurlansky,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0140275010"", ""Release Date:"": ""July 1998"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""294 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""7.1\"" x 0.5\"" x 5.1\""""}",https://m.media-amazon.com/images/I/51PI71RitSL._SL350_.jpg
Operation Mincemeat: How a Dead Man and a Bizarre Plan Fooled the Nazis and Assured an Allied Victory,Ben Macintyre,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307453278"", ""ISBN13:"": ""9780307453273"", ""Release Date:"": ""May 2010"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""400 Pages"", ""Weight:"": ""1.52 lbs."", ""Dimensions:"": ""1.4\"" x 6.3\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/58559F4807A463993A7032CBFFB66778303F923C.jpeg
Elijah of Buxton,Christopher Paul Curtis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""054511084X"", ""ISBN13:"": ""9780545110846"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Scholastic"", ""Length:"": ""346 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.8\"" x 5.4\"" x 7.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/DAF0694A3C891DFF43AE6BD22D8378F251F7CF59.jpeg
Calico Captive,Elizabeth George Speare,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0618150765"", ""Release Date:"": ""October 2001"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.84 lbs."", ""Dimensions:"": ""8.3\"" x 0.9\"" x 5.5\""""}",https://m.media-amazon.com/images/I/41JTi9K-PmL._SL350_.jpg
"Agent Zigzag: A True Story of Nazi Espionage, Love, and Betrayal",Ben Macintyre,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307353400"", ""ISBN13:"": ""9780307353405"", ""Release Date:"": ""September 2007"", ""Publisher:"": ""Harmony"", ""Length:"": ""364 Pages"", ""Weight:"": ""1.50 lbs."", ""Dimensions:"": ""1.3\"" x 6.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/F503C2D9A79162978C508DDFAF9332BA417B6AF5.jpeg
Washington's Spies: The Story of America's First Spy Ring,Alexander Rose,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""055339259X"", ""ISBN13:"": ""9780553392593"", ""Release Date:"": ""March 2014"", ""Publisher:"": ""Bantam"", ""Length:"": ""384 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.9\"" x 5.2\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/EE6111EA6134ABF131F9C6728A9724F5DFFB4D93.jpeg
Rogue Warrior,Richard Marcinko,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0671703900"", ""ISBN13:"": ""9780671703905"", ""Release Date:"": ""March 1992"", ""Publisher:"": ""Atria Books"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.30 lbs."", ""Dimensions:"": ""1.2\"" x 6.5\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/DA8CD6A0734DCB91D93C33533988F883DE9881A5.jpeg
A Pioneer Sampler: The Daily Life of a Pioneer Family in 1840,Barbara Greenwood,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0395883938"", ""Release Date:"": ""March 1998"", ""Publisher:"": ""Clarion Books"", ""Length:"": ""240 Pages"", ""Weight:"": ""1.60 lbs."", ""Dimensions:"": ""9.1\"" x 0.7\"" x 7.9\""""}",https://m.media-amazon.com/images/I/51nPRs2LuVL._SL350_.jpg
