Book Name,Authors,Info,Image URL
"The 4-Hour Work Week: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307353133"", ""ISBN13:"": ""9780307353139"", ""Release Date:"": ""April 2007"", ""Publisher:"": ""Crown Business"", ""Length:"": ""308 Pages"", ""Weight:"": ""0.92 lbs."", ""Dimensions:"": ""1.0\"" x 5.8\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/EFCFB5A7801D17712198A408D2A0A13A63184A31.jpeg
Getting Things Done: The Art of Stress-Free Productivity,David Allen,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0142000280"", ""ISBN13:"": ""9780142000281"", ""Release Date:"": ""December 2002"", ""Publisher:"": ""Penguin Group"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.56 lbs."", ""Dimensions:"": ""0.6\"" x 5.3\"" x 8.0\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/1BEE1BCC8177085D5F22B6F88EA081D4CEDCBAA0.jpeg
What Got You Here Won't Get You There: How Successful People Become Even More Successful,Marshall Goldsmith,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1401301304"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""Hachette Books"", ""Length:"": ""256 Pages"", ""Weight:"": ""1.09 lbs."", ""Dimensions:"": ""9.5\"" x 0.9\"" x 6.4\""""}",https://m.media-amazon.com/images/I/418gEBgBKPL._SL350_.jpg
Don't Sweat the Small Stuff . . . and It's All Small Stuff: Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0786881852"", ""Release Date:"": ""January 1997"", ""Publisher:"": ""Hachette Books"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""6.6\"" x 0.9\"" x 5.5\""""}",https://m.media-amazon.com/images/I/41a7lAKOpcL._SL350_.jpg
"How Successful People Think: Change Your Thinking, Change Your Life",John C. Maxwell,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1599951681"", ""ISBN13:"": ""9781599951683"", ""Release Date:"": ""June 2009"", ""Publisher:"": ""Center Street"", ""Length:"": ""160 Pages"", ""Weight:"": ""0.40 lbs."", ""Dimensions:"": ""0.6\"" x 4.8\"" x 6.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/F1C36F24DB49D8742B3E3EAA04BC100E0FE6A4C9.jpeg
Unlimited Power: The New Science of Personal Achievement,Anthony Robbins,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0684845776"", ""ISBN13:"": ""9780684845777"", ""Release Date:"": ""December 1997"", ""Publisher:"": ""Free Press"", ""Length:"": ""448 Pages"", ""Weight:"": ""1.13 lbs."", ""Dimensions:"": ""1.2\"" x 5.5\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/0C759084477C8555F49FBDAA3CB0A4DD2A9A0884.jpeg
What Every Body Is Saying: An Ex-FBI Agent's Guide to Speed-Reading People,Joe Navarro,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0061438294"", ""ISBN13:"": ""9780061438295"", ""Release Date:"": ""April 2008"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.73 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/CB1CFD1E67555CE2A7863F7FF14DA25BBE7F848C.jpeg
What Color Is Your Parachute? 2022: Your Guide to a Lifetime of Meaningful Work and Career Success,Richard Nelson Bolles,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1984860348"", ""ISBN13:"": ""9781984860347"", ""Release Date:"": ""December 2021"", ""Publisher:"": ""Ten Speed Press"", ""Length:"": ""352 Pages"", ""Weight:"": ""1.06 lbs."", ""Dimensions:"": ""1.2\"" x 5.9\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/217DFD6F1D4E008FFEC3636E6BB9C826F2C0ADC8.jpeg
How I Raised Myself from Failure to Success in Selling,Frank Bettger,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""067179437X"", ""Release Date:"": ""April 1992"", ""Publisher:"": ""Cornerstone Library"", ""Length:"": ""192 Pages"", ""Weight:"": ""0.54 lbs."", ""Dimensions:"": ""8.4\"" x 0.6\"" x 5.5\""""}",https://m.media-amazon.com/images/I/51ZcmTnSKqL._SL350_.jpg
"Never Eat Alone: And Other Secrets to Success, One Relationship at a Time",Keith Ferrazzi,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0385512058"", ""ISBN13:"": ""9780385512053"", ""Release Date:"": ""February 2005"", ""Publisher:"": ""Crown Business"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.36 lbs."", ""Dimensions:"": ""1.0\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/7A76267C1627431B13EAA0B0770D6FAA2ADCD5B2.jpeg
