Book Name,Authors,Info,Image URL
Webster's New World Dictionary and Thesaurus,Anonymous,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0028605748"", ""ISBN13:"": ""9780028605746"", ""Release Date:"": ""November 1995"", ""Publisher:"": ""Webster's New World"", ""Length:"": ""734 Pages"", ""Weight:"": ""2.70 lbs."", ""Dimensions:"": ""2.0\"" x 6.4\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/7A9483D668CAC2561FDBFC8D53F111EFBD5195D4.jpeg
"Masters of Deception - Escher, Dali & the Artists of Optical Illusion",Al Seckel,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1435129296"", ""ISBN13:"": ""9781435129290"", ""Release Date:"": ""January 2010"", ""Publisher:"": ""Fall River Press"", ""Length:"": ""320 Pages"", ""Weight:"": ""3.70 lbs.""}",https://m.media-amazon.com/images/I/51EtFaFvipL._SL350_.jpg
The Holistic Herbal Directory: A Directory of Herbal Remedies for Everyday Health Problems,Penelope Ody,"{""Format:"": ""Spiral-bound"", ""Language:"": ""English"", ""ISBN:"": ""0785813519"", ""ISBN13:"": ""9780785813514"", ""Release Date:"": ""January 2004"", ""Publisher:"": ""Chartwell Books"", ""Length:"": ""208 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""1.1\"" x 6.1\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/8D15A991FFCDD91D3C47BF803AB75075CACAF912.jpeg
"Georgia O'Keeffe, 1887-1986: Flowers in the desert",Britta Benke,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0760723265"", ""ISBN13:"": ""9780760723265"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""Barnes & Noble Books"", ""Length:"": ""95 Pages"", ""Weight:"": ""1.05 lbs.""}",https://image-plz.thriftbooks.com/m/AB9440D12FF74AC6BEF6F47ABF90DD9D.png
Frank Lloyd Wright: A Visual Encyclopeida,Iain Thomson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1571451870"", ""ISBN13:"": ""9781571451873"", ""Release Date:"": ""January 2000"", ""Publisher:"": ""Thunder Bay Press"", ""Length:"": ""416 Pages"", ""Weight:"": ""4.85 lbs."", ""Dimensions:"": ""1.2\"" x 9.2\"" x 12.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/B1B2F291D12745CEFB5E2891244E12215B5D4AA9.jpeg
A Bluestocking Guide: Economics,Jane A. Williams,"{"""": """"}",https://m.media-amazon.com/images/I/516BQ76S3AL._SL350_.jpg
"Pablo Picasso: A Retrospective- The Museum of Modern Art, New York",William Stanley Rubin,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0870705288"", ""ISBN13:"": ""9780870705281"", ""Release Date:"": ""January 1984"", ""Publisher:"": ""The Museum of Modern Art"", ""Length:"": ""464 Pages"", ""Weight:"": ""4.40 lbs.""}",https://m.media-amazon.com/images/I/51Av0lTVh5L._SL350_.jpg
Nagel: The Art of Patrick Nagel,Elena G. Millie,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0912383364"", ""ISBN13:"": ""9780912383361"", ""Release Date:"": ""January 1987"", ""Publisher:"": ""Alfred Van Der Marck Editions"", ""Length:"": ""159 Pages"", ""Weight:"": ""0.05 lbs.""}",https://m.media-amazon.com/images/I/615aY3FE80L._SL350_.jpg
Dictionary of Idioms and Their Origins,Linda Flavell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1856266648"", ""ISBN13:"": ""9781856266642"", ""Release Date:"": ""March 2006"", ""Publisher:"": ""Kyle Books - Canada Only"", ""Length:"": ""344 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""1.0\"" x 5.0\"" x 7.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/85901E8F0FBE20E8D652E72EB79828CBFA722B09.jpeg
"The Big Book of Books & Activities: An Illustrated Guide for Teacher, Parents, & Anyone Who Works with Kids!",Dinah Zike,"{"""": """"}",https://m.media-amazon.com/images/I/51JAkiwBgtL._SL350_.jpg
