Book Name,Authors,Info,Image URL
Comptia Network+ All-In-One Exam Guide (Exam N10-006),Mike Meyers,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0071848223"", ""ISBN13:"": ""9780071848220"", ""Release Date:"": ""January 2015"", ""Publisher:"": ""McGraw-Hill Education"", ""Length:"": ""872 Pages"", ""Weight:"": ""3.30 lbs."", ""Dimensions:"": ""2.0\"" x 7.6\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/CF855860D9B3FC753A9FB04130A4520EC99D29D5.jpeg
The Art of Deception: Controlling the Human Element of Security,Kevin D. Mitnick,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""076454280X"", ""Release Date:"": ""October 2003"", ""Publisher:"": ""Wiley"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""1.0\"" x 6.0\""""}",https://m.media-amazon.com/images/I/41oJfEKqVuL._SL350_.jpg
CompTIA A+ Certification Exam Guide [With CDROM],Michael Meyers,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0072263113"", ""ISBN13:"": ""9780072263114"", ""Release Date:"": ""December 2006"", ""Publisher:"": ""McGraw-Hill/Osborne Media"", ""Length:"": ""1171 Pages"", ""Weight:"": ""4.50 lbs."", ""Dimensions:"": ""2.4\"" x 7.7\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/B5FA7487E8CABA7BF90D7CFC3AB04295F99C3E97.jpeg
Computer Networks,Andrew S. Tanenbaum,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0133499456"", ""ISBN13:"": ""9780133499452"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""Prentice Hall PTR"", ""Length:"": ""813 Pages"", ""Weight:"": ""3.05 lbs."", ""Dimensions:"": ""1.4\"" x 7.2\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/9D148037EE29A7D64264EC659B562D4B8B731B1F.jpeg
CompTIA A+ Certification All-In-One for Dummies [With CDROM],Edward Tetz,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0470487380"", ""ISBN13:"": ""9780470487389"", ""Release Date:"": ""October 2009"", ""Publisher:"": ""For Dummies"", ""Length:"": ""1164 Pages"", ""Weight:"": ""3.45 lbs."", ""Dimensions:"": ""2.3\"" x 7.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/73A03D4988B99B62C4AB825AC15B9F38A8497118.jpeg
A+ Certification All-In-One Exam Guide,Michael Meyers,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/8FE6E3BDDD95B704F8918080F03FD240D868B3B8.jpeg
UNIX Network Programming,W. Richard Stevens,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0139498761"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""Prentice Hall"", ""Length:"": ""784 Pages"", ""Weight:"": ""2.87 lbs."", ""Dimensions:"": ""9.1\"" x 1.8\"" x 7.0\""""}",https://m.media-amazon.com/images/I/51w3pl-YA3L._SL350_.jpg
CISSP All-In-One Exam Guide [With CDROM],Shon Harris,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0071497870"", ""ISBN13:"": ""9780071497879"", ""Release Date:"": ""November 2007"", ""Publisher:"": ""McGraw-Hill/Osborne Media"", ""Length:"": ""1145 Pages"", ""Weight:"": ""5.20 lbs."", ""Dimensions:"": ""2.5\"" x 7.7\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/1B38C9FDF8AF14E4749454980D29F8A7083E9C6F.jpeg
Nclex-RN Exam Cram [With CDROM],Clara Hurd,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0789737051"", ""ISBN13:"": ""9780789737052"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Pearson It Certification"", ""Length:"": ""666 Pages"", ""Weight:"": ""2.40 lbs."", ""Dimensions:"": ""1.5\"" x 7.1\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/846227C814A63953E48FE093DF91ECA720CDC738.jpeg
Cissp (Isc)2 Certified Information Systems Security Professional Official Study Guide,Mike Chapple,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1119042712"", ""ISBN13:"": ""9781119042716"", ""Release Date:"": ""September 2015"", ""Publisher:"": ""Sybex"", ""Length:"": ""1080 Pages"", ""Weight:"": ""3.18 lbs."", ""Dimensions:"": ""2.2\"" x 7.4\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/B46F317198A6465204193DAA3D3D68CC28AD934E.jpeg
Emergent Computing Methods in Engineering Design: Applications of Genetic Algorithms and Neural Networks,P. Hajela,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""3642082394"", ""ISBN13:"": ""9783642082399"", ""Release Date:"": ""December 2010"", ""Publisher:"": ""Springer"", ""Length:"": ""356 Pages"", ""Weight:"": ""1.12 lbs."", ""Dimensions:"": ""0.8\"" x 6.1\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/02BABDC26F047B68146DF98D9CABB2ADCB2CF8CC.jpeg
Business Intelligence for the Enterprise,Mike Biere,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/47C530847545B89A4C7D8D65288000218945E1C2.jpeg
