Book Name,Authors,Info,Image URL
Beyond the Dragon Portal,Melissa Glenn Haber,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/379063540DE74ABFB635A02DE20F639220638A14.jpeg
The Babysitter's Handbook: The Care and Keeping of Kids,Harriet Brown,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1593692803"", ""ISBN13:"": ""9781593692803"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""American Girl Publishing Inc"", ""Length:"": ""63 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""0.2\"" x 5.6\"" x 9.5\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/4A0723CD766B8C21915229DF1C1304A35DEF32F2.jpeg
Abby and the Best Kid Ever,Ann M. Martin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0590059947"", ""ISBN13:"": ""9780590059947"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Scholastic"", ""Length:"": ""125 Pages"", ""Weight:"": ""0.28 lbs."", ""Dimensions:"": ""0.4\"" x 5.3\"" x 7.6\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/5DD8482DB7187E6CE8DD9213509BE0306AFA0267.jpeg
Claudia and the World's Cutest Baby,Ann M. Martin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0590228811"", ""ISBN13:"": ""9780590228817"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""Scholastic"", ""Length:"": ""10 Pages"", ""Weight:"": ""0.28 lbs."", ""Dimensions:"": ""0.4\"" x 5.2\"" x 7.6\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/F7C59CD371582541B93DA86B90A60099A00D3235.jpeg
Mary Anne's Makeover,Ann M. Martin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0590456628"", ""ISBN13:"": ""9780590456623"", ""Release Date:"": ""January 1993"", ""Publisher:"": ""Scholastic"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.4\"" x 5.3\"" x 7.6\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/E132D07AF4E9DB042D0D973FE7A9D79EEC9D9523.jpeg
Mary Anne Breaks the Rules (Babysitters Club),Ann M. Martin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0590139657"", ""ISBN13:"": ""9780590139656"", ""Release Date:"": ""January 1997"", ""Publisher:"": ""Scholastic Hippo"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.18 lbs."", ""Dimensions:"": ""7.0\"" x 0.4\"" x 4.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/B58C5685B7DA7B89994773B84E0F19D538D3D4B2.jpeg
Generic The Baby-Sitters Club Graphix#01: Kristy'S Great Idea,Raina Telgemeier,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""9390189195"", ""Release Date:"": ""January 2020"", ""Publisher:"": ""Generic"", ""Length:"": ""192 Pages"", ""Weight:"": ""2.31 lbs."", ""Dimensions:"": ""1.0\"" x 5.9\"" x 8.7\""""}",https://m.media-amazon.com/images/I/51mM7ecXD2L._SL350_.jpg
The Berenstain Bears and the Sitter,Stan Berenstain,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0394848373"", ""ISBN13:"": ""9780394848372"", ""Release Date:"": ""October 1981"", ""Publisher:"": ""Random House Books for Young Readers"", ""Length:"": ""32 Pages"", ""Weight:"": ""0.20 lbs."", ""Dimensions:"": ""0.1\"" x 7.9\"" x 7.8\"""", ""Age Range:"": ""3 to 7 years"", ""Grade Range:"": ""Preschool to Grade 2""}",https://i.thriftbooks.com/api/imagehandler/m/4170803FBC522ADFF3AA62E04AB383D1E8CD7CB1.jpeg
Babysitter's #31: Dawn's Wicked Stepsister,Ann M. Martin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0590424971"", ""ISBN13:"": ""9780590424974"", ""Release Date:"": ""January 1993"", ""Publisher:"": ""Scholastic"", ""Length:"": ""153 Pages"", ""Weight:"": ""0.60 lbs."", ""Dimensions:"": ""0.4\"" x 5.3\"" x 7.6\"""", ""Age Range:"": ""9 to 12 years"", ""Grade Range:"": ""Grades 4 to 7""}",https://i.thriftbooks.com/api/imagehandler/m/8D9CD4D190DF4F1A2A00223ACE57E4F4F0073F6D.jpeg
Stacey's Emergency,Ann M. Martin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0590742434"", ""ISBN13:"": ""9780590742436"", ""Release Date:"": ""December 1996"", ""Publisher:"": ""Scholastic"", ""Length:"": ""10 Pages"", ""Weight:"": ""0.30 lbs."", ""Dimensions:"": ""0.5\"" x 5.2\"" x 7.6\"""", ""Age Range:"": ""8 to 12 years"", ""Grade Range:"": ""Grades 3 to 7""}",https://m.media-amazon.com/images/I/5129712K9SL._SL350_.jpg
