Book Name,Authors,Info,Image URL
Ten Things Every Child with Autism Wishes You Knew: Updated and Expanded Edition,Ellen Notbohm,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1935274651"", ""ISBN13:"": ""9781935274650"", ""Release Date:"": ""October 2012"", ""Publisher:"": ""Future Horizons"", ""Length:"": ""200 Pages"", ""Weight:"": ""0.76 lbs."", ""Dimensions:"": ""0.6\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/B4C240C0293C7FB79B14C1AC2343A68B9ADA8586.jpeg
Look Me in the Eye: My Life with Asperger's,John Elder Robison,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0307395987"", ""ISBN13:"": ""9780307395986"", ""Release Date:"": ""September 2007"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""288 Pages"", ""Weight:"": ""1.09 lbs."", ""Dimensions:"": ""1.1\"" x 6.4\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/2A687B5E3EB4128045171D09B4D7164BD21284DE.jpeg
"The No-Cry Sleep Solution: Gentle Ways to Help Your Baby Sleep Through the Night: Foreword by William Sears, M.D.",Elizabeth Pantley,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0071381392"", ""ISBN13:"": ""9780071381390"", ""Release Date:"": ""March 2002"", ""Publisher:"": ""McGraw-Hill Education"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.7\"" x 5.6\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/9EA2EB725B8B38BF634812ECF70C8A3276BAA408.jpeg
The Vaccine Book: Making the Right Decision for Your Child,Robert W. Sears,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316017507"", ""ISBN13:"": ""9780316017503"", ""Release Date:"": ""October 2007"", ""Publisher:"": ""Little Brown and Company"", ""Length:"": ""278 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.8\"" x 6.2\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/6856B076D2C9F542F687798398E020EA5C31D485.jpeg
The Connected Child: Bring Hope and Healing to Your Adoptive Family,Karyn B. Purvis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0071475001"", ""ISBN13:"": ""9780071475006"", ""Release Date:"": ""April 2007"", ""Publisher:"": ""McGraw-Hill Companies"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.83 lbs."", ""Dimensions:"": ""0.5\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/385FEF6318D35C43A6951C6EB812DE69F8FA540D.jpeg
"101 Games and Activities for Children with Autism, Asperger's and Sensory Processing Disorders",Tara Delaney,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0071623361"", ""ISBN13:"": ""9780071623360"", ""Release Date:"": ""August 2009"", ""Publisher:"": ""McGraw-Hill Companies"", ""Length:"": ""240 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.6\"" x 6.5\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/D51CD1FDD684A7208467FFADB2FFD4688B3611D6.jpeg
Born on a Blue Day: Inside the Extraordinary Mind of an Autistic Savant,Daniel Tammet,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1416535071"", ""ISBN13:"": ""9781416535072"", ""Release Date:"": ""January 2007"", ""Publisher:"": ""Free Press"", ""Length:"": ""226 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.9\"" x 5.7\"" x 8.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/927BA12141FF9562604C5EF97487DC032AE7F319.jpeg
Scattered: How A.D.D. Originates and What You Can Do,Gabor Maté,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0525944125"", ""ISBN13:"": ""9780525944126"", ""Release Date:"": ""August 1999"", ""Publisher:"": ""Dutton Books"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""1.2\"" x 6.3\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/A2114E3417410721D89F4198B6F2177E4ECB3B26.jpeg
"Gut and Psychology Syndrome: Natural Treatment for Autism, Dyspraxia, A.D.D., Dyslexia, A.D.H.D., Depression, Schizophrenia, 2nd Edition",Natasha Campbell-McBride,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0954852028"", ""ISBN13:"": ""9780954852023"", ""Release Date:"": ""November 2010"", ""Publisher:"": ""Medinform Publishing"", ""Length:"": ""392 Pages"", ""Weight:"": ""1.14 lbs."", ""Dimensions:"": ""1.1\"" x 5.7\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/5C7B0ABC027D87571774A1835B01AAC80A51381B.jpeg
"How to Reach and Teach Children with ADD/ADHD: Practical Techniques, Strategies, and Interventions",Sandra F. Rief,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0787972959"", ""ISBN13:"": ""9780787972950"", ""Release Date:"": ""March 2005"", ""Publisher:"": ""Jossey-Bass"", ""Length:"": ""464 Pages"", ""Weight:"": ""2.35 lbs."", ""Dimensions:"": ""0.9\"" x 10.9\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/F544D725416ECE01ACACD1602200C5902951A099.jpeg
