Book Name,Authors,Info,Image URL
The Case for Christ: A Journalist's Personal Investigation of the Evidence for Jesus,Lee Strobel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0310226554"", ""ISBN13:"": ""9780310226550"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Zondervan Publishing Company"", ""Length:"": ""397 Pages"", ""Weight:"": ""0.43 lbs."", ""Dimensions:"": ""1.1\"" x 4.2\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/1C8AEAE92A56D7127AD7AB6D4F7A7842D1EAFECD.jpeg
Mere Christianity,C.S. Lewis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060652926"", ""Release Date:"": ""February 2023"", ""Publisher:"": ""HarperOne"", ""Length:"": ""227 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""8.0\"" x 0.6\"" x 5.3\""""}",https://m.media-amazon.com/images/I/31ak6Rjy+AL._SL350_.jpg
The Purpose Driven Life,Rick Warren,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0310205719"", ""ISBN13:"": ""9780310205715"", ""Release Date:"": ""October 2002"", ""Publisher:"": ""Zondervan"", ""Length:"": ""334 Pages"", ""Weight:"": ""1.19 lbs."", ""Dimensions:"": ""1.2\"" x 5.9\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/3DADDA665880B4F451B314CEDD9E86ECD15063B6.jpeg
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""080241270X"", ""ISBN13:"": ""9780802412706"", ""Release Date:"": ""January 2015"", ""Publisher:"": ""Northfield Publishing"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.53 lbs."", ""Dimensions:"": ""0.5\"" x 5.5\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/7979FD3E53C795EC7BB3B9860985FCB5375DC8DE.jpeg
Battlefield of the Mind: Winning the Battle in Your Mind,Joyce Meyer,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0446691097"", ""Release Date:"": ""October 2002"", ""Publisher:"": ""Warner Faith"", ""Length:"": ""281 Pages"", ""Weight:"": ""0.78 lbs."", ""Dimensions:"": ""8.9\"" x 0.9\"" x 6.0\""""}",https://m.media-amazon.com/images/I/41xcyxeygAL._SL350_.jpg
The Power of a Praying Wife,Stormie Omartian,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1565075722"", ""ISBN13:"": ""9781565075726"", ""Release Date:"": ""July 1997"", ""Publisher:"": ""Harvest House Publishers"", ""Length:"": ""203 Pages"", ""Weight:"": ""0.58 lbs."", ""Dimensions:"": ""0.5\"" x 5.3\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/C91104B6EF73E0C08EA5BABA8080A57A7FCCEC36.jpeg
The New Strong's Exhaustive Concordance of the Bible,James Strong,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0840767501"", ""ISBN13:"": ""9780840767509"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""Thomas Nelson Publishers"", ""Length:"": ""1260 Pages"", ""Weight:"": ""6.17 lbs."", ""Dimensions:"": ""2.2\"" x 8.9\"" x 11.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/D9213A16EC31239555D4DCBDD3901F88AEA5DD29.jpeg
The Harbinger,Jonathan Cahn,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""161638610X"", ""ISBN13:"": ""9781616386108"", ""Release Date:"": ""January 2012"", ""Publisher:"": ""Charisma House"", ""Length:"": ""272 Pages"", ""Weight:"": ""0.76 lbs."", ""Dimensions:"": ""0.8\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/8EA0767F7208DB0908EC1C52390A626F78596923.jpeg
Wild at Heart: Discovering the Secret of a Man's Soul,John Eldredge,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0785268839"", ""ISBN13:"": ""9780785268833"", ""Release Date:"": ""January 2002"", ""Publisher:"": ""Thomas Nelson"", ""Length:"": ""256 Pages"", ""Weight:"": ""0.81 lbs."", ""Dimensions:"": ""0.9\"" x 5.7\"" x 8.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/77EA68671A614046908358FBD9BFC77B2258D8D7.jpeg
The Hiding Place,John Sherrill,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1568651295"", ""ISBN13:"": ""9781568651293"", ""Release Date:"": ""January 1995"", ""Publisher:"": ""Doubleday Books"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.74 lbs.""}",https://m.media-amazon.com/images/I/51popplE1OL._SL350_.jpg
The 21 Irrefutable Laws of Leadership,John C. Maxwell,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0785274316"", ""ISBN13:"": ""9780785274315"", ""Release Date:"": ""January 1998"", ""Publisher:"": ""Thomas Nelson Publishers"", ""Length:"": ""256 Pages"", ""Weight:"": ""1.09 lbs."", ""Dimensions:"": ""1.0\"" x 6.1\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/D704C0CB12B76FBE166AD1F07C6B252532C4EAB5.jpeg
The Screwtape Letters (The C.S. Lewis Signature Classics),C.S. Lewis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0060652934"", ""Release Date:"": ""April 2015"", ""Publisher:"": ""HarperOne"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.45 lbs."", ""Dimensions:"": ""8.0\"" x 0.5\"" x 5.3\""""}",https://m.media-amazon.com/images/I/41NRIlfqwwL._SL350_.jpg
Power of Positive Thinking,Norman Vincent Peale,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0449214931"", ""Release Date:"": ""May 1987"", ""Publisher:"": ""Fawcett"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.27 lbs."", ""Dimensions:"": ""7.0\"" x 0.5\"" x 4.3\""""}",https://m.media-amazon.com/images/I/4121B0+yBGS._SL350_.jpg
Parenting with Love and Logic: Teaching Children Responsibility,Foster W. Cline,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0891093117"", ""ISBN13:"": ""9780891093114"", ""Release Date:"": ""January 1990"", ""Publisher:"": ""Pinon Press"", ""Length:"": ""229 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""0.9\"" x 6.0\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/BF97891F66CFAA5D52C62DCBBBA50984CE685BE0.jpeg
Confessions,Augustine of Hippo,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""B00005VOGM"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""Book-of-the-Month Club"", ""Length:"": ""382 Pages"", ""Weight:"": ""1.15 lbs.""}",https://m.media-amazon.com/images/I/31KQ44J7ptL._SL350_.jpg
This Present Darkness,Frank E. Peretti,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0891073906"", ""Release Date:"": ""January 1986"", ""Publisher:"": ""Crossway Books"", ""Length:"": ""375 Pages"", ""Weight:"": ""0.72 lbs."", ""Dimensions:"": ""8.5\"" x 5.5\"" x 1.0\""""}",https://m.media-amazon.com/images/I/51EUvpVPzAL._SL350_.jpg
