Book Name,Authors,Info,Image URL
"Arc of Justice: A Saga of Race, Civil Rights, and Murder in the Jazz Age",Kevin G. Boyle,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0805071458"", ""ISBN13:"": ""9780805071450"", ""Release Date:"": ""September 2004"", ""Publisher:"": ""Henry Holt & Company"", ""Length:"": ""415 Pages"", ""Weight:"": ""1.03 lbs."", ""Dimensions:"": ""1.4\"" x 6.6\"" x 9.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/13574960B16B971BE6D15D2C1AB91A5FC9B0AEDC.jpeg
Media Control: The Spectacular Achievements of Propaganda,Noam Chomsky,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1583225366"", ""ISBN13:"": ""9781583225363"", ""Release Date:"": ""September 2002"", ""Publisher:"": ""Seven Stories Press"", ""Length:"": ""112 Pages"", ""Weight:"": ""0.26 lbs."", ""Dimensions:"": ""0.3\"" x 5.0\"" x 7.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/1BE7F34FF4838889CBD445AAA127F63E6D71A87F.jpeg
No Pity: People with Disabilities Forging a New Civil Rights Movement,Joseph P. Shapiro,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0812924126"", ""ISBN13:"": ""9780812924121"", ""Release Date:"": ""October 1994"", ""Publisher:"": ""Crown Publishing Group (NY)"", ""Length:"": ""400 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.2\"" x 5.5\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/522C48B5E2275A8CACD56469EC3BF9521F3B9D81.jpeg
Universal Human Rights in Theory and Practice,Jack Donnelly,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0801495709"", ""ISBN13:"": ""9780801495700"", ""Release Date:"": ""October 1989"", ""Publisher:"": ""Cornell University Press"", ""Length:"": ""304 Pages"", ""Weight:"": ""1.00 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/DEDC677F5939508ABB7583683B1CD406569CBAE7.jpeg
Parting the Waters,Taylor Branch,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0671460978"", ""ISBN13:"": ""9780671460976"", ""Release Date:"": ""November 1988"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""1064 Pages"", ""Weight:"": ""3.35 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/2AC6D664E2864AA068812EBD8550208622028044.jpeg
White Guilt: How Blacks and Whites Together Destroyed the Promise of the Civil Rights Era,Shelby Steele,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0060578629"", ""ISBN13:"": ""9780060578626"", ""Release Date:"": ""May 2006"", ""Publisher:"": ""Harper"", ""Length:"": ""192 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.8\"" x 5.5\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/06851B4AB618D54E20EA4B5CBAF2CA6ABC4AA67A.jpeg
Walking with the Wind: A Memoir of the Movement,John Lewis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1476797714"", ""ISBN13:"": ""9781476797717"", ""Release Date:"": ""February 2015"", ""Publisher:"": ""Simon & Schuster"", ""Length:"": ""544 Pages"", ""Weight:"": ""1.90 lbs."", ""Dimensions:"": ""1.4\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/D93DCEDE27326B0F3D0FB85B329369F492681361.jpeg
Eyes on the Prize: 2america's Civil Rights Years 1954-1965,Juan Williams,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0670814121"", ""ISBN13:"": ""9780670814121"", ""Release Date:"": ""January 1987"", ""Publisher:"": ""Viking Books"", ""Length:"": ""300 Pages"", ""Weight:"": ""2.25 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/15B2A9CF37A85141D0C157B399A34844CFB7AF7D.jpeg
"Voices of Freedom, Volume 1: A Documentary History",Eric Foner,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""039392291X"", ""ISBN13:"": ""9780393922912"", ""Release Date:"": ""September 2013"", ""Publisher:"": ""W. W. Norton & Company"", ""Length:"": ""352 Pages"", ""Weight:"": ""0.74 lbs."", ""Dimensions:"": ""1.1\"" x 5.5\"" x 8.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/1671F3DB7A66BEDE0ADFC98DECE774F76C30F6CC.jpeg
In Our Defense: The Bill of Rights in Action,Caroline Kennedy,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""068807801X"", ""ISBN13:"": ""9780688078010"", ""Release Date:"": ""January 1991"", ""Publisher:"": ""William Morrow & Company"", ""Length:"": ""430 Pages"", ""Weight:"": ""1.75 lbs."", ""Dimensions:"": ""1.4\"" x 6.5\"" x 9.6\""""}",https://i.thriftbooks.com/api/imagehandler/m/F6A3FC615C57A4C4741A24DFB2FFB50D215F2EE9.jpeg
