Book Name,Authors,Info,Image URL
Parade's End,Ford Madox Ford,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0394741080"", ""ISBN13:"": ""9780394741086"", ""Release Date:"": ""August 1979"", ""Publisher:"": ""Vintage Books USA"", ""Length:"": ""836 Pages"", ""Weight:"": ""1.75 lbs."", ""Dimensions:"": ""1.7\"" x 5.2\"" x 8.0\""""}",https://m.media-amazon.com/images/I/41+-uDx9g0L._SL350_.jpg
The Memoirs of Sherlock Holmes (The World's Best Reading),Arthur Conan Doyle,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0895773201"", ""ISBN13:"": ""9780895773203"", ""Release Date:"": ""January 1988"", ""Publisher:"": ""Reader's Digest Association"", ""Length:"": ""256 Pages"", ""Weight:"": ""1.56 lbs.""}",https://i.thriftbooks.com/api/imagehandler/m/A91B2AFAAE3C8013042F43841137A4915AF86B0D.jpeg
A Tale of Two Cities (Penguin Classics),Charles Dickens,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0141439602"", ""Release Date:"": ""May 2003"", ""Publisher:"": ""Penguin Classics"", ""Length:"": ""544 Pages"", ""Weight:"": ""0.88 lbs."", ""Dimensions:"": ""7.8\"" x 0.9\"" x 5.1\""""}",https://m.media-amazon.com/images/I/51u0-HaQzVL._SL350_.jpg
THE LEGEND OF SLEEPY HALLOW,Washington Irving,"{""Format:"": ""Paperback"", ""ISBN:"": ""1338346407"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""Scholastic"", ""Weight:"": ""0.15 lbs.""}",https://m.media-amazon.com/images/I/414HuAyWx4S._SL350_.jpg
The Jungle Book,Rudyard Kipling,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0062370871"", ""ISBN13:"": ""9780062370877"", ""Release Date:"": ""March 2016"", ""Publisher:"": ""HarperCollins"", ""Length:"": ""32 Pages"", ""Weight:"": ""0.85 lbs."", ""Dimensions:"": ""0.3\"" x 10.4\"" x 10.3\"""", ""Age Range:"": ""4 to 8 years"", ""Grade Range:"": ""Preschool to Grade 3""}",https://m.media-amazon.com/images/I/61d4098TmQL._SL350_.jpg
A Tree Grows in Brooklyn,Betty Smith,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""006092988X"", ""ISBN13:"": ""9780060929886"", ""Release Date:"": ""September 1998"", ""Publisher:"": ""Harper Perennial"", ""Length:"": ""496 Pages"", ""Weight:"": ""0.92 lbs."", ""Dimensions:"": ""1.3\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/CE896D19EE5FE2801EF26E2355DCDF7D42FC41EA.jpeg
Animal Farm: A Fairy Story,George Orwell,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0452284244"", ""ISBN13:"": ""9780452284241"", ""Release Date:"": ""January 2003"", ""Publisher:"": ""Berkley Books"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.35 lbs."", ""Dimensions:"": ""0.5\"" x 5.5\"" x 8.1\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/A35DA8D82A47F8D2C6D65521026E9018B7932BCC.jpeg
Lord of the Flies,William Golding,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0399501487"", ""Release Date:"": ""December 2003"", ""Publisher:"": ""Penguin Books"", ""Length:"": ""224 Pages"", ""Weight:"": ""0.36 lbs."", ""Dimensions:"": ""7.5\"" x 0.6\"" x 4.3\""""}",https://m.media-amazon.com/images/I/51eeAWItwbL._SL350_.jpg
The Great Gatsby,F. Scott Fitzgerald,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0743273567"", ""Release Date:"": ""September 2004"", ""Publisher:"": ""Scribner"", ""Length:"": ""180 Pages"", ""Weight:"": ""0.52 lbs."", ""Dimensions:"": ""8.0\"" x 0.6\"" x 5.3\""""}",https://m.media-amazon.com/images/I/41IkR2Ml51L._SL350_.jpg
Wuthering Heights,Emily Brontë,"{""Format:"": ""Mass Market Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1593080441"", ""ISBN13:"": ""9781593080440"", ""Release Date:"": ""August 2005"", ""Publisher:"": ""Barnes & Noble Classics"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.50 lbs."", ""Dimensions:"": ""1.1\"" x 4.2\"" x 6.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/682723F93924BC31ED782A3A7AF791A5439277BB.jpeg
