Book Name,Authors,Info,Image URL
"Kovels' New Dictionary of Marks: Pottery and Porcelain, 1850 to the Present",Ralph Kovel,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0517559145"", ""Release Date:"": ""December 1986"", ""Publisher:"": ""Crown Publishers"", ""Length:"": ""304 Pages"", ""Weight:"": ""1.30 lbs."", ""Dimensions:"": ""9.3\"" x 1.1\"" x 6.3\""""}",https://m.media-amazon.com/images/I/51DuNpP0uEL._SL350_.jpg
Collectors Encyclopedia of McCoy Pottery,Sharon Huxford,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0891450688"", ""ISBN13:"": ""9780891450689"", ""Release Date:"": ""January 1978"", ""Publisher:"": ""Collector Books"", ""Length:"": ""239 Pages"", ""Weight:"": ""2.67 lbs."", ""Dimensions:"": ""0.8\"" x 8.9\"" x 11.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/9C3BF0A9217F4EC90D3114B7FBA29B6E8D83710C.jpeg
"Kovels' Depression Glass & Dinnerware Price List, 6th Edition",Ralph Kovel,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0609803107"", ""ISBN13:"": ""9780609803103"", ""Release Date:"": ""April 1998"", ""Publisher:"": ""Three Rivers Press (CA)"", ""Length:"": ""210 Pages"", ""Weight:"": ""0.78 lbs."", ""Dimensions:"": ""0.7\"" x 5.3\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/E3809296BA4C3E212BB24BA533103A82AD373844.jpeg
"Art of Polymer Clay: Designs and Techniques for Making Jewelry, Pottery and Decorative Artwork",Donna Kato,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0823002780"", ""ISBN13:"": ""9780823002788"", ""Release Date:"": ""February 1997"", ""Publisher:"": ""Watson-Guptill Publications"", ""Length:"": ""144 Pages"", ""Weight:"": ""1.22 lbs."", ""Dimensions:"": ""0.5\"" x 7.6\"" x 9.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/524DBCECB5A011B3D983358BE58CA8B2F4028050.jpeg
McCoy Pottery Collectors Reference and Value Guide,Bob Hanson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0891457291"", ""ISBN13:"": ""9780891457299"", ""Release Date:"": ""October 1996"", ""Publisher:"": ""Collector Books"", ""Length:"": ""3 Pages"", ""Weight:"": ""3.09 lbs."", ""Dimensions:"": ""0.9\"" x 8.7\"" x 11.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/09B948CC292C8E9893BC6F53ACEB9D9C12A9B182.jpeg
The Collectors Encyclopedia of Flow Blue China,Mary Frank Gaston,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0891452362"", ""ISBN13:"": ""9780891452362"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""Collector Books"", ""Length:"": ""159 Pages"", ""Weight:"": ""2.02 lbs."", ""Dimensions:"": ""0.7\"" x 8.8\"" x 11.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/A5C527E69A589E297CB9DA6ED2DF845B495750B9.jpeg
Collectors Encyclopedia of Hull Pottery,Bob Huxford,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0891451498"", ""ISBN13:"": ""9780891451495"", ""Release Date:"": ""October 1980"", ""Publisher:"": ""Collector Books"", ""Length:"": ""193 Pages"", ""Weight:"": ""2.35 lbs."", ""Dimensions:"": ""0.7\"" x 8.7\"" x 11.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/44BEF7709C85D29ADBDB8E1DC6DC22B592EF6A1B.jpeg
The Collectors Encyclopedia of Roseville Pottery: Second Series: 2 (2nd Series),Sharon Huxford,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0891451390"", ""Release Date:"": ""January 1980"", ""Publisher:"": ""Collector Books"", ""Length:"": ""191 Pages"", ""Weight:"": ""2.35 lbs."", ""Dimensions:"": ""11.3\"" x 8.8\"" x 0.8\""""}",https://m.media-amazon.com/images/I/51bDD6BtTWL._SL350_.jpg
Parlor Cats: A Victorian Celebration,Cynthia Hart,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1563051184"", ""ISBN13:"": ""9781563051180"", ""Release Date:"": ""January 1992"", ""Publisher:"": ""Workman Publishing"", ""Length:"": ""96 Pages"", ""Weight:"": ""0.92 lbs."", ""Dimensions:"": ""0.5\"" x 7.3\"" x 7.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/590AEE4CA77A25E2930716B538E7382A7DC4592C.jpeg
The Collector's Encyclopedia of Occupied Japan Collectibles: Third Series,Gene Florence,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0891453210"", ""ISBN13:"": ""9780891453215"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""Collector Books"", ""Length:"": ""142 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""0.3\"" x 8.5\"" x 11.0\""""}",https://m.media-amazon.com/images/I/51VWp4mFL7L._SL350_.jpg
Collector's Encyclopedia of Lefton China,Loretta Delozier,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/6F368C4A35DBFA71BB7D9805AF7DFF804D7720A4.jpeg
Candy Containers & Novelties,Jack Brush,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1574321862"", ""ISBN13:"": ""9781574321869"", ""Release Date:"": ""January 2000"", ""Publisher:"": ""Collector Books"", ""Length:"": ""159 Pages"", ""Weight:"": ""1.20 lbs."", ""Dimensions:"": ""0.4\"" x 8.4\"" x 10.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/053588DE8030BDDBD4DD017D8FC504719FA16684.jpeg
Mauchline Ware: A Collector's Guide,Thomas Keith,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1851493921"", ""ISBN13:"": ""9781851493920"", ""Release Date:"": ""July 2006"", ""Publisher:"": ""ACC Distribution"", ""Length:"": ""287 Pages"", ""Weight:"": ""3.50 lbs."", ""Dimensions:"": ""1.1\"" x 8.6\"" x 11.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/19391DF77DB6327A6C355762C1F13E29B473DA28.jpeg
"The Lost Treasures of Louis Comfort Tiffany: Windows, Paintings, Lamps, Vases, and Other Works",Hugh McKean,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/42113C76137EBDA8021B62B7CA16EBB66DA2014C.jpeg
Collector's Encyclopedia of English China: Identification & Values,Mary Frank Gaston,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/2C58D2C644B1F0B4A2936FE28FE760F1CE525BD9.jpeg
501 Collectible Horses: A Handbook and Price Guide,Jan Lindenberger,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0887408877"", ""ISBN13:"": ""9780887408878"", ""Release Date:"": ""January 1997"", ""Publisher:"": ""Schiffer Publishing"", ""Length:"": ""160 Pages"", ""Weight:"": ""1.06 lbs."", ""Dimensions:"": ""0.6\"" x 6.1\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/998584DA557A7A78374585D3BB8CA2A3DD8C6B03.jpeg
Mid-Century Modern Dinnerware Design,Michael E. Pratt,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/EF740487A88C9162D4B65127735642CC1E8BBAAD.jpeg
Collectors Encyclopedia of Metlox Potteries,Carl Gibbs,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1574322249"", ""ISBN13:"": ""9781574322248"", ""Release Date:"": ""January 2001"", ""Publisher:"": ""Collector Books"", ""Length:"": ""429 Pages"", ""Weight:"": ""3.65 lbs."", ""Dimensions:"": ""1.1\"" x 8.9\"" x 11.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/4693A00D7330859288A398F4978F0FBEC9C43746.jpeg
Chintz Ceramics,Jo Anne P. Welsh,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0887409903"", ""ISBN13:"": ""9780887409905"", ""Release Date:"": ""January 1996"", ""Publisher:"": ""Schiffer Publishing"", ""Length:"": ""160 Pages"", ""Weight:"": ""4.65 lbs."", ""Dimensions:"": ""0.8\"" x 11.3\"" x 8.7\"""", ""Age Range:"": ""15 years and up"", ""Grade Range:"": ""Grade 10 to Postsecondary""}",https://m.media-amazon.com/images/I/51+3Za5HhAL._SL350_.jpg
Ceramics and Print,Paul Scott,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0812215753"", ""ISBN13:"": ""9780812215755"", ""Release Date:"": ""October 1995"", ""Publisher:"": ""University of Pennsylvania Press"", ""Length:"": ""128 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""0.5\"" x 6.1\"" x 9.3\""""}",https://m.media-amazon.com/images/I/51S29A90XML._SL350_.jpg
How to Wrap Five Eggs: Traditional Japanese Packaging,Hideyuki Oka,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1590306198"", ""ISBN13:"": ""9781590306192"", ""Release Date:"": ""October 2008"", ""Publisher:"": ""Weatherhill"", ""Length:"": ""224 Pages"", ""Weight:"": ""1.72 lbs."", ""Dimensions:"": ""0.9\"" x 7.0\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/85405F356F5B07A0E3476F9968F2D2B82C40973E.jpeg
Quick & Easy Mosaics: Innovative Projects & Techniques,Mariarita Macchiavelli,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0806938951"", ""ISBN13:"": ""9780806938950"", ""Release Date:"": ""June 1998"", ""Publisher:"": ""Sterling"", ""Length:"": ""160 Pages"", ""Weight:"": ""3.05 lbs."", ""Dimensions:"": ""0.6\"" x 8.1\"" x 10.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/D8D99C222B3AF28C00207369DC7C68116F43FEB3.jpeg
Faberge: Fantasies & Treasures,Geza von Habsburg,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0789300192"", ""ISBN13:"": ""9780789300195"", ""Release Date:"": ""February 1996"", ""Publisher:"": ""Universe Publishing(NY)"", ""Length:"": ""80 Pages"", ""Weight:"": ""0.70 lbs."", ""Dimensions:"": ""0.6\"" x 7.6\"" x 7.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/EBD8C5C4092B10EFA283FF7CF5B4C9021DCE8A69.jpeg
Fourteen Families in Pueblo Pottery,Rick Dillingham,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0826314996"", ""ISBN13:"": ""9780826314994"", ""Release Date:"": ""August 1994"", ""Publisher:"": ""University of New Mexico Press"", ""Length:"": ""309 Pages"", ""Weight:"": ""3.62 lbs."", ""Dimensions:"": ""0.8\"" x 10.0\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/4BE6802FD54014C362B7642B6B2F48EB0E60465E.jpeg
"Restaurant China, Airline, Ship & Railroad Dinnerware",Barbara J. Conroy,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1574320599"", ""ISBN13:"": ""9781574320596"", ""Release Date:"": ""April 1998"", ""Publisher:"": ""Collector Books"", ""Length:"": ""368 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""1.0\"" x 8.9\"" x 11.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/D743D26C003EB3FB1AE3A33BEC724D3215B0A7E9.jpeg
The Cincinnati Wing: The Story of Art in the Queen City,Julie Aronson,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0821414887"", ""ISBN13:"": ""9780821414880"", ""Release Date:"": ""May 2003"", ""Publisher:"": ""Ohio University Press"", ""Length:"": ""240 Pages"", ""Weight:"": ""2.35 lbs."", ""Dimensions:"": ""0.7\"" x 8.6\"" x 11.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/9C76FF15CCF0349DC6E2E2532403E04C23FF8A60.jpeg
Blue Willow Identification and Value Guide,Mary Frank Gaston,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/97B571422CF06C928C5A5FEBB25B5C413DB0B58C.jpeg
Southwestern Pottery: Anasazi to Zuni,Allan Hayes,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0873586565"", ""Release Date:"": ""October 1996"", ""Publisher:"": ""Cooper Square Publishing Llc"", ""Length:"": ""200 Pages"", ""Weight:"": ""1.95 lbs."", ""Dimensions:"": ""10.7\"" x 0.5\"" x 9.6\""""}",https://m.media-amazon.com/images/I/51iGUEVsbCL._SL350_.jpg
Fifth Chinese Daughter,Jade Snow Wong,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0295968265"", ""ISBN13:"": ""9780295968261"", ""Release Date:"": ""May 1989"", ""Publisher:"": ""University of Washington Press"", ""Length:"": ""264 Pages"", ""Weight:"": ""0.68 lbs."", ""Dimensions:"": ""0.5\"" x 5.5\"" x 8.0\"""", ""Age Range:"": ""22 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/5DB5A0AB852EC7A16D84F1B37E31A67D1F4D585A.jpeg
The Ceramic Career of M. Louise McLaughlin,Anita J. Ellis,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0821415042"", ""ISBN13:"": ""9780821415047"", ""Release Date:"": ""July 2003"", ""Publisher:"": ""Ohio University Press"", ""Length:"": ""243 Pages"", ""Weight:"": ""1.85 lbs."", ""Dimensions:"": ""1.0\"" x 7.2\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/B0D2B833E0E570E385548F9468205A3749CBD5B6.jpeg
"Lehner's Encyclopedia of Us Marks on Pottery, Porcelain Clay",Lois Lehner,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0891453652"", ""ISBN13:"": ""9780891453659"", ""Release Date:"": ""February 1988"", ""Publisher:"": ""Collector Books"", ""Length:"": ""636 Pages"", ""Weight:"": ""4.05 lbs."", ""Dimensions:"": ""1.9\"" x 8.7\"" x 11.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/B167FB6B8183A7A353D0678919DD48D8D8785553.jpeg
The Collector's Encyclopedia of Hall China,Margaret Whitmyer,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0891455817"", ""ISBN13:"": ""9780891455813"", ""Release Date:"": ""January 1994"", ""Publisher:"": ""Collector Books"", ""Length:"": ""270 Pages"", ""Weight:"": ""2.80 lbs."", ""Dimensions:"": ""0.8\"" x 8.8\"" x 11.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/23F8A3856CF363AFF25A74B916467C2E71E04B97.jpeg
Collector's Encyclopedia of Weller Pottery,Bob Huxford,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0891451145"", ""Release Date:"": ""January 1979"", ""Publisher:"": ""Collector Books"", ""Length:"": ""375 Pages"", ""Weight:"": ""3.51 lbs."", ""Dimensions:"": ""11.5\"" x 1.0\"" x 8.8\""""}",https://m.media-amazon.com/images/I/41h18YUDzkL._SL350_.jpg
Collectors Encyclopedia of Majolica Pottery,Mariann Katz Marks,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/E25E29AA8169EB93595D9B4471E073CC99404564.jpeg
Coll. Encyclopedia of Van Briggle Art Pottery,Richard Sasicki,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0891455191"", ""ISBN13:"": ""9780891455196"", ""Release Date:"": ""November 1993"", ""Publisher:"": ""Collector Books"", ""Length:"": ""144 Pages"", ""Weight:"": ""1.90 lbs."", ""Dimensions:"": ""0.6\"" x 8.7\"" x 11.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/BB21314FCDAEE9A014688A605AB468E2C574E36E.jpeg
