Book Name,Authors,Info,Image URL
Better: A Surgeon's Notes on Performance,Atul Gawande,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0312427654"", ""ISBN13:"": ""9780312427658"", ""Release Date:"": ""January 2008"", ""Publisher:"": ""Metropolitan Books"", ""Length:"": ""288 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.8\"" x 5.4\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/CAC621BC2795ED7247D915CCC5B0CECBE028DE8C.jpeg
Publication Manual (Official) 7th Edition of the American Psychological Association,American Psychological Association,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""143383216X"", ""ISBN13:"": ""9781433832161"", ""Release Date:"": ""October 2019"", ""Publisher:"": ""American Psychological Association (APA)"", ""Length:"": ""428 Pages"", ""Weight:"": ""1.60 lbs."", ""Dimensions:"": ""0.8\"" x 6.9\"" x 9.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/97308EF4C73E79A52392BDA2C7366FF475FFE6A4.jpeg
Diagnostic and Statistical Manual of Mental Disorders Dsm-IV-Tr (Text Revision),American Psychiatric Association,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0890420246"", ""ISBN13:"": ""9780890420249"", ""Release Date:"": ""June 2000"", ""Publisher:"": ""American Psychiatric Publishing"", ""Length:"": ""943 Pages"", ""Weight:"": ""4.35 lbs."", ""Dimensions:"": ""2.2\"" x 7.4\"" x 10.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/9AB5469CA5839C21987F8A2E019EC3C2456B4200.jpeg
Nursing Diagnosis Handbook: An Evidence-Based Guide to Planning Care,Mary Beth Flynn Makic,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0323085490"", ""ISBN13:"": ""9780323085496"", ""Release Date:"": ""February 2013"", ""Publisher:"": ""Mosby"", ""Length:"": ""887 Pages"", ""Weight:"": ""3.59 lbs."", ""Dimensions:"": ""1.3\"" x 8.0\"" x 10.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/43461FFA3E3A83E0A073DF1439E8B8C2746D8177.jpeg
Lehne's Pharmacology for Nursing Care [Large Print],Laura D. Rosenthal,"{""Format:"": ""Paperback"", ""Large Print:"": ""Yes"", ""Language:"": ""English"", ""ISBN:"": ""0323321909"", ""ISBN13:"": ""9780323321907"", ""Release Date:"": ""February 2015"", ""Publisher:"": ""Saunders"", ""Length:"": ""1424 Pages"", ""Weight:"": ""6.33 lbs."", ""Dimensions:"": ""2.0\"" x 8.5\"" x 10.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/B91A827C74B184A2A4F780EB514E304863B69739.jpeg
Mosby's Diagnostic and Laboratory Test Reference,Kathleen Deska Pagana,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0323084680"", ""ISBN13:"": ""9780323084680"", ""Release Date:"": ""October 2012"", ""Publisher:"": ""Mosby"", ""Length:"": ""1088 Pages"", ""Weight:"": ""1.65 lbs."", ""Dimensions:"": ""1.3\"" x 4.3\"" x 7.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/3C98FF72B370936C94B340952010B341C4C0A1F9.jpeg
"Rapid Interpretation of EKG's: Dr. Dubin's Classic, Simplified Methodology for Understanding EKG's",Dale Dubin,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0912912065"", ""ISBN13:"": ""9780912912066"", ""Release Date:"": ""November 2000"", ""Publisher:"": ""Cover Publishing Company"", ""Length:"": ""368 Pages"", ""Weight:"": ""2.09 lbs."", ""Dimensions:"": ""0.7\"" x 6.4\"" x 9.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/8E6ADE5A5748BEC412245695C7F27DBE7C4DD581.jpeg
The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1439107955"", ""ISBN13:"": ""9781439107959"", ""Release Date:"": ""November 2010"", ""Publisher:"": ""Scribner Book Company"", ""Length:"": ""592 Pages"", ""Weight:"": ""2.12 lbs."", ""Dimensions:"": ""1.5\"" x 6.5\"" x 9.5\""""}",https://i.thriftbooks.com/api/imagehandler/m/26E4732C64E889C5C3EC5A9AD48AE5A470314C22.jpeg
"The Question of God: C.S. Lewis and Sigmund Freud Debate God, Love, Sex, and the Meaning of Life",Armand M. Nicholi Jr.,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""074324785X"", ""ISBN13:"": ""9780743247856"", ""Release Date:"": ""August 2003"", ""Publisher:"": ""Free Press"", ""Length:"": ""295 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.7\"" x 5.5\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/3CE65424F25C906005F251405CC3C5327095863E.jpeg
How Doctors Think,Jerome Groopman,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0618610030"", ""ISBN13:"": ""9780618610037"", ""Release Date:"": ""March 2007"", ""Publisher:"": ""Houghton Mifflin"", ""Length:"": ""307 Pages"", ""Weight:"": ""0.25 lbs."", ""Dimensions:"": ""1.1\"" x 6.3\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/C49875240D1CB7D115714BAEFC476E68256159CF.jpeg
