Book Name,Authors,Info,Image URL
The Book of Kells: An Illustrated Introduction to the Manuscript in Trinity College Dublin,Bernard Meehan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0500480249"", ""ISBN13:"": ""9780500480243"", ""Release Date:"": ""March 2020"", ""Publisher:"": ""Thames & Hudson"", ""Length:"": ""96 Pages"", ""Weight:"": ""0.90 lbs."", ""Dimensions:"": ""0.4\"" x 7.4\"" x 9.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/621766B5A72D044D2061D3DC3816502F0CEE26F2.jpeg
"Women, Art, and Society",Whitney Chadwick,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0500202931"", ""ISBN13:"": ""9780500202937"", ""Release Date:"": ""February 1997"", ""Publisher:"": ""Thames & Hudson"", ""Length:"": ""448 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""1.0\"" x 5.8\"" x 8.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/34328FD857B04CA8C2DDFEB68635A429E31E2EA9.jpeg
Audubon's Birds of America: The National Audubon Society Baby Elephant Folio (Tiny Folio),Virginia Marie Peterson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0789208148"", ""ISBN13:"": ""9780789208149"", ""Release Date:"": ""April 2005"", ""Publisher:"": ""Abbeville Press"", ""Length:"": ""435 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""1.5\"" x 4.5\"" x 5.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/736EF78644AB64EAA55DED8D3B7F367460644E4C.jpeg
Living the Creative Life: Ideas and Inspiration from Working Artists,Ricë Freeman-Zachery,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1581809948"", ""Release Date:"": ""August 2007"", ""Publisher:"": ""North Light Books"", ""Length:"": ""144 Pages"", ""Weight:"": ""0.95 lbs."", ""Dimensions:"": ""8.0\"" x 0.4\"" x 8.0\""""}",https://m.media-amazon.com/images/I/61-MlmAjDkL._SL350_.jpg
Dinner Party,Judy Chicago,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0385145675"", ""ISBN13:"": ""9780385145671"", ""Release Date:"": ""March 1979"", ""Publisher:"": ""Anchor Books"", ""Length:"": ""255 Pages"", ""Weight:"": ""2.25 lbs.""}",https://m.media-amazon.com/images/I/41w9J3SbD+L._SL350_.jpg
Colleen Moore's Doll House,Terry Ann R. Neff,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0385135335"", ""ISBN13:"": ""9780385135337"", ""Release Date:"": ""January 1979"", ""Publisher:"": ""Doubleday Books"", ""Length:"": ""96 Pages"", ""Weight:"": ""1.70 lbs.""}",https://m.media-amazon.com/images/I/41bLeK7MO4L._SL350_.jpg
"Art Making, Collections, and Obsessions",Lynne Perrella,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""1592533639"", ""ISBN13:"": ""9781592533633"", ""Release Date:"": ""February 2008"", ""Publisher:"": ""Quarry Books (MN)"", ""Length:"": ""160 Pages"", ""Weight:"": ""2.25 lbs."", ""Dimensions:"": ""0.8\"" x 9.5\"" x 11.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/A3CF0530661CBA69F4AE8CA94ABEA4210A3BC2D9.jpeg
The Celtic Art Source Book,Courtney Davis,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0713721448"", ""ISBN13:"": ""9780713721447"", ""Release Date:"": ""December 1989"", ""Publisher:"": ""Cassell Illustrated"", ""Length:"": ""128 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.3\"" x 7.5\"" x 9.8\""""}",https://i.thriftbooks.com/api/imagehandler/m/550DDBDF71202FAFB0D72640EBF3682333D4F3C1.jpeg
Beatrix Potter: The Artist and Her World 1866-1943,Anne Stevenson Hobbs,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0723235619"", ""ISBN13:"": ""9780723235613"", ""Release Date:"": ""May 1988"", ""Publisher:"": ""Frederick Warne and Company"", ""Length:"": ""224 Pages"", ""Weight:"": ""1.78 lbs."", ""Dimensions:"": ""0.7\"" x 7.7\"" x 10.2\"""", ""Age Range:"": ""14 years and up"", ""Grade Range:"": ""Grade 9 and higher""}",https://i.thriftbooks.com/api/imagehandler/m/DCD3DAA1605FE506B201FEB853D39E7D34D976B1.jpeg
Miniature Rooms: The Thorne Rooms at the Art Institute of Chicago,Michael Anderson,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0896594076"", ""ISBN13:"": ""9780896594074"", ""Release Date:"": ""March 1984"", ""Publisher:"": ""Abbeville Press"", ""Length:"": ""168 Pages"", ""Weight:"": ""2.22 lbs."", ""Dimensions:"": ""0.9\"" x 8.8\"" x 11.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/636640A4915395E872508C0BC12F71EFA8FE3000.jpeg
Museum: Behind the Scenes at the Metropolitan Museum of Art,Danny Danziger,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""067003861X"", ""ISBN13:"": ""9780670038619"", ""Release Date:"": ""June 2007"", ""Publisher:"": ""Viking Books"", ""Length:"": ""277 Pages"", ""Weight:"": ""1.10 lbs."", ""Dimensions:"": ""1.0\"" x 6.1\"" x 8.6\"""", ""Age Range:"": ""18 years and up"", ""Grade Range:"": ""Postsecondary and higher""}",https://i.thriftbooks.com/api/imagehandler/m/73A950E5593E3A7443A7C862A470496DDD3F2979.jpeg
"Lone Stars, Volume I: A Legacy of Texas Quilts, 1836-1936",Karoline Patterson Bresenhan,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0292746490"", ""ISBN13:"": ""9780292746497"", ""Release Date:"": ""January 1986"", ""Publisher:"": ""University of Texas Press"", ""Length:"": ""156 Pages"", ""Weight:"": ""1.87 lbs."", ""Dimensions:"": ""0.5\"" x 8.3\"" x 11.7\""""}",https://i.thriftbooks.com/api/imagehandler/m/B8C74303B86B918AEDD691EF8C548CF126C18B1F.jpeg
Judith Leiber,Enid Nemy,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0810935716"", ""ISBN13:"": ""9780810935716"", ""Release Date:"": ""February 1995"", ""Publisher:"": ""Harry N. Abrams"", ""Length:"": ""159 Pages"", ""Weight:"": ""2.48 lbs."", ""Dimensions:"": ""1.0\"" x 9.0\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/A1D6F1DEC889BD6CB21DB66D4111B4347F4B5C63.jpeg
Worlds of Thomas Jefferson at Monticello,Susan R. Stein,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0810939673"", ""ISBN13:"": ""9780810939677"", ""Release Date:"": ""May 1993"", ""Publisher:"": ""Harry N. Abrams"", ""Length:"": ""464 Pages"", ""Weight:"": ""5.40 lbs."", ""Dimensions:"": ""1.6\"" x 9.0\"" x 11.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/F60A2A4A1135FCA13CFD1F59A6F0AC2D5819C411.jpeg
Glorious American Quilts: The Quilt Collection of the Museum of American Folk Art,Elizabeth V. Warren,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/C7A03F795A0801472C4FC2ABED8D670A09D8DA39.jpeg
Great Women Collectors,Marina Vaizey,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0810963930"", ""ISBN13:"": ""9780810963931"", ""Release Date:"": ""November 1999"", ""Publisher:"": ""Harry N. Abrams"", ""Length:"": ""202 Pages"", ""Weight:"": ""2.60 lbs."", ""Dimensions:"": ""0.9\"" x 8.4\"" x 11.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/B07522AFD3FA253338F22AECC06C0BAB3A22EEEE.jpeg
Quilts in a Material World: Selections from the Winterthur Collection,Linda Eaton,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0810930129"", ""ISBN13:"": ""9780810930124"", ""Release Date:"": ""February 2007"", ""Publisher:"": ""Harry N. Abrams"", ""Length:"": ""208 Pages"", ""Weight:"": ""2.80 lbs."", ""Dimensions:"": ""0.8\"" x 10.3\"" x 10.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/4E32DB0929957351A31BC6C368780AA77518DDA5.jpeg
Kremlin Gold: 1000 Years of Russian Gems and Jewels,Joel A. Bartsch,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/0F43A01D3A5A788F82F89980653BAFF44BC7CBD7.jpeg
Masks: Faces of Culture,John W. Nunley,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0810943794"", ""ISBN13:"": ""9780810943797"", ""Release Date:"": ""October 1999"", ""Publisher:"": ""Harry N. Abrams"", ""Length:"": ""344 Pages"", ""Weight:"": ""4.75 lbs."", ""Dimensions:"": ""1.5\"" x 10.0\"" x 12.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/773EE6DF00317D55AECC9806C37945F79DF96F48.jpeg
Pearls: A Natural History,Paula M. Mikkelsen,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0810944952"", ""ISBN13:"": ""9780810944954"", ""Release Date:"": ""October 2001"", ""Publisher:"": ""Harry N. Abrams"", ""Length:"": ""232 Pages"", ""Weight:"": ""3.20 lbs."", ""Dimensions:"": ""1.0\"" x 9.5\"" x 11.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/9D815042DE5C017126175CAAC3D157E6D3AB1008.jpeg
Carl and Karin Larsson: Creators of the Swedish Style,Elisabet Hidemark,"{""Format:"": ""Hardcover"", ""Language:"": ""English"", ""ISBN:"": ""0821224816"", ""ISBN13:"": ""9780821224816"", ""Release Date:"": ""April 1998"", ""Publisher:"": ""Bulfinch Press"", ""Length:"": ""242 Pages"", ""Weight:"": ""2.90 lbs."", ""Dimensions:"": ""0.9\"" x 8.8\"" x 11.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/56A5DBB79C788B3ADDAF14C913072CAB5D3E1865.jpeg
Grace Kelly: Icon of Style to Royal Bride,H. Kristina Haugland,"{"""": """"}",https://i.thriftbooks.com/api/imagehandler/m/33D303B75319490024B54743390F70AB1A424061.jpeg
