Book Name,Authors,Info,Image URL
College Life 102: The No-Bull Guide to a Great Freshman Year,Andrew G. Kadar,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0595388744"", ""ISBN13:"": ""9780595388745"", ""Release Date:"": ""January 2006"", ""Publisher:"": ""iUniverse"", ""Length:"": ""112 Pages"", ""Weight:"": ""0.28 lbs."", ""Dimensions:"": ""0.3\"" x 5.0\"" x 8.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/84F350DB6F712AAD33AFB53C1E5B8E2C78BA617C.jpeg
"The 5-Ingredient College Cookbook: Easy, Healthy Recipes for the Next Four Years & Beyond",Pamela Ellgen,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1623158575"", ""ISBN13:"": ""9781623158576"", ""Release Date:"": ""February 2017"", ""Publisher:"": ""Rockridge Press"", ""Length:"": ""216 Pages"", ""Weight:"": ""0.65 lbs."", ""Dimensions:"": ""0.6\"" x 6.4\"" x 6.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/8D2C435D0D142C6F91A99B00CCF904694726D6FC.jpeg
"The Easy College Cookbook: 75 Quick, Affordable Recipes for Campus Life",Candace Braun Davison,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1641529385"", ""ISBN13:"": ""9781641529389"", ""Release Date:"": ""December 2019"", ""Publisher:"": ""Rockridge Press"", ""Length:"": ""170 Pages"", ""Weight:"": ""0.58 lbs."", ""Dimensions:"": ""0.6\"" x 6.5\"" x 6.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/F24288D5C8F03677598F49969154ED79F8B9F5DA.jpeg
"The Mindful College Student: How to Succeed, Boost Well-Being, and Build the Life You Want at University and Beyond",Eric B. Loucks,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1684039134"", ""ISBN13:"": ""9781684039135"", ""Release Date:"": ""April 2022"", ""Publisher:"": ""New Harbinger Publications"", ""Length:"": ""208 Pages"", ""Weight:"": ""0.75 lbs."", ""Dimensions:"": ""0.6\"" x 5.9\"" x 8.9\""""}",https://i.thriftbooks.com/api/imagehandler/m/20088A5FC6B103C46752ACED167137380DD74B9F.jpeg
How to College: What to Know Before You Go (and When You're There),Lara Hope Schwartz,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1250225183"", ""ISBN13:"": ""9781250225184"", ""Release Date:"": ""April 2019"", ""Publisher:"": ""St. Martin's Griffin"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.05 lbs."", ""Dimensions:"": ""0.8\"" x 5.3\"" x 8.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/AE9ACCD0734F2F749F23DBC540695317751CE120.jpeg
U Thrive: How to Succeed in College (and Life),"Alan Daniel Schlechter,","{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""0316311618"", ""ISBN13:"": ""9780316311618"", ""Release Date:"": ""April 2017"", ""Publisher:"": ""Little, Brown Spark"", ""Length:"": ""304 Pages"", ""Weight:"": ""0.55 lbs."", ""Dimensions:"": ""0.7\"" x 6.0\"" x 9.2\""""}",https://i.thriftbooks.com/api/imagehandler/m/93367A0F42FE4ACCCDBDD10B52284509629044B2.jpeg
The Naked Roommate: And 107 Other Issues You Might Run Into in College,Harlan Cohen,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""140225346X"", ""ISBN13:"": ""9781402253461"", ""Release Date:"": ""April 2011"", ""Publisher:"": ""Sourcebooks"", ""Length:"": ""544 Pages"", ""Weight:"": ""1.25 lbs."", ""Dimensions:"": ""7.5\"" x 1.3\"" x 5.3\""""}",https://i.thriftbooks.com/api/imagehandler/m/808AEE0FBB3AF55CC0038F428ABAABD13B933FCB.jpeg
"Time Management Secrets for College Students: The Underground Playbook for Managing School, Work, and Fun",Dennis Stemmle,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""069219746X"", ""ISBN13:"": ""9780692197462"", ""Release Date:"": ""May 2019"", ""Publisher:"": ""College Success Academy Press"", ""Length:"": ""170 Pages"", ""Weight:"": ""0.80 lbs."", ""Dimensions:"": ""0.4\"" x 6.0\"" x 9.0\""""}",https://i.thriftbooks.com/api/imagehandler/m/716CB4A26DC325ECAAEF78E02BDCD08A9E1B65FC.jpeg
"The Her Campus Guide to College Life, Updated and Expanded Edition: How to Manage Relationships, Stay Safe and Healthy, Handle Stress, and Have the Be",Annie Chandler Wang,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1507210329"", ""ISBN13:"": ""9781507210321"", ""Release Date:"": ""April 2019"", ""Publisher:"": ""Adams Media Corporation"", ""Length:"": ""320 Pages"", ""Weight:"": ""1.00 lbs."", ""Dimensions:"": ""1.2\"" x 5.4\"" x 8.4\""""}",https://i.thriftbooks.com/api/imagehandler/m/89EA453E7C560154AF7345D8E64A5233F0C9988B.jpeg
On Course: Strategies for Creating Success in College and in Life,Skip Downing,"{""Format:"": ""Paperback"", ""Language:"": ""English"", ""ISBN:"": ""1133309739"", ""ISBN13:"": ""9781133309734"", ""Release Date:"": ""January 2013"", ""Publisher:"": ""Cengage Learning"", ""Length:"": ""336 Pages"", ""Weight:"": ""1.15 lbs."", ""Dimensions:"": ""0.6\"" x 7.2\"" x 9.1\""""}",https://i.thriftbooks.com/api/imagehandler/m/365FA8DA39C3347D140D0EE4B28EC1A62BD896A5.jpeg
